euclidean	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
HD9	6.32	5.83	6.24	6.78	6.24	6.56	6.32	6.32	7.42	6.71	6.40	6.93	5.39	6.63	0	6.86	7.42	6.86	7.28	8.12	7.21	7.28	6.16	6.24	6.16	6.32	7.75	7.00	6.32	6.24	8.31	8.00	8.06	8.37	8.19	7.94	8.06	7.94	8.12	8.25	8.31	8.00	7.81	8.31	8.49
MD1	6.08	6.86	6.93	7.14	7.21	7.48	7.00	5.92	5.10	6.32	5.66	5.74	6.00	6.56	6.86	0	6.00	6.63	7.62	7.68	7.94	6.78	6.24	6.00	6.56	6.40	5.74	6.48	5.74	6.93	6.78	7.14	7.48	7.14	7.48	7.48	7.35	6.63	7.14	7.14	6.93	6.86	6.63	6.93	7.00
MD10	7.28	6.71	7.48	7.28	7.48	7.75	7.28	6.86	6.00	7.07	6.16	6.71	6.63	7.00	7.42	6.00	0	6.93	6.48	7.81	7.28	6.93	5.39	5.66	6.40	6.08	6.24	5.10	6.71	6.16	6.93	7.28	7.07	7.14	7.75	7.21	7.07	6.32	7.00	7.42	7.07	7.55	6.78	7.35	7.94
MD11	7.94	7.28	6.63	7.00	7.48	6.93	7.28	7.55	6.93	7.48	7.35	6.71	7.07	7.28	6.86	6.63	6.93	0	7.35	8.66	7.00	7.87	7.14	7.48	7.81	7.55	7.00	6.32	6.71	7.21	8.25	8.31	8.00	8.19	8.25	8.37	8.25	8.25	8.43	8.54	8.60	8.19	8.12	8.49	8.66
MD12	7.55	7.42	6.78	6.71	6.93	7.07	6.86	7.14	7.62	8.12	7.07	7.94	7.07	7.68	7.28	7.62	6.48	7.35	0	7.81	5.92	6.93	6.08	6.78	7.42	7.28	8.06	6.63	7.00	6.48	7.75	7.42	7.35	7.68	7.75	7.21	7.75	7.48	7.55	7.94	8.12	8.19	7.87	8.49	8.31
MD13	8.12	8.37	8.31	8.25	8.66	8.31	8.25	7.75	7.68	8.89	7.28	8.72	8.31	8.49	8.12	7.68	7.81	8.66	7.81	0	8.60	4.36	7.87	8.06	8.60	8.00	8.49	8.31	7.87	8.54	8.06	7.87	7.81	7.87	7.81	7.81	7.94	7.68	8.00	8.37	8.19	7.87	7.68	8.19	8.25
MD14	8.25	7.62	6.86	7.62	7.28	7.55	7.21	7.75	7.68	8.19	7.68	8.00	7.28	7.62	7.21	7.94	7.28	7.00	5.92	8.60	0	7.81	7.07	7.00	7.62	7.62	8.49	7.28	7.75	7.14	8.43	8.25	7.81	8.49	8.43	7.81	8.31	8.19	8.37	8.49	8.54	8.60	8.31	9.11	8.94
MD15	7.14	7.55	7.48	7.42	7.75	7.48	7.42	6.71	6.78	8.12	6.16	7.94	7.48	7.68	7.28	6.78	6.93	7.87	6.93	4.36	7.81	0	7.00	7.21	7.81	7.14	7.68	7.48	6.86	7.75	7.35	7.00	7.07	7.14	7.07	6.93	7.07	6.93	7.28	7.55	7.48	6.86	6.93	7.35	7.42
MD2	6.78	6.16	7.00	6.63	6.86	7.14	6.63	6.16	6.40	6.86	5.74	6.63	5.57	6.93	6.16	6.24	5.39	7.14	6.08	7.87	7.07	7.00	0	5.20	5.10	5.83	6.78	5.39	5.83	5.92	7.00	7.07	7.55	7.75	8.19	7.68	7.42	7.00	7.21	7.48	7.42	7.75	7.14	8.19	8.00
MD3	6.24	6.56	6.63	6.71	6.78	7.48	6.86	6.08	6.00	6.63	6.16	6.71	5.66	6.86	6.24	6.00	5.66	7.48	6.78	8.06	7.00	7.21	5.20	0	5.20	6.24	7.28	5.83	6.56	5.83	7.21	7.28	7.48	7.42	8.00	7.75	7.35	6.93	7.42	7.42	7.21	7.68	7.21	7.87	8.06
MD4	6.48	6.00	7.14	7.07	7.28	7.55	6.93	6.78	6.86	6.40	6.71	6.48	5.57	7.21	6.16	6.56	6.40	7.81	7.42	8.60	7.62	7.81	5.10	5.20	0	6.16	7.35	6.71	6.78	6.40	7.94	7.87	8.06	8.49	8.66	8.06	8.19	7.55	8.12	8.25	8.06	8.37	7.81	8.54	8.49
MD5	6.93	6.00	7.14	7.07	7.55	6.86	7.07	4.47	7.00	7.14	5.00	6.32	5.92	7.62	6.32	6.40	6.08	7.55	7.28	8.00	7.62	7.14	5.83	6.24	6.16	0	7.21	6.24	6.32	7.14	7.94	7.75	7.94	8.12	8.19	7.42	7.81	7.42	7.87	8.12	7.81	7.87	7.42	7.94	8.25
MD6	7.21	7.21	7.68	7.87	8.19	7.94	7.75	7.21	6.40	7.55	7.00	6.16	7.00	7.48	7.75	5.74	6.24	7.00	8.06	8.49	8.49	7.68	6.78	7.28	7.35	7.21	0	6.56	6.32	7.55	7.94	8.25	8.43	8.37	8.43	8.31	8.19	7.68	7.87	8.25	8.19	8.00	7.68	8.19	8.37
MD7	7.00	6.56	6.93	6.86	7.35	7.07	7.00	6.71	6.32	6.78	6.32	5.92	6.48	7.42	7.00	6.48	5.10	6.32	6.63	8.31	7.28	7.48	5.39	5.83	6.71	6.24	6.56	0	6.24	6.48	7.48	7.81	7.75	7.68	8.12	8.12	7.62	7.21	7.42	7.81	7.62	7.81	7.48	7.75	8.31
MD8	6.00	6.63	6.24	6.78	6.56	6.56	6.32	6.00	6.86	7.00	6.08	5.83	6.08	6.63	6.32	5.74	6.71	6.71	7.00	7.87	7.75	6.86	5.83	6.56	6.78	6.32	6.32	6.24	0	6.24	7.68	7.62	7.94	7.75	7.94	7.55	7.81	7.55	7.75	7.75	8.06	7.35	7.42	7.81	8.00
MD9	7.00	7.00	6.63	7.28	6.00	7.21	6.56	7.14	7.07	7.21	7.07	7.14	6.16	6.24	6.24	6.93	6.16	7.21	6.48	8.54	7.14	7.75	5.92	5.83	6.40	7.14	7.55	6.48	6.24	0	8.00	8.06	8.25	8.19	8.83	8.12	8.25	7.62	7.94	8.19	8.12	8.43	8.12	8.60	8.89
NC1	8.19	8.06	8.49	8.31	8.72	8.60	8.43	7.42	6.00	8.00	6.78	7.94	7.87	8.31	8.31	6.78	6.93	8.25	7.75	8.06	8.43	7.35	7.00	7.21	7.94	7.94	7.94	7.48	7.68	8.00	0	6.56	7.07	6.56	7.21	7.48	6.63	5.10	5.00	5.74	5.48	7.14	6.16	6.63	7.00
NC10	7.75	8.00	8.19	8.12	8.19	8.43	7.87	7.21	6.71	8.19	6.56	8.12	7.68	7.75	8.00	7.14	7.28	8.31	7.42	7.87	8.25	7.00	7.07	7.28	7.87	7.75	8.25	7.81	7.62	8.06	6.56	0	6.71	6.48	7.00	6.71	6.24	6.56	6.48	5.29	6.56	5.83	5.20	7.00	5.29
NC11	8.19	7.94	7.75	7.81	8.25	8.12	7.81	7.68	7.35	8.49	7.35	8.31	7.87	8.06	8.06	7.48	7.07	8.00	7.35	7.81	7.81	7.07	7.55	7.48	8.06	7.94	8.43	7.75	7.94	8.25	7.07	6.71	0	5.39	5.10	6.00	5.66	6.93	7.14	7.28	7.21	6.71	6.32	7.07	7.14
NC12	8.12	8.37	8.06	8.00	8.31	8.19	8.00	7.87	6.86	8.31	7.28	8.37	8.19	8.00	8.37	7.14	7.14	8.19	7.68	7.87	8.49	7.14	7.75	7.42	8.49	8.12	8.37	7.68	7.75	8.19	6.56	6.48	5.39	0	5.00	6.40	4.58	6.71	6.32	6.63	6.86	6.32	6.24	6.71	6.48
NC13	8.43	8.19	7.75	7.81	8.37	8.00	8.06	7.94	7.48	8.83	7.48	8.43	8.12	8.31	8.19	7.48	7.75	8.25	7.75	7.81	8.43	7.07	8.19	8.00	8.66	8.19	8.43	8.12	7.94	8.83	7.21	7.00	5.10	5.00	0	6.00	5.83	6.93	7.28	7.28	7.21	6.40	6.16	6.48	6.56
NC14	7.94	7.81	7.87	8.19	8.12	8.00	7.81	7.28	7.48	8.60	6.93	8.19	7.87	8.06	7.94	7.48	7.21	8.37	7.21	7.81	7.81	6.93	7.68	7.75	8.06	7.42	8.31	8.12	7.55	8.12	7.48	6.71	6.00	6.40	6.00	0	6.32	7.21	7.42	7.55	7.75	7.00	6.78	7.48	6.86
NC15	8.06	8.19	8.12	8.19	8.25	8.37	7.94	7.55	6.93	8.25	6.93	8.19	7.87	8.31	8.06	7.35	7.07	8.25	7.75	7.94	8.31	7.07	7.42	7.35	8.19	7.81	8.19	7.62	7.81	8.25	6.63	6.24	5.66	4.58	5.83	6.32	0	6.78	6.56	6.56	6.78	5.92	5.83	6.78	6.71
NC2	7.68	7.55	8.12	7.94	8.49	8.37	8.19	6.86	6.00	7.62	6.32	7.81	7.21	7.94	7.94	6.63	6.32	8.25	7.48	7.68	8.19	6.93	7.00	6.93	7.55	7.42	7.68	7.21	7.55	7.62	5.10	6.56	6.93	6.71	6.93	7.21	6.78	0	5.39	6.24	4.90	7.00	6.00	6.00	7.28
NC3	8.12	8.12	8.43	8.37	8.54	8.54	8.37	7.48	6.24	7.94	6.71	8.00	7.81	8.12	8.12	7.14	7.00	8.43	7.55	8.00	8.37	7.28	7.21	7.42	8.12	7.87	7.87	7.42	7.75	7.94	5.00	6.48	7.14	6.32	7.28	7.42	6.56	5.39	0	6.00	6.24	6.78	6.24	6.86	7.07
NC4	8.00	8.37	8.54	8.37	8.54	8.54	8.37	7.48	6.86	8.19	6.71	8.12	7.81	8.00	8.25	7.14	7.42	8.54	7.94	8.37	8.49	7.55	7.48	7.42	8.25	8.12	8.25	7.81	7.75	8.19	5.74	5.29	7.28	6.63	7.28	7.55	6.56	6.24	6.00	0	5.57	6.48	5.92	7.42	6.16
NC5	7.94	8.19	8.60	8.31	8.60	8.60	8.31	7.28	6.48	8.00	6.78	8.06	7.48	7.94	8.31	6.93	7.07	8.60	8.12	8.19	8.54	7.48	7.42	7.21	8.06	7.81	8.19	7.62	8.06	8.12	5.48	6.56	7.21	6.86	7.21	7.75	6.78	4.90	6.24	5.57	0	7.00	6.16	6.32	7.00
NC6	7.48	8.12	7.81	7.87	8.19	7.94	7.75	7.21	7.00	8.06	6.71	7.87	8.06	8.12	8.00	6.86	7.55	8.19	8.19	7.87	8.60	6.86	7.75	7.68	8.37	7.87	8.00	7.81	7.35	8.43	7.14	5.83	6.71	6.32	6.40	7.00	5.92	7.00	6.78	6.48	7.00	0	5.00	5.92	5.66
NC7	7.81	7.81	8.00	8.06	8.49	8.25	7.94	7.14	6.16	7.62	6.32	7.55	7.62	7.94	7.81	6.63	6.78	8.12	7.87	7.68	8.31	6.93	7.14	7.21	7.81	7.42	7.68	7.48	7.42	8.12	6.16	5.20	6.32	6.24	6.16	6.78	5.83	6.00	6.24	5.92	6.16	5.00	0	5.83	5.57
NC8	7.94	8.31	8.49	8.43	8.83	8.72	8.54	7.28	6.93	8.25	6.93	8.06	8.12	8.77	8.31	6.93	7.35	8.49	8.49	8.19	9.11	7.35	8.19	7.87	8.54	7.94	8.19	7.75	7.81	8.60	6.63	7.00	7.07	6.71	6.48	7.48	6.78	6.00	6.86	7.42	6.32	5.92	5.83	0	6.71
NC9	8.12	8.37	8.54	8.37	8.77	8.54	8.37	7.62	7.14	8.43	7.00	8.25	8.19	8.37	8.49	7.00	7.94	8.66	8.31	8.25	8.94	7.42	8.00	8.06	8.49	8.25	8.37	8.31	8.00	8.89	7.00	5.29	7.14	6.48	6.56	6.86	6.71	7.28	7.07	6.16	7.00	5.66	5.57	6.71	0
