euclidean	HD1	HD11	HD12	HD14	HD13	HD15	HD7	HD9	MD10	MD7	MD2	MD4	MD3	HD2	HD5	MD5	HD3	MD1	HD4	HD6	HD8	MD6	MD8	HD10	MD9	NC1	NC3	NC2	NC5	NC10	NC6	NC7	NC4	NC9	NC11	NC12	NC15	NC13	NC8	NC14	MD12	MD14	MD13	MD15	MD11
MD2	6.78	7.00	6.63	7.14	6.86	6.63	5.57	6.16	5.39	5.39	0	5.10	5.20	6.16	5.74	5.83	6.40	6.24	6.86	6.63	6.93	6.78	5.83	6.16	5.92	7.00	7.21	7.00	7.42	7.07	7.75	7.14	7.48	8.00	7.55	7.75	7.42	8.19	8.19	7.68	6.08	7.07	7.87	7.00	7.14
MD4	6.48	7.14	7.07	7.55	7.28	6.93	5.57	6.16	6.40	6.71	5.10	0	5.20	6.78	6.71	6.16	6.86	6.56	6.40	6.48	7.21	7.35	6.78	6.00	6.40	7.94	8.12	7.55	8.06	7.87	8.37	7.81	8.25	8.49	8.06	8.49	8.19	8.66	8.54	8.06	7.42	7.62	8.60	7.81	7.81
MD3	6.24	6.63	6.71	7.48	6.78	6.86	5.66	6.24	5.66	5.83	5.20	5.20	0	6.08	6.16	6.24	6.00	6.00	6.63	6.71	6.86	7.28	6.56	6.56	5.83	7.21	7.42	6.93	7.21	7.28	7.68	7.21	7.42	8.06	7.48	7.42	7.35	8.00	7.87	7.75	6.78	7.00	8.06	7.21	7.48
HD2	5.83	7.00	6.63	6.56	7.28	6.93	6.24	6.32	6.86	6.71	6.16	6.78	6.08	0	3.87	4.47	6.56	5.92	6.86	6.48	7.48	7.21	6.00	6.16	7.14	7.42	7.48	6.86	7.28	7.21	7.21	7.14	7.48	7.62	7.68	7.87	7.55	7.94	7.28	7.28	7.14	7.75	7.75	6.71	7.55
HD5	6.24	7.21	6.71	6.63	7.35	6.86	6.32	6.40	6.16	6.32	5.74	6.71	6.16	3.87	0	5.00	5.83	5.66	6.93	6.40	7.28	7.00	6.08	6.40	7.07	6.78	6.71	6.32	6.78	6.56	6.71	6.32	6.71	7.00	7.35	7.28	6.93	7.48	6.93	6.93	7.07	7.68	7.28	6.16	7.35
MD5	6.93	7.14	7.07	6.86	7.55	7.07	5.92	6.32	6.08	6.24	5.83	6.16	6.24	4.47	5.00	0	7.00	6.40	7.14	6.32	7.62	7.21	6.32	6.00	7.14	7.94	7.87	7.42	7.81	7.75	7.87	7.42	8.12	8.25	7.94	8.12	7.81	8.19	7.94	7.42	7.28	7.62	8.00	7.14	7.55
HD3	7.14	7.35	7.55	8.00	7.87	7.55	6.63	7.42	6.00	6.32	6.40	6.86	6.00	6.56	5.83	7.00	0	5.10	6.16	6.24	7.14	6.40	6.86	7.14	7.07	6.00	6.24	6.00	6.48	6.71	7.00	6.16	6.86	7.14	7.35	6.86	6.93	7.48	6.93	7.48	7.62	7.68	7.68	6.78	6.93
MD1	6.08	6.93	7.14	7.48	7.21	7.00	6.00	6.86	6.00	6.48	6.24	6.56	6.00	5.92	5.66	6.40	5.10	0	6.32	5.74	6.56	5.74	5.74	6.86	6.93	6.78	7.14	6.63	6.93	7.14	6.86	6.63	7.14	7.00	7.48	7.14	7.35	7.48	6.93	7.48	7.62	7.94	7.68	6.78	6.63
HD4	6.40	7.35	7.68	7.75	7.87	7.68	6.48	6.71	7.07	6.78	6.86	6.40	6.63	6.86	6.93	7.14	6.16	6.32	0	5.57	7.68	7.55	7.00	6.86	7.21	8.00	7.94	7.62	8.00	8.19	8.06	7.62	8.19	8.43	8.49	8.31	8.25	8.83	8.25	8.60	8.12	8.19	8.89	8.12	7.48
HD6	6.93	7.14	6.93	7.00	7.28	6.63	5.74	6.93	6.71	5.92	6.63	6.48	6.71	6.48	6.40	6.32	6.24	5.74	5.57	0	7.21	6.16	5.83	6.00	7.14	7.94	8.00	7.81	8.06	8.12	7.87	7.55	8.12	8.25	8.31	8.37	8.19	8.43	8.06	8.19	7.94	8.00	8.72	7.94	6.71
HD8	6.78	6.86	7.21	7.00	5.74	6.16	5.92	6.63	7.00	7.42	6.93	7.21	6.86	7.48	7.28	7.62	7.14	6.56	7.68	7.21	0	7.48	6.63	7.07	6.24	8.31	8.12	7.94	7.94	7.75	8.12	7.94	8.00	8.37	8.06	8.00	8.31	8.31	8.77	8.06	7.68	7.62	8.49	7.68	7.28
MD6	7.21	7.68	7.87	7.94	8.19	7.75	7.00	7.75	6.24	6.56	6.78	7.35	7.28	7.21	7.00	7.21	6.40	5.74	7.55	6.16	7.48	0	6.32	7.21	7.55	7.94	7.87	7.68	8.19	8.25	8.00	7.68	8.25	8.37	8.43	8.37	8.19	8.43	8.19	8.31	8.06	8.49	8.49	7.68	7.00
MD8	6.00	6.24	6.78	6.56	6.56	6.32	6.08	6.32	6.71	6.24	5.83	6.78	6.56	6.00	6.08	6.32	6.86	5.74	7.00	5.83	6.63	6.32	0	6.63	6.24	7.68	7.75	7.55	8.06	7.62	7.35	7.42	7.75	8.00	7.94	7.75	7.81	7.94	7.81	7.55	7.00	7.75	7.87	6.86	6.71
HD10	6.78	6.56	6.63	6.24	7.14	6.78	6.08	5.83	6.71	6.56	6.16	6.00	6.56	6.16	6.40	6.00	7.14	6.86	6.86	6.00	7.07	7.21	6.63	0	7.00	8.06	8.12	7.55	8.19	8.00	8.12	7.81	8.37	8.37	7.94	8.37	8.19	8.19	8.31	7.81	7.42	7.62	8.37	7.55	7.28
MD9	7.00	6.63	7.28	7.21	6.00	6.56	6.16	6.24	6.16	6.48	5.92	6.40	5.83	7.14	7.07	7.14	7.07	6.93	7.21	7.14	6.24	7.55	6.24	7.00	0	8.00	7.94	7.62	8.12	8.06	8.43	8.12	8.19	8.89	8.25	8.19	8.25	8.83	8.60	8.12	6.48	7.14	8.54	7.75	7.21
NC1	8.19	8.49	8.31	8.60	8.72	8.43	7.87	8.31	6.93	7.48	7.00	7.94	7.21	7.42	6.78	7.94	6.00	6.78	8.00	7.94	8.31	7.94	7.68	8.06	8.00	0	5.00	5.10	5.48	6.56	7.14	6.16	5.74	7.00	7.07	6.56	6.63	7.21	6.63	7.48	7.75	8.43	8.06	7.35	8.25
NC3	8.12	8.43	8.37	8.54	8.54	8.37	7.81	8.12	7.00	7.42	7.21	8.12	7.42	7.48	6.71	7.87	6.24	7.14	7.94	8.00	8.12	7.87	7.75	8.12	7.94	5.00	0	5.39	6.24	6.48	6.78	6.24	6.00	7.07	7.14	6.32	6.56	7.28	6.86	7.42	7.55	8.37	8.00	7.28	8.43
NC2	7.68	8.12	7.94	8.37	8.49	8.19	7.21	7.94	6.32	7.21	7.00	7.55	6.93	6.86	6.32	7.42	6.00	6.63	7.62	7.81	7.94	7.68	7.55	7.55	7.62	5.10	5.39	0	4.90	6.56	7.00	6.00	6.24	7.28	6.93	6.71	6.78	6.93	6.00	7.21	7.48	8.19	7.68	6.93	8.25
NC5	7.94	8.60	8.31	8.60	8.60	8.31	7.48	8.31	7.07	7.62	7.42	8.06	7.21	7.28	6.78	7.81	6.48	6.93	8.00	8.06	7.94	8.19	8.06	8.19	8.12	5.48	6.24	4.90	0	6.56	7.00	6.16	5.57	7.00	7.21	6.86	6.78	7.21	6.32	7.75	8.12	8.54	8.19	7.48	8.60
NC10	7.75	8.19	8.12	8.43	8.19	7.87	7.68	8.00	7.28	7.81	7.07	7.87	7.28	7.21	6.56	7.75	6.71	7.14	8.19	8.12	7.75	8.25	7.62	8.00	8.06	6.56	6.48	6.56	6.56	0	5.83	5.20	5.29	5.29	6.71	6.48	6.24	7.00	7.00	6.71	7.42	8.25	7.87	7.00	8.31
NC6	7.48	7.81	7.87	7.94	8.19	7.75	8.06	8.00	7.55	7.81	7.75	8.37	7.68	7.21	6.71	7.87	7.00	6.86	8.06	7.87	8.12	8.00	7.35	8.12	8.43	7.14	6.78	7.00	7.00	5.83	0	5.00	6.48	5.66	6.71	6.32	5.92	6.40	5.92	7.00	8.19	8.60	7.87	6.86	8.19
NC7	7.81	8.00	8.06	8.25	8.49	7.94	7.62	7.81	6.78	7.48	7.14	7.81	7.21	7.14	6.32	7.42	6.16	6.63	7.62	7.55	7.94	7.68	7.42	7.81	8.12	6.16	6.24	6.00	6.16	5.20	5.00	0	5.92	5.57	6.32	6.24	5.83	6.16	5.83	6.78	7.87	8.31	7.68	6.93	8.12
NC4	8.00	8.54	8.37	8.54	8.54	8.37	7.81	8.25	7.42	7.81	7.48	8.25	7.42	7.48	6.71	8.12	6.86	7.14	8.19	8.12	8.00	8.25	7.75	8.37	8.19	5.74	6.00	6.24	5.57	5.29	6.48	5.92	0	6.16	7.28	6.63	6.56	7.28	7.42	7.55	7.94	8.49	8.37	7.55	8.54
NC9	8.12	8.54	8.37	8.54	8.77	8.37	8.19	8.49	7.94	8.31	8.00	8.49	8.06	7.62	7.00	8.25	7.14	7.00	8.43	8.25	8.37	8.37	8.00	8.37	8.89	7.00	7.07	7.28	7.00	5.29	5.66	5.57	6.16	0	7.14	6.48	6.71	6.56	6.71	6.86	8.31	8.94	8.25	7.42	8.66
NC11	8.19	7.75	7.81	8.12	8.25	7.81	7.87	8.06	7.07	7.75	7.55	8.06	7.48	7.68	7.35	7.94	7.35	7.48	8.49	8.31	8.06	8.43	7.94	7.94	8.25	7.07	7.14	6.93	7.21	6.71	6.71	6.32	7.28	7.14	0	5.39	5.66	5.10	7.07	6.00	7.35	7.81	7.81	7.07	8.00
NC12	8.12	8.06	8.00	8.19	8.31	8.00	8.19	8.37	7.14	7.68	7.75	8.49	7.42	7.87	7.28	8.12	6.86	7.14	8.31	8.37	8.00	8.37	7.75	8.37	8.19	6.56	6.32	6.71	6.86	6.48	6.32	6.24	6.63	6.48	5.39	0	4.58	5.00	6.71	6.40	7.68	8.49	7.87	7.14	8.19
NC15	8.06	8.12	8.19	8.37	8.25	7.94	7.87	8.06	7.07	7.62	7.42	8.19	7.35	7.55	6.93	7.81	6.93	7.35	8.25	8.19	8.31	8.19	7.81	8.19	8.25	6.63	6.56	6.78	6.78	6.24	5.92	5.83	6.56	6.71	5.66	4.58	0	5.83	6.78	6.32	7.75	8.31	7.94	7.07	8.25
NC13	8.43	7.75	7.81	8.00	8.37	8.06	8.12	8.19	7.75	8.12	8.19	8.66	8.00	7.94	7.48	8.19	7.48	7.48	8.83	8.43	8.31	8.43	7.94	8.19	8.83	7.21	7.28	6.93	7.21	7.00	6.40	6.16	7.28	6.56	5.10	5.00	5.83	0	6.48	6.00	7.75	8.43	7.81	7.07	8.25
NC8	7.94	8.49	8.43	8.72	8.83	8.54	8.12	8.31	7.35	7.75	8.19	8.54	7.87	7.28	6.93	7.94	6.93	6.93	8.25	8.06	8.77	8.19	7.81	8.31	8.60	6.63	6.86	6.00	6.32	7.00	5.92	5.83	7.42	6.71	7.07	6.71	6.78	6.48	0	7.48	8.49	9.11	8.19	7.35	8.49
NC14	7.94	7.87	8.19	8.00	8.12	7.81	7.87	7.94	7.21	8.12	7.68	8.06	7.75	7.28	6.93	7.42	7.48	7.48	8.60	8.19	8.06	8.31	7.55	7.81	8.12	7.48	7.42	7.21	7.75	6.71	7.00	6.78	7.55	6.86	6.00	6.40	6.32	6.00	7.48	0	7.21	7.81	7.81	6.93	8.37
MD12	7.55	6.78	6.71	7.07	6.93	6.86	7.07	7.28	6.48	6.63	6.08	7.42	6.78	7.14	7.07	7.28	7.62	7.62	8.12	7.94	7.68	8.06	7.00	7.42	6.48	7.75	7.55	7.48	8.12	7.42	8.19	7.87	7.94	8.31	7.35	7.68	7.75	7.75	8.49	7.21	0	5.92	7.81	6.93	7.35
MD14	8.25	6.86	7.62	7.55	7.28	7.21	7.28	7.21	7.28	7.28	7.07	7.62	7.00	7.75	7.68	7.62	7.68	7.94	8.19	8.00	7.62	8.49	7.75	7.62	7.14	8.43	8.37	8.19	8.54	8.25	8.60	8.31	8.49	8.94	7.81	8.49	8.31	8.43	9.11	7.81	5.92	0	8.60	7.81	7.00
MD13	8.12	8.31	8.25	8.31	8.66	8.25	8.31	8.12	7.81	8.31	7.87	8.60	8.06	7.75	7.28	8.00	7.68	7.68	8.89	8.72	8.49	8.49	7.87	8.37	8.54	8.06	8.00	7.68	8.19	7.87	7.87	7.68	8.37	8.25	7.81	7.87	7.94	7.81	8.19	7.81	7.81	8.60	0	4.36	8.66
MD15	7.14	7.48	7.42	7.48	7.75	7.42	7.48	7.28	6.93	7.48	7.00	7.81	7.21	6.71	6.16	7.14	6.78	6.78	8.12	7.94	7.68	7.68	6.86	7.55	7.75	7.35	7.28	6.93	7.48	7.00	6.86	6.93	7.55	7.42	7.07	7.14	7.07	7.07	7.35	6.93	6.93	7.81	4.36	0	7.87
MD11	7.94	6.63	7.00	6.93	7.48	7.28	7.07	6.86	6.93	6.32	7.14	7.81	7.48	7.55	7.35	7.55	6.93	6.63	7.48	6.71	7.28	7.00	6.71	7.28	7.21	8.25	8.43	8.25	8.60	8.31	8.19	8.12	8.54	8.66	8.00	8.19	8.25	8.25	8.49	8.37	7.35	7.00	8.66	7.87	0
