bray_curtis_binary	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
MD8	0.529	0.595	0.534	0.622	0.558	0.573	0.556	0.581	0.746	0.590	0.673	0.425	0.507	0.579	0.571	0.524	0.692	0.570	0.731	1.000	0.750	1.000	0.515	0.623	0.590	0.588	0.526	0.534	0	0.506	0.831	0.879	0.940	0.882	0.940	0.877	0.910	0.877	0.857	0.811	0.890	0.844	0.846	0.859	0.889
MD9	0.605	0.563	0.512	0.609	0.400	0.591	0.506	0.680	0.658	0.542	0.735	0.548	0.442	0.438	0.470	0.632	0.487	0.565	0.525	0.973	0.548	1.000	0.443	0.415	0.451	0.630	0.640	0.488	0.506	0	0.762	0.823	0.850	0.827	0.975	0.846	0.850	0.744	0.759	0.770	0.767	0.922	0.846	0.881	0.929
NC1	0.893	0.802	0.900	0.852	0.905	0.902	0.899	0.797	0.514	0.711	0.742	0.724	0.775	0.831	0.896	0.657	0.667	0.791	0.811	0.942	0.816	1.000	0.671	0.684	0.741	0.840	0.759	0.700	0.831	0.762	0	0.589	0.676	0.573	0.703	0.778	0.595	0.361	0.325	0.407	0.375	0.718	0.528	0.564	0.620
NC10	0.857	0.842	0.893	0.868	0.848	0.922	0.838	0.813	0.692	0.788	0.754	0.805	0.787	0.769	0.889	0.785	0.791	0.852	0.797	0.969	0.829	1.000	0.735	0.746	0.775	0.857	0.872	0.813	0.879	0.823	0.589	0	0.652	0.600	0.710	0.672	0.565	0.642	0.583	0.368	0.573	0.515	0.403	0.671	0.378
NC11	0.944	0.818	0.789	0.792	0.850	0.846	0.813	0.908	0.818	0.837	0.931	0.831	0.816	0.823	0.890	0.848	0.735	0.780	0.771	0.938	0.735	1.000	0.826	0.778	0.802	0.887	0.899	0.789	0.940	0.850	0.676	0.652	0	0.408	0.371	0.529	0.457	0.706	0.699	0.688	0.684	0.672	0.588	0.676	0.680
NC12	0.917	0.897	0.844	0.821	0.852	0.848	0.842	0.939	0.701	0.793	0.898	0.833	0.870	0.800	0.946	0.761	0.739	0.807	0.831	0.939	0.857	1.000	0.857	0.753	0.878	0.917	0.875	0.766	0.882	0.827	0.573	0.600	0.408	0	0.352	0.594	0.296	0.652	0.541	0.564	0.610	0.588	0.565	0.600	0.553
NC13	1.000	0.870	0.789	0.792	0.875	0.821	0.867	0.969	0.848	0.907	0.966	0.855	0.868	0.873	0.918	0.848	0.882	0.829	0.857	0.938	0.855	1.000	0.971	0.889	0.926	0.944	0.899	0.868	0.940	0.975	0.703	0.710	0.371	0.352	0	0.529	0.486	0.706	0.726	0.688	0.684	0.612	0.559	0.568	0.573
NC14	0.913	0.813	0.838	0.893	0.846	0.842	0.836	0.841	0.875	0.881	0.857	0.827	0.838	0.844	0.887	0.875	0.788	0.875	0.765	0.968	0.753	1.000	0.881	0.857	0.823	0.797	0.896	0.892	0.877	0.846	0.778	0.672	0.529	0.594	0.529	0	0.588	0.788	0.775	0.760	0.811	0.754	0.697	0.778	0.644
NC15	0.915	0.870	0.868	0.870	0.850	0.897	0.840	0.877	0.727	0.791	0.828	0.807	0.816	0.873	0.890	0.818	0.735	0.829	0.857	0.969	0.831	1.000	0.797	0.750	0.827	0.859	0.848	0.763	0.910	0.850	0.595	0.565	0.457	0.296	0.486	0.588	0	0.676	0.589	0.558	0.605	0.522	0.500	0.622	0.600
NC2	0.855	0.760	0.892	0.840	0.923	0.921	0.918	0.746	0.563	0.690	0.714	0.753	0.703	0.818	0.887	0.688	0.606	0.850	0.824	0.937	0.827	1.000	0.731	0.686	0.722	0.797	0.766	0.703	0.877	0.744	0.361	0.642	0.706	0.652	0.706	0.788	0.676	0	0.408	0.520	0.324	0.754	0.545	0.500	0.726
NC3	0.892	0.825	0.899	0.875	0.880	0.901	0.897	0.824	0.565	0.708	0.738	0.744	0.772	0.805	0.868	0.739	0.690	0.835	0.781	0.941	0.814	1.000	0.722	0.733	0.786	0.838	0.756	0.696	0.857	0.759	0.325	0.583	0.699	0.541	0.726	0.775	0.589	0.408	0	0.450	0.494	0.657	0.549	0.610	0.641
NC4	0.821	0.833	0.880	0.833	0.839	0.859	0.854	0.778	0.644	0.720	0.692	0.733	0.735	0.744	0.850	0.699	0.733	0.820	0.818	0.972	0.800	1.000	0.737	0.696	0.773	0.846	0.791	0.735	0.811	0.770	0.407	0.368	0.688	0.564	0.688	0.760	0.558	0.520	0.450	0	0.373	0.568	0.467	0.679	0.463
NC5	0.818	0.807	0.902	0.831	0.860	0.881	0.852	0.746	0.583	0.696	0.719	0.730	0.683	0.741	0.873	0.667	0.676	0.841	0.868	0.944	0.820	1.000	0.733	0.667	0.747	0.792	0.788	0.707	0.890	0.767	0.375	0.573	0.684	0.610	0.684	0.811	0.605	0.324	0.494	0.373	0	0.671	0.514	0.500	0.605
NC6	0.824	0.892	0.836	0.838	0.870	0.840	0.833	0.839	0.778	0.783	0.818	0.775	0.890	0.868	0.914	0.746	0.877	0.848	1.000	1.000	0.925	1.000	0.909	0.855	0.897	0.912	0.842	0.836	0.844	0.922	0.718	0.515	0.672	0.588	0.612	0.754	0.522	0.754	0.657	0.568	0.671	0	0.385	0.493	0.444
NC7	0.884	0.813	0.865	0.867	0.923	0.895	0.863	0.810	0.594	0.690	0.714	0.704	0.784	0.818	0.859	0.688	0.697	0.825	0.912	0.937	0.852	1.000	0.761	0.743	0.772	0.797	0.766	0.757	0.846	0.846	0.528	0.403	0.588	0.565	0.559	0.697	0.500	0.545	0.549	0.467	0.514	0.385	0	0.472	0.425
NC8	0.840	0.852	0.900	0.877	0.929	0.927	0.924	0.768	0.686	0.756	0.774	0.747	0.825	0.928	0.896	0.686	0.750	0.837	0.973	0.971	0.954	1.000	0.918	0.816	0.859	0.840	0.807	0.750	0.859	0.881	0.564	0.671	0.676	0.600	0.568	0.778	0.622	0.500	0.610	0.679	0.500	0.493	0.472	0	0.570
NC9	0.868	0.854	0.901	0.854	0.906	0.880	0.875	0.829	0.718	0.780	0.778	0.773	0.827	0.833	0.923	0.690	0.863	0.862	0.920	0.971	0.909	1.000	0.865	0.844	0.837	0.895	0.833	0.852	0.889	0.929	0.620	0.378	0.680	0.553	0.573	0.644	0.600	0.726	0.641	0.463	0.605	0.444	0.425	0.570	0
