function	description	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
EC:1.1.1.18	Inositol 2-dehydrogenase	447.17	1166.5700000000004	904.95	2010.5	470.24	1103.79	742.38	1167.33	498.33	757.99	604.71	693.3	506.5	389.22	502.28	546.45	1137.35	1131.21	897.3000000000002	26777.6	936.9	18021.87	641.1700000000002	711.5000000000001	757.7500000000001	815.62	745.86	1384.7900000000004	274.01	349.16	668.1699999999997	863.52	1539.97	1660.4299999999996	1737.83	1609.2600000000002	2788.85	539.3299999999998	512.24	810.6600000000002	737.8	796.3299999999998	661.2900000000002	777.62	1127.89
EC:1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase	22019.77	21450.55000000001	21496.840000000004	19914.590000000004	21520.92000000001	21458.46	20824.550000000007	15894.77	16406.129999999994	18365.67	13887.34	19543.790000000005	25358.83999999999	20726.820000000007	23740.540000000008	23941.200000000008	18335.34	19752.07	22981.32000000001	42672.45	19710.3	40209.97	16659.06	18064.37	21580.090000000004	19578.12000000001	23055.840000000004	18773.529999999995	18409.96	20310.72999999998	16443.36	27576.899999999994	29365.22000000001	26337.86000000001	33324.46000000001	29205.330000000016	23255.05000000001	16977.93	20593.920000000006	23212.62000000001	19653.88	28079.66	24993.469999999994	26569.43000000002	26195.42000000001
EC:1.1.1.2	Alcohol dehydrogenase (NADP(+))	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.57	4.0	0.14	1.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.14	0.14	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.202	1,3-propanediol dehydrogenase	113.0	20.06	11.45	77.0	39.25	149.29	9.54	13.0	1.5	25.82	18.380000000000006	60.45	13.0	1.38	34.120000000000005	61.79	52.68	224.71	294.14	147.76	176.41	32.71	7.33	12.0	8.58	67.12	19.86	181.12	99.0	9.82	193.33	32.0	95.14	68.12	85.0	16.25	54.52	140.33	68.58	67.0	125.47	35.0	108.12	117.12	50.38
EC:1.1.1.203	Uronate dehydrogenase	3.0	2.0	0.0	0.0	1.0	10.0	9.0	2.0	0.0	1.0	3.0	0.0	0.0	1.0	2.0	1.0	1.0	21.0	23.0	28.0	13.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
EC:1.1.1.205	IMP dehydrogenase	41028.60000000001	44086.58000000001	52691.59000000001	44960.34000000001	53677.42000000001	45843.85	48096.55	45361.35000000001	31278.880000000016	40278.42000000001	42794.59	38426.960000000014	48196.59	52517.90000000001	47432.79000000001	38077.95000000001	40396.9	43987.32000000001	53564.15	51233.31000000001	50419.48999999999	49392.58000000001	47145.64	43461.62	44194.92	41928.540000000015	34251.37	43303.23	45807.13	52488.78999999997	39377.11	48987.23	45117.97000000002	43511.110000000015	50882.88000000001	43055.580000000016	42902.38000000001	42774.01000000002	37917.92	48948.87	44420.91	43688.66	40499.55	41795.26000000002	46969.78000000001
EC:1.1.1.215	Gluconate 2-dehydrogenase	2.0	4.1400000000000015	4.66	2.33	1.0	58.62	56.29	14.67	8.33	6.9	0.67	2.33	4.67	5.33	9.83	4.0	9.76	147.04	204.47	3827.76	345.12	5806.71	3.66	2.0	5.66	6.0	16.86	10.33	6.67	4.24	1.33	2.33	6.81	8.67	0.33	0.0	1.14	1.0	1.66	6.5	0.8	7.17	0.33	1.0	1.0
EC:1.1.1.219	Dihydrokaempferol 4-reductase	33.0	8.0	40.33	54.0	47.83	23.0	32.5	13.33	17.5	15.0	14.33	26.0	19.0	18.33	19.0	20.0	35.33	55.17	52.17	723.67	41.33	375.0	29.67	19.33	26.33	24.5	30.67	20.0	35.67	12.83	48.83	76.0	79.17	120.5	76.0	145.82999999999996	87.5	124.83	147.67	110.83	82.83	112.0	57.0	20.33	17.0
EC:1.1.1.22	UDP-glucose 6-dehydrogenase	32519.94	34202.28000000001	43696.539999999986	39480.46	42503.77	38868.4	41451.140000000014	37970.62000000002	26006.230000000003	33288.840000000004	36384.67	33747.210000000014	40822.77	42443.820000000014	37624.460000000014	33169.37000000002	35404.930000000015	38137.34000000001	49298.50000000001	91769.74	40793.779999999984	94194.0	39786.31000000001	35875.3	35462.750000000015	35224.890000000014	30350.85	39343.390000000014	39833.959999999985	41840.28999999999	31354.55000000001	44113.39000000001	39162.680000000015	37052.72	38822.22	34145.34000000001	35708.64000000001	28433.230000000003	31325.180000000004	42122.82	34121.98999999998	38130.67000000001	35496.709999999985	33357.75000000001	40726.99000000001
EC:1.1.1.23	Histidinol dehydrogenase	38252.35000000001	39442.720000000016	47909.09	40922.59000000001	49154.42000000001	43333.38	46449.8	43834.35000000001	27834.13000000001	36475.92000000001	41865.34	32636.96000000001	43934.84	48216.90000000001	43786.540000000015	33313.95000000001	36494.01000000002	34971.150000000016	50482.32	43284.2	42454.37999999998	41685.220000000016	45385.89	40185.62	40279.67	39846.040000000015	30343.76	37628.2	43064.88	47556.89999999997	34983.11000000001	43910.48	38342.720000000016	38081.110000000015	44399.63000000001	38400.330000000016	37401.38000000001	35251.51	34471.42000000001	44149.37	39279.55	40796.66	35744.55	34707.760000000024	43734.67000000001
EC:1.1.1.25	Shikimate dehydrogenase	57193.68000000001	63292.00000000001	80896.34000000001	66287.59000000001	83827.67000000003	71620.77	79799.29999999999	71946.93000000001	41061.13000000001	56330.92000000001	67479.34	56160.88000000001	74436.33999999997	82409.48000000001	70945.79000000001	51578.45000000001	61552.32000000001	55262.90000000001	89836.40000000002	50458.31000000001	68854.81999999999	44720.33000000001	75860.22	64275.12	62720.75000000001	66134.71	46704.04000000001	61896.4	77513.05	79638.45999999998	54878.86	79441.31	60670.97000000002	66226.86000000003	75525.05	67335.83	62014.71000000002	51606.09000000001	53850.42000000001	77755.62	61929.83	64905.15999999999	55969.38	46424.09000000002	70313.28000000001
EC:1.1.1.251	Galactitol-1-phosphate 5-dehydrogenase	1.0	2.33	3.33	2.33	0.0	12.33	5.0	14.67	7.33	2.33	0.67	0.0	4.67	5.33	7.33	0.33	0.33	52.33	127.33	3481.0	233.33	5742.0	3.33	2.0	2.33	6.0	3.0	2.33	2.67	1.67	1.0	2.33	6.67	6.67	0.33	0.0	0.0	0.67	1.33	4.0	0.33	6.67	0.33	0.0	1.0
EC:1.1.1.26	Glyoxylate reductase	473.5	382.0	615.33	400.0	673.33	599.0	1997.0	91.33	248.5	476.5	53.83	599.0	611.0	1159.33	492.5	383.5	233.33	873.17	790.67	100.67	934.33	47.5	294.17	444.33	1169.83	64.5	269.67	132.0	513.6700000000002	869.83	191.83	995.0	357.67	221.5	530.0	536.3299999999998	217.5	271.83	173.17	514.3299999999998	372.33	571.5	599.0	204.83	894.5
EC:1.1.1.261	sn-glycerol-1-phosphate dehydrogenase	1492.5	1568.0	3005.83	2464.5	1242.33	1161.14	1291.0	503.33	798.5	1454.5	295.8300000000001	1668.0	482.0	1366.83	681.0	1025.0	1404.83	1610.24	909.17	768.81	1207.12	485.5	753.6700000000002	1080.83	855.33	635.5	917.67	1832.5	2793.17	1189.83	617.3299999999998	764.5	2195.81	2417.0	2240.5	1905.97	2766.14	697.12	661.1700000000002	726.8299999999998	584.3299999999998	1185.5	679.5	917.83	1104.5
EC:1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase	17784.460000000006	22916.48	19069.33	17955.29	16876.61	22417.130000000005	23483.64	17288.04	11529.8	14660.1	13451.49	21331.79	27824.34	18002.379999999994	25412.69000000001	20932.61	14588.68	17139.329999999998	24549.910000000003	37070.81	14293.660000000002	37549.16	12118.25	11631.54	19688.070000000003	21926.200000000004	16624.86	15686.67	15828.64	15505.29	12820.46	23130.39	16595.989999999998	25373.18000000001	17734.059999999998	26163.939999999995	18737.36	15141.21	15576.69	23628.550000000007	15271.88	19163.51	17996.0	16173.0	21743.05
EC:1.1.1.264	L-idonate 5-dehydrogenase (NAD(P)(+))	24.0	0.0	10.0	6.0	18.0	0.0	0.0	0.0	0.0	0.0	11.0	3.0	12.0	0.0	0.0	4.0	21.0	9.0	1.0	5.0	3.0	0.0	6.0	1.0	20.0	0.0	16.0	3.0	3.0	1.0	0.0	3.0	0.0	0.0	0.0	23.0	7.0	16.0	5.0	7.0	4.0	0.0	0.0	14.0	2.0
EC:1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase	39501.85000000001	42505.890000000014	49351.34000000001	43424.09000000001	50345.17000000001	44865.88	47443.13	44966.60000000001	29977.96000000001	37910.42000000001	42497.68	37561.88000000001	45565.01	49596.65000000001	44830.29000000001	36493.62000000002	39734.26	37668.4	51910.91	44647.2	44096.37999999999	41966.05000000002	46434.39	42133.62	42833.09	41451.37000000002	33430.26000000002	41679.45	45038.05	48613.06999999998	36938.360000000015	47687.48	42757.140000000014	42193.03000000001	48432.05000000001	41895.66	41666.210000000014	37526.09000000001	36793.42000000001	47745.12	41916.22	43017.66	38526.88	36692.26000000002	46001.84000000001
EC:1.1.1.27	L-lactate dehydrogenase	28467.060000000005	31957.120000000014	40637.250000000015	29987.130000000016	40104.720000000016	33398.73999999998	38016.42000000001	36320.05	16209.91	27322.49	32852.009999999995	25996.44000000001	34375.25	34211.12000000002	32764.51000000001	22195.500000000004	30791.730000000003	29176.23000000001	46967.14	13096.19	39064.97	5879.329999999999	36086.23000000002	32311.83	32163.01	32990.930000000015	21139.0	30715.240000000005	36565.09	37184.419999999984	31724.900000000016	37364.62	36247.34000000001	31561.310000000016	40260.39	32340.350000000013	31045.55000000001	39630.55000000002	26586.300000000007	36227.23	36585.84	31004.98	31197.629999999994	41923.10000000001	30170.490000000005
EC:1.1.1.271	GDP-L-fucose synthase	16721.06	18116.63	28862.060000000005	25777.46000000001	28959.22000000001	24301.349999999995	26235.12000000001	26148.39	17754.26	22373.960000000006	27925.88	21320.040000000008	21284.34	29626.240000000016	21532.880000000005	17778.880000000005	20029.5	23496.96	30172.870000000006	60087.02000000001	24832.609999999993	52274.84000000001	28137.730000000003	23628.490000000005	19336.69	20246.620000000006	14775.34	24598.16000000001	27249.83	30066.34999999998	20796.4	22071.5	17576.780000000002	19615.13	17375.300000000007	15444.35	20984.590000000004	13435.77	19468.89	23477.930000000004	16730.809999999998	17370.250000000004	15626.68	10998.64	21221.670000000006
EC:1.1.1.276	Serine 3-dehydrogenase (NADP(+))	0.0	0.0	1.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	4.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.28	D-lactate dehydrogenase	25988.87000000001	24674.58	43801.78	36652.12	45681.12	36358.72	41080.84	44654.46000000001	20382.13	29573.750000000004	46321.38	25558.230000000003	31046.68	45108.33	30629.73	21522.570000000003	31654.22	29414.8	52571.3	46008.73	39863.42000000001	45171.76	48505.32000000001	36483.039999999986	26022.480000000003	32846.32	16276.28	36752.680000000015	47858.13999999999	46285.81	31827.54	35981.03	23163.0	26657.83	27691.150000000005	20999.120000000006	28430.320000000003	23894.250000000004	25909.86	37764.14	30624.08	23358.1	21004.860000000004	16767.78	31292.31
EC:1.1.1.281	GDP-4-dehydro-6-deoxy-D-mannose reductase	29.0	74.0	33.0	22.0	16.0	11.0	35.0	39.0	142.0	47.0	14.0	34.0	43.0	26.0	25.0	32.0	156.0	38.0	15.0	38.0	37.0	21.0	51.0	93.0	53.0	79.0	35.0	64.0	41.0	46.0	168.0	102.0	61.0	52.0	33.0	74.0	37.0	182.0	361.0	101.0	199.0	212.0	170.0	132.0	98.0
EC:1.1.1.282	Quinate/shikimate dehydrogenase	1.0	2.33	3.33	2.33	0.0	12.33	5.0	14.67	7.33	2.33	0.67	0.0	4.67	5.33	7.33	0.33	0.33	52.33	127.33	3481.0	233.33	5742.0	3.33	2.0	2.33	6.0	3.0	2.33	2.67	1.67	1.0	2.33	6.67	6.67	0.33	0.0	0.0	0.67	1.33	4.0	0.33	6.67	0.33	0.0	1.0
EC:1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase	18.5	10.89	33.45	78.0	52.75	76.93	68.71000000000001	23.0	24.5	15.49	10.71	7.78	6.0	4.88	18.62	31.79	22.18	183.11	106.97	478.9	137.2	180.71	7.33	13.0	21.58	19.12	60.03	15.12	9.0	8.82	26.0	10.0	58.28	98.62	52.0	57.89	73.66	41.12	37.08	24.5	33.47	20.0	13.79	30.45	22.38
EC:1.1.1.289	Sorbose reductase	0.0	0.0	23.0	34.0	23.5	2.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.5	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	39.0	28.5	26.0	29.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.29	Glycerate dehydrogenase	29734.98000000001	38353.000000000015	48079.05000000001	39725.710000000014	49771.89000000002	39846.05	45565.16	40001.470000000016	25403.74000000001	35705.66	35898.3	33903.23	43909.01	50429.24000000001	42125.56000000001	30269.14000000001	34243.08	39889.15	49805.9	31864.36000000001	46475.80999999999	27124.31	42454.22	38815.17	39690.44	36462.970000000016	24723.810000000005	36439.08	40391.0	50725.27999999998	31092.240000000016	45057.85000000001	29850.210000000014	36935.38000000002	38011.23	37448.45000000001	35672.53000000001	30364.6	30847.550000000007	42534.74000000001	32280.92	35583.319999999985	32628.259999999995	21209.23000000001	38644.92000000001
EC:1.1.1.290	4-phosphoerythronate dehydrogenase	1922.46	3736.72	3013.91	6538.45	857.12	3891.0	1683.71	3144.04	5215.46	4933.19	3170.58	7282.95	2643.34	1220.88	2168.53	4217.29	5274.34	5081.84	2960.42	34075.0	2487.04	36101.08	3037.41	3400.04	4045.08	3545.37	7004.03	7824.0	1936.8	1824.95	5010.04	2475.7	4175.530000000002	6115.37	3799.74	4723.95	6312.89	4190.67	6569.53	2888.2200000000007	3553.55	2869.01	3918.58	4071.66	3757.8
EC:1.1.1.291	2-hydroxymethylglutarate dehydrogenase	49.0	3.0	6.0	9.0	6.0	13.0	24.0	26.0	1.0	3.0	31.0	7.0	3.0	12.0	20.0	23.0	4.0	5.0	9.0	0.0	6.0	1.0	2.0	9.0	7.0	12.0	14.0	2.0	7.0	3.0	4.0	14.0	4.0	2.0	3.0	0.0	4.0	5.0	1.0	6.0	5.0	7.0	5.0	3.0	9.0
EC:1.1.1.3	Homoserine dehydrogenase	39966.35000000001	43133.81000000001	50143.330000000016	44070.25000000002	50706.84000000001	45469.06	47811.92000000001	45708.77000000001	30296.790000000008	38526.99000000001	42886.51000000002	38163.210000000014	46610.33999999999	49924.15000000001	45615.12000000001	37089.62000000002	40538.74000000001	40580.110000000015	53382.7	53956.40000000001	47491.44	49648.37000000001	46922.55	42689.95	43495.75	42185.710000000014	34094.73	43000.390000000014	45522.05	49038.02999999997	38022.69	49124.14	43625.95000000001	42968.03000000001	49837.88000000001	42253.330000000016	42633.69000000002	39197.430000000015	37628.58	49146.12	43332.79	44573.83	41711.05	38646.26000000002	47670.95000000001
EC:1.1.1.30	3-hydroxybutyrate dehydrogenase	52.0	4.0	27.0	50.0	46.0	72.0	63.0	25.0	19.0	8.0	30.0	18.0	32.0	11.0	8.0	53.0	46.0	149.0	136.0	3979.0	133.0	1051.0	25.0	17.0	47.0	26.0	77.0	31.0	20.0	19.0	18.0	15.0	25.0	31.0	10.0	49.0	51.0	48.0	45.0	38.0	28.0	8.0	7.0	32.0	41.0
