pathway	description	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
COA-PWY	coenzyme A biosynthesis I	38969.4478	41900.5788	47951.8063	42448.3184	49207.0131	44146.8358	46335.445	44631.9125	30334.7335	37298.5184	42300.6843	36965.0641	45624.1842	48288.8542	44709.0583	36897.2727	39301.5344	39333.1241	52034.5477	45474.9622	45795.1929	42166.2789	45816.4723	41317.5981	42175.2498	41116.433	33078.3526	41797.7174	42963.9052	47537.0529	39121.6516	47562.4482	43123.5889	42304.9052	49145.4024	41697.547	42017.0443	42172.6517	37408.8174	48070.039000000004	43667.810999999994	42443.8727	39679.3512	41174.6861	46085.5754
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	33058.6279	31239.8843	40460.201	30845.0267	41113.9886	34083.6332	39118.891	36633.5551	18648.6427	28320.3877	35308.054	25372.7329	33996.323	35138.5833	33512.6388	28041.7704	29418.7306	26518.2676	45253.1658	23355.5152	34748.6558	26485.2222	37804.4591	33222.592000000004	33705.5152	33567.7673	22498.0727	29684.9018	38071.8517	37470.7141	26328.5312	37788.1756	36309.8968	32000.6935	38952.4901	33706.2367	31771.601000000002	26699.556	25658.4645	36060.7817	29906.5183	33293.5543	28984.5826	28095.3895	29638.8941
CODH-PWY	reductive acetyl coenzyme A pathway	9976.7112	317.253	248.8528	688.1329	1576.2988	1134.5506	1136.274	602.8788	206.2775	397.3731	4749.4007	1108.7675	702.4916	426.142	2200.6179	148.695	229.3197	143.2341	612.3723	1176.2568	221.4594	1138.4626	208.52700000000002	272.1123	403.0629	309.8294	107.8171	341.5654	1384.0669	427.1013	495.3062	269.2362	362.4407	440.6278	281.1717	205.4778	417.7676	447.1063	372.1239	749.0549	273.1435	427.8181	442.0045	303.8397	519.5178
COLANSYN-PWY	colanic acid building blocks biosynthesis	17978.2263	14374.7032	13550.1718	13319.1553	12336.6812	12542.3485	12456.0815	15613.6084	12120.6748	11870.011999999999	17239.6849	13661.4078	12525.5666	10960.1472	14027.8578	14144.1635	13089.2427	14746.8244	13331.1626	39296.9127	12445.5043	34853.8081	11113.3111	12959.6506	14299.3395	13906.8325	11217.7042	15048.1845	10475.353000000001	10048.0691	17229.5179	14122.6554	18504.3308	15323.5838	16056.5808	13752.5697	16869.4672	15908.6714	16718.308999999997	14456.473999999998	15343.8436	17856.9342	16997.4704	17221.2237	18664.5512
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	47967.5894	51455.0155	60787.0621	51521.6055	62771.4041	54589.5143	58875.7105	54644.0228	35191.1206	45513.3147	50945.4677	44312.4022	56676.512	61461.5038	55229.6875	44181.5245	47866.2329	45033.5472	64422.3727	44853.6735	54443.6206	42700.6531	56790.3863	51100.545	51843.5884	50467.7267	39092.936	48925.8121	55830.9613	60335.0143	44554.6863	59145.3342	52117.9332	51300.0577	60247.1596	51815.2019	49289.712999999996	45788.248	43887.7571	59125.1737	51343.7972	51984.9867	46200.3085	44303.562999999995	56135.9759
CRNFORCAT-PWY	creatinine degradation I	70.024	5.5242	26.7548	17.3638	52.5748	102.9802	105.0416	5.849	0.0	2.8612	36.4586	8.3231	30.6824	2.804	5.5183	17.179000000000002	56.1646	153.83	145.1981	142.7779	173.4949	5.7542	16.0916	5.6761	54.2643	2.9564	45.1234	8.2181	13.1788	2.8858	2.9317	8.5126	0.0	2.9728	0.0	61.8913	22.395	45.3169	16.6251	22.1317	11.1172	0.0	0.0	39.1118	11.2994
DAPLYSINESYN-PWY	L-lysine biosynthesis I	39518.9922	47768.3158	53563.606	41767.0402	54977.3949	48744.3586	53706.9356	44906.758	27491.0815	38294.0174	35009.462999999996	38619.7359	54476.7588	54259.2981	52485.2207	39374.0061	37842.0327	41726.6112	58003.9518	27658.206000000002	50061.2725	23910.1075	42562.7359	40273.8539	46792.9673	45993.0873	31764.4857	37046.8868	44656.9317	52474.9626	36004.2373	53927.7593	44604.3741	45915.6684	52096.1579	48242.3862	40876.1613	40687.5671	35466.248	53610.5998	44387.0832	47162.4315	41416.4504	38929.9521	50497.9248
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	0.0	4.4262	0.9923	0.0	0.0	12.2155	19.2841	0.0	0.0	7.4289	10.5346	0.0	0.0	0.0	0.0	0.0	0.0	36.1476	34.3654	41.5585	20.8498	0.3946	0.0	0.0	0.0	0.0	6.5747	0.0	0.0	1.28	6.1424	0.0	0.0	1.9786	14.7103	12.9922	0.0	8.8458	0.0	0.0	0.0	0.0	5.8523	7.2692	0.3293
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	24344.0206	13947.6739	16152.1295	24798.5396	13446.4339	20230.2781	12891.6212	15897.0023	14822.4994	12580.7858	20517.4996	18905.994	11352.7527	11051.4758	17015.1357	20460.4153	10284.9892	21869.1273	18580.4028	51171.831	17941.6897	48683.4264	9843.3734	11270.8341	12049.6953	10439.6614	18791.2678	21703.7144	12535.5212	8025.3728	14167.5885	14843.3702	12226.031	15184.57	12384.6908	8058.0318	14733.9881	15051.202	16030.1985	13168.5161	13383.7826	20984.8794	18075.1715	18909.3975	18165.8871
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	38182.0793	42707.8713	50724.0774	44925.1189	49906.8511	47161.9082	47999.0209	45201.695	30141.4666	38358.5211	40021.1569	38495.9717	48431.2779	48990.99	45811.9523	38585.4413	38948.7183	39441.2185	55055.6544	81922.6772	44854.2831	73598.3539	44530.61	40365.4853	40896.375	41579.3409	34024.3932	41317.9131	45762.9196	48729.9022	37866.2818	53752.2005	43273.075999999994	45298.227999999996	50034.5641	44693.8794	42698.5459	42035.3202	36583.7079	49182.4903	42428.8413	47452.4406	43713.462999999996	42181.167	48809.9834
ECASYN-PWY	enterobacterial common antigen biosynthesis	4.8593	9.8041	13.4535	20.2927	7.709	34.3996	14.7681	33.9632	19.0939	15.993	1.6591	5.683	10.8382	12.3732	24.9714	7.3456	22.8575	174.0964	267.6304	6452.3197	509.2293	9195.3238	8.7479	4.8409	13.2157	14.4295	40.537	24.6498	13.0236	7.6312	3.2737	5.3981	25.8496	36.5038	10.4986	11.1183	12.4492	2.4653	4.0418	12.767000000000001	1.9592	16.9403	0.8214	2.4825	2.4657
ENTBACSYN-PWY	enterobactin biosynthesis	10.6578	18.4666	23.0409	12.41	0.0	77.3753	33.442	77.3941	44.2404	36.6519	3.5718	10.6539	24.843000000000004	28.333000000000002	52.1312	1.7598	51.8195	404.7551	646.2009	8362.8307	1264.1859	8533.5242	17.7261	10.6556	28.3607	31.8688	89.3308	54.803000000000004	30.1493	17.2426	5.3309	12.4163	36.2043	40.7559	1.7598	0.0	0.7466	3.5725	7.0889	29.2681	2.5062	38.1381	1.7598	5.3314	5.3312
FAO-PWY	fatty acid &beta;-oxidation I	823.0160000000001	2291.217	2103.6047	3217.9637	1729.6101	3471.2098	2357.6344	1232.7172	281.3393	1326.9066	778.8575	1378.2562	1092.5935	843.5919	1962.6679	513.4929	548.0771	1919.9554	1771.0304	10441.6526	1821.4334	14638.6532	778.4579	1224.2124	2193.589	809.1183	2559.313	1437.9262	508.5507	1052.5863	1818.7112	767.1552	869.3467	876.3361	724.529	610.9296	1245.3476	1002.3123	1181.197	1303.1818	1197.1933	1410.6996	991.9953	982.0582	1810.6098
FASYN-ELONG-PWY	fatty acid elongation -- saturated	23945.7609	17491.5204	17100.3651	23892.1508	11718.9253	19525.7113	12908.3092	16750.868000000002	19084.1893	18995.6504	22166.2398	18982.1444	14833.8218	11525.2258	17981.0089	20131.9265	18732.1143	25197.8587	19629.9797	56799.0442	19212.0247	55175.9163	14397.1032	15009.0099	15756.4306	16052.9709	22862.0782	24341.9793	12375.5258	10255.369	19063.4559	16363.5006	21680.8298	22123.2076	20395.6201	20000.6939	26590.8904	17679.953999999998	20586.6463	15631.44	15619.0032	21393.0337	21931.0909	21582.6225	20394.8831
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	519.5196	819.3107	710.1901	2239.5617	188.3911	1408.8351	654.7792	1057.3075	2467.5984	2285.2291	474.4819	1680.8234	743.8633	427.2782	470.0181	3349.5619	3364.6697	7711.7379	1906.9236	13729.9953	3597.9342	13936.9143	958.7292	1914.1472	1574.2266	799.5649	3177.0106	2993.2401	570.4267	656.5615	2134.8735	503.1377	11450.6868	8580.5584	7552.1907	5830.3992	10737.8033	879.4617	1479.7613	2067.656	1771.8586	1120.3139	2574.6366	2292.0296	2540.2561
FERMENTATION-PWY	mixed acid fermentation	23699.7896	21832.534	18093.3713	28352.4632	9384.5326	22691.9011	13665.4117	19885.7001	21729.2285	23329.591	23340.8333	26082.2159	17435.0279	9813.5887	17832.288	23258.757	24361.132	24868.8945	19129.2072	34477.7769	16539.9657	27284.3254	18411.4994	18924.9726	20924.4948	19631.1546	25584.45	28583.0499	13894.9923	12954.7801	24019.7005	16207.6605	25305.5957	27785.8294	24663.5075	25271.9773	29194.0514	22453.6297	25895.6183	19686.9964	21510.3473	17722.815	20962.8732	21927.0845	22084.9751
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	26767.0936	15871.7107	18162.9752	28159.5041	13242.964	22953.1973	14238.5887	18629.742	20137.5833	16002.1246	24552.3829	23898.1459	13265.9314	8938.5213	15658.4118	25277.3398	17434.2277	23796.7605	18850.166	49589.0474	15842.7926	46992.4128	12304.4075	15914.8352	17489.4191	12041.0329	21738.0533	26683.0726	15347.2739	10101.1449	19054.5854	12116.1113	26916.3345	24649.0241	23331.7932	16687.1184	23783.2655	16127.5887	20814.8194	19010.3224	15410.3633	13839.2893	15473.3996	17583.6112	20298.1327
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	5988.5847	12505.9736	10451.5604	6766.2106	10542.4194	9260.3862	6645.3797	8989.7903	4528.5215	6925.5261	4463.1679	8007.5194	16715.6032	9652.7574	14315.6379	9770.2581	5503.3436	10325.612	12748.5704	13770.0569	10688.9982	16404.9809	5006.7855	5311.3444	7991.4335	11597.6338	4813.9434	5002.2153	6069.4897	11734.9315	4069.1394	12720.8591	6192.6262	12253.9276	6348.7551	12882.0599	5902.5761	7032.6284	6411.009	10250.0633	6453.7633	10593.09	8346.3364	7325.8186	9827.9535
FUCCAT-PWY	fucose degradation	5946.2235	12511.6627	9842.6503	5112.6577	10411.771999999999	8225.7734	7403.7153	9207.1356	5940.6999	6783.5747	4701.2982	7573.7716	17514.5904	9919.49	14520.4553	12527.183	5663.1924	9301.0542	12009.2552	7526.9078	10382.2461	9364.3697	4831.4548	5151.5007	7801.9821	12187.4655	4124.2931	4281.135	5882.2494	11509.4808	4661.7482	13504.9566	5516.0477	11650.0017	5331.5274	12386.5174	4793.7035	8528.6616	6606.097	11541.3486	7239.6127	10839.2753	8326.6999	7715.9351	9825.3219
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	21992.1774	26982.9563	39163.6817	27923.4201	38366.1864	31267.097999999998	38248.0071	31970.6663	15168.9624	26397.0569	30307.3893	24391.4474	33026.6572	32245.9487	29811.9741	18903.0999	25104.9832	23970.4235	44570.6269	36415.9154	30823.6868	35843.3154	32146.7802	28268.5127	28465.971	28436.6473	13393.8565	23761.8537	31838.2483	37281.218	21525.7139	33637.5196	24277.8769	27637.2844	22664.0507	25917.7439	25404.7831	16997.3566	21484.1414	29527.7718	20428.8624	24705.8924	21278.5702	16130.5284	22953.7344
GALACTARDEG-PWY	D-galactarate degradation I	775.2828	665.2776	906.0930000000001	647.123	797.6956	941.3256	2539.8983	136.8596	287.6346	726.6512	71.0615	861.8727	912.4803	1622.1754	799.5223	600.0474	418.4291	1089.774	1289.3289	640.3041	1124.5634	186.8445	470.4645	558.1603	1586.2515	92.7485	418.5254	247.6096	897.6292	718.9062	317.3915	1732.989	569.734	370.7591	900.7371	765.5719	363.1561	452.2591	255.9426	912.3388	630.1017	1039.7161	1078.6559	359.3903	1466.6718
GALACTUROCAT-PWY	D-galacturonate degradation I	26986.912	33348.4256	45717.6488	34205.5125	44483.7738	37720.6548	45749.352	36949.2915	20176.283	32178.974	34602.3274	30241.4814	39210.5119	39081.9653	36206.9574	23697.5023	30428.6486	31347.1301	50541.5439	41809.0088	37995.5725	38403.9098	37562.6776	33722.4925	35622.265	33249.5615	21394.7196	29519.6963	37008.2848	44097.6106	26034.9654	40685.9106	30193.6451	33019.2011	28989.1341	32442.3717	31441.4973	21507.191000000003	26906.7938	35320.0254	25824.9494	32509.2004	28600.17	23894.0846	31178.7668
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	30055.843999999997	38741.2625	48385.3206	36199.5872	50813.672999999995	39304.8052	44318.6619	40487.4502	23627.8171	33546.4577	35166.3041	32006.986	49175.5546	50754.9756	44041.5755	29036.6739	33956.7315	39705.2416	53391.555	30436.2724	49289.5684	30116.845	41706.0567	36962.3892	36292.3151	38126.3583	23441.5365	33977.7766	42635.6384	52513.2561	28959.2683	44196.9141	27506.9314	33782.2507	34769.9719	36887.2285	28537.8724	29003.604	26881.2372	43848.2072	33430.1251	31294.9968	28857.5807	21928.2118	37505.1391
GLUCARDEG-PWY	D-glucarate degradation I	1962.0808	1690.5368	2507.7274	1667.6779999999999	2776.8681	2264.9501	3408.2925	466.6861	708.9842	1722.2059	271.1488	1406.7084	2116.9757	3789.1356	2212.0942	1534.5854	1085.6748	2476.9745	3379.7207	4695.9882	2847.4413	6369.1773	1299.4575	1726.5713	2468.6165	380.0671	1070.8643	862.8404	2282.7004	2327.8372	1030.2895	4224.5336	1589.4666	1031.1765	2253.4015	2347.513	1047.6075	1278.6403	826.9422	2424.5892	1658.4167	2740.0567	2842.357	1150.348	3373.0413
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	775.2828	665.2776	906.0930000000001	647.123	797.6956	941.3256	2539.8983	136.8596	287.6346	726.6512	71.0615	861.8727	912.4803	1622.1754	799.5223	600.0474	418.4291	1089.774	1289.3289	640.3041	1124.5634	186.8445	470.4645	558.1603	1586.2515	92.7485	418.5254	247.6096	897.6292	718.9062	317.3915	1732.989	569.734	370.7591	900.7371	765.5719	363.1561	452.2591	255.9426	912.3388	630.1017	1039.7161	1078.6559	359.3903	1466.6718
GLUCONEO-PWY	gluconeogenesis I	37666.1968	39104.5413	38852.2202	43478.2785	32339.7468	41278.9777	32838.8386	38201.0973	30284.1252	37458.7517	38972.2328	38787.1499	39737.599	33496.954	38654.9967	36097.507000000005	38868.7403	40179.164	41803.0649	55705.0661	36108.4896	53776.5394	37630.9704	36122.1554	38525.6069	36869.913	34905.1178	43131.0531	32169.1537	31930.8532	37927.159	40618.0396	40767.7742	43254.8251	44397.8301	41440.3958	42903.8171	38669.6018	37856.3137	40404.9328	39413.7245	44517.9421	37916.1434	36763.5492	41837.4877
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	594.7402	59.7459	216.76	197.6039	121.2151	71.8535	40.746	774.8375	4375.1189	493.4664	1386.1772	87.89200000000001	33.3306	41.3053	65.6226	5731.3394	51.49	207.7605	307.5128	7259.0898	560.5739	11057.5579	64.6203	46.6369	55.9494	36.6467	124.8537	83.2454	85.2692	43.8032	1682.8974	435.075	245.6651	565.5822	294.5423	235.796	521.4495	1461.6773	1839.1036	1070.3959	875.0822	274.9863	171.5402	724.4613	856.7137
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	23063.0413	27924.3746	41006.4688	28295.6016	40640.6004	32131.4083	39538.2603	33358.0026	15026.5436	27050.8967	31314.2027	24856.4548	34910.5922	34032.1377	31243.906000000003	19853.1322	25775.2444	24379.8405	46801.8471	35600.7351	32179.2263	36418.323	33405.4696	29311.6062	29353.0501	29835.8921	12378.2943	23999.3719	33543.8358	39006.1224	22021.2735	34885.4248	25246.1117	28986.5969	23932.0226	27123.3734	26144.7506	17747.4873	21590.7569	31418.0392	21195.2963	25051.537999999997	21212.8763	15726.7062	23363.2989
