Pathway	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
AMPK signaling pathway [PATH:ko04152]	122184.81000000004	139836.42	176557.38000000003	145662.63000000006	182884.54	157666.62	174647.0300000001	153636.17000000007	86435.51000000001	122950.31000000001	140378.36999999997	114027.51000000005	158822.60000000006	178072.92999999996	156594.02999999997	113795.42000000004	123442.18999999999	127142.01000000002	187701.03999999995	115110.40000000001	157203.83999999994	106704.39	160487.41	138749.41000000006	139310.12	138424.17000000004	97330.07000000002	130520.39	160102.83000000002	176065.84999999995	118258.12000000004	165225.43	140482.78000000006	132011.40000000005	157771.04	137596.17000000007	126479.35000000006	117754.84000000003	108953.79000000001	164616.72	133734.85	139947.71	122740.45999999998	118334.64000000009	155537.24
Acarbose and validamycin biosynthesis [PATH:ko00525]	77032.26000000001	84953.77000000003	98552.50000000003	89461.24000000003	96257.64000000003	93407.38	92541.11	90784.59000000003	59839.510000000024	74513.48000000001	81497.01000000001	76618.42000000001	95708.52999999997	93884.10000000003	90471.90000000002	77497.20999999999	77558.53000000001	76465.28000000003	109049.30000000002	162430.71000000005	86796.45999999999	149622.59000000003	87818.43000000002	79105.58000000002	79459.07	83591.22000000003	68655.52	83569.32	89684.94	93375.83999999995	76162.04	100028.80000000002	87420.81000000003	89162.11000000003	100046.06000000003	89766.90000000002	83916.22	84685.45000000001	74267.83000000002	97053.39000000001	84696.69000000002	91276.07999999999	82870.41	87711.10000000003	96539.59000000001
Adipocytokine signaling pathway [PATH:ko04920]	45346.73	37905.94000000001	47489.400000000016	50880.46000000001	42173.20000000001	41216.03	40518.8	41688.22	35733.530000000006	42917.85	48659.63	42560.35	30931.529999999995	36644.41000000002	35258.360000000015	37019.95000000001	39164.84000000001	46700.159999999996	45380.700000000004	135074.61999999994	40535.329999999994	132131.00999999998	41498.55000000001	40228.67	41358.00999999999	34764.430000000015	39108.67000000001	48855.01000000001	38811.840000000004	41587.35999999997	40084.560000000005	30012.5	56252.99000000001	43145.45000000001	41637.52000000002	38534.37000000001	49203.860000000015	35121.88	40577.7	32831.79000000001	34032.15	34403.1	31985.23999999999	46912.470000000016	36748.34000000001
Adrenergic signaling in cardiomyocytes [PATH:ko04261]	5.25	10.0	17.5	20.25	5.0	23.5	10.0	12.25	5.25	2.5	13.0	22.5	2.5	8.0	7.5	4.5	19.5	31.75	8.5	356.0	3.25	167.5	6.5	7.0	9.75	4.5	31.5	14.75	3.0	3.5	16.0	16.0	8.75	13.25	10.5	11.75	6.5	11.5	25.0	9.5	14.25	10.25	16.5	5.25	15.25
African trypanosomiasis [PATH:ko05143]	68.5	1134.89	831.9100000000003	1454.83	387.0	1511.26	624.04	285.17	50.08	234.4	52.67	563.33	333.42	160.33	682.58	72.0	256.01	727.6100000000002	299.47	3845.15	523.16	5836.71	39.91	41.75	243.66000000000003	41.25	1455.36	539.83	68.67	106.99	192.82999999999996	129.82999999999998	287.69999999999993	313.67	427.08	272.14	476.53	439.54	283.90999999999997	207.5	340.05	448.67	348.58	725.0	333.25
Alanine	908264.1300000004	991674.9200000004	1176379.1800000002	1033098.7300000003	1195005.3000000003	1066780.49	1123620.8599999999	1067466.7700000003	689741.7300000002	909455.6900000003	1009319.7	885955.2600000002	1094020.8699999996	1177217.77	1068147.7400000002	827331.0200000004	930033.94	943170.2700000003	1269664.81	1398507.4000000001	1093501.8899999994	1328706.6500000004	1103104.0200000003	989237.67	997815.39	989291.2700000004	792519.2700000001	1000028.1900000003	1072900.4700000004	1165998.1499999992	898781.79	1140574.1999999997	989628.0900000003	993697.0600000003	1131346.2100000002	995701.6200000001	974881.7600000004	915662.85	875770.0000000001	1134295.95	990040.97	1009601.2500000001	930182.9299999998	899097.6000000002	1088774.4700000002
Alcoholism [PATH:ko05034]	16.17	15.43	93.95	109.5	79.74	34.64	31.590000000000003	19.33	23.83	15.92	16.21	12.3	17.5	34.72	25.78	13.45	11.92	69.57	55.16	73.81	65.9	57.16	12.67	14.5	31.25	15.12	10.5	9.29	11.01	18.590000000000003	17.17	32.02	86.97	150.43	115.33	130.4	113.35	37.12	27.739999999999995	41.16	35.66	19.83	23.29	21.62	45.39
Alzheimer disease [PATH:ko05010]	48068.52000000001	46292.03000000001	53445.71000000001	48056.75000000001	54802.00000000002	49630.89000000001	51325.51999999999	48540.85000000001	31002.460000000014	40716.420000000006	49234.37000000001	40317.90000000002	49054.17999999999	53779.94000000002	50317.49000000001	38752.23	41871.24000000001	43151.18000000002	57111.100000000006	54458.41000000001	49291.4	49553.04000000001	49167.55	45267.12	45978.92000000001	45055.66000000002	36627.91000000001	45419.93	48590.88	50883.94999999997	40753.46000000001	51070.14	45293.03000000001	44218.400000000016	51441.46000000002	43584.750000000015	44518.73000000002	44194.51	39736.5	50830.87	46088.8	48294.33	44243.01999999999	44690.03000000003	49887.66
Amino acid metabolism	94349.11000000002	131753.64000000004	135023.87000000002	108884.48000000004	143271.71000000002	131423.18999999997	136418.51	135413.03000000003	58901.230000000025	95308.84000000003	111718.0	103255.79000000004	161198.49	135792.86000000002	149139.89	94775.60000000002	96398.07	96384.6	165522.84	114502.73999999999	120556.83999999998	94850.79000000001	121600.33000000002	107852.96000000002	120344.83000000002	139345.04000000004	70731.11000000002	99370.16	120029.32999999999	142328.62999999995	92099.51000000002	141750.56000000003	84463.94000000002	118569.43	95049.77000000002	121836.34000000003	92029.63	91674.65000000002	90402.96000000002	143732.31000000003	106529.31999999998	114413.61000000002	96735.68	79192.46000000002	128691.28000000003
Amino acid related enzymes [BR:ko01007]	1294622.91	1401948.3100000003	1668176.1400000008	1451429.5300000007	1685235.5500000007	1507188.1000000003	1601226.3200000008	1494873.9600000004	980316.92	1265238.9199999995	1411734.6399999997	1248734.2200000004	1533065.989999999	1661827.4400000009	1507435.250000001	1205981.8500000003	1297307.9100000008	1317360.6300000004	1768320.7	1659345.4000000004	1532006.0599999998	1560350.93	1537152.5000000005	1388230.21	1412766.8699999999	1377982.5100000002	1091373.72	1393014.5800000003	1514229.6999999997	1627234.5599999984	1266823.43	1607820.2100000011	1406596.5700000003	1397128.2300000002	1590675.3000000005	1384304.9200000006	1364148.7499999998	1331935.6500000004	1227045.7500000002	1604278.4200000002	1412276.4199999997	1426977.2800000003	1310541.8700000003	1293785.4100000006	1540917.4400000004
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	1186599.9900000005	1405481.59	1630462.3499999996	1382601.9100000001	1653998.6900000004	1473395.86	1562741.0900000003	1479180.9100000006	900450.9800000002	1195587.06	1341146.4200000004	1217487.9999999993	1628477.1200000006	1652651.5	1540689.72	1143491.94	1212071.8399999999	1314844.6200000003	1802848.17	2133500.1200000006	1506754.5499999998	1964965.2	1452394.84	1287689.2299999997	1322369.77	1394974.6000000006	969756.1400000001	1295445.8399999994	1463381.5899999996	1639226.2699999993	1171306.7599999998	1580034.87	1244836.7800000007	1367403.7700000005	1390318.64	1363320.7000000002	1236729.6500000006	1227288.6400000001	1123693.5000000002	1565438.2499999995	1300336.1300000004	1354362.1300000001	1203601.5899999996	1213826.8599999999	1512806.4299999997
Aminoacyl-tRNA biosynthesis [PATH:ko00970]	1032547.43	1090151.6300000006	1289118.1800000002	1111619.6600000001	1315110.5000000002	1159347.7	1237193.1200000006	1158663.7200000002	744837.16	970866.0600000005	1092884.6399999997	956457.2599999999	1193336.67	1290665.5199999998	1174011.0900000003	927320.3999999999	1006883.61	1017263.2500000006	1368029.0799999998	1070424.7800000007	1200464.4899999998	976442.9600000005	1188469.7999999998	1079115.61	1094951.6700000002	1066566.2900000005	836389.5199999999	1069932.24	1170695.75	1262370.759999999	989133.0399999999	1259850.3499999999	1100234.48	1080928.5200000003	1264600.6000000006	1076678.6600000008	1056402.6	1081008.4600000002	947251.0100000006	1251714.0500000005	1126163.2100000002	1124164.62	1038948.4200000003	1051632.4400000004	1204489.7500000005
Aminobenzoate degradation [PATH:ko00627]	48750.83	54527.00000000001	56038.34000000001	41629.77000000002	56714.010000000024	49838.77000000001	57996.26000000001	48911.52	21255.81	37993.51	46521.12	41402.350000000006	59870.869999999995	51749.490000000005	58464.77000000001	35271.0	38514.96	44764.100000000006	64060.600000000006	36057.009999999995	51981.14	31553.89	44646.97	40696.66	51520.56000000001	52451.720000000016	29250.9	39435.670000000006	46955.72	53032.82999999999	34613.97000000001	53484.41	33970.94	44938.04000000001	36068.18000000001	45077.32000000001	39581.91000000001	40154.74	32087.43	51267.54000000002	42349.16	47009.32	41359.32	40703.220000000016	44193.70000000001
Amoebiasis [PATH:ko05146]	14459.3	22478.539999999994	24081.190000000002	17469.61	24003.52	18169.510000000002	19910.79	13439.69	11796.789999999999	15595.44	8915.05	15505.17	24791.260000000002	23283.760000000002	21556.97	17210.47	15582.96	23163.58	21597.57	48216.62	26005.730000000003	48668.46000000001	13787.4	16265.37	20813.41	16827.82	14105.08	13561.01	16873.809999999998	24126.67	13317.87	28144.54	16695.41	19695.21	23497.75	22250.86	16362.070000000002	19628.190000000002	13351.52	20623.54	17213.86	26690.75	25160.610000000008	20771.769999999997	22056.75
Amphetamine addiction [PATH:ko05031]	16.17	15.43	93.95	109.5	79.74	34.64	31.590000000000003	19.33	23.83	15.92	16.21	12.3	17.5	34.72	25.78	13.45	11.92	69.57	55.16	73.81	65.9	57.16	12.67	14.5	31.25	15.12	10.5	9.29	11.01	18.590000000000003	17.17	32.02	86.97	150.43	115.33	130.4	113.35	37.12	27.739999999999995	41.16	35.66	19.83	23.29	21.62	45.39
Amyotrophic lateral sclerosis [PATH:ko05014]	33597.72	26154.200000000008	34583.00000000001	32323.37000000001	36896.47000000001	32367.230000000003	33289.55	31466.05	19808.32	25809.79	34744.00000000001	25519.1	26966.019999999997	36019.270000000004	29175.500000000004	24564.08	24393.760000000002	27970.51000000001	35526.790000000015	48143.920000000006	32496.140000000003	46910.79	33167.12000000001	29919.75	27158.420000000002	24849.180000000004	18316.429999999997	27957.4	32949.93	34913.31999999998	23238.17	32743.600000000006	24593.130000000005	25872.82	31149.049999999996	23047.55	28545.48	18695.920000000002	21794.62	30525.410000000003	21975.190000000002	29286.33	27183.72	17763.08	30003.33000000001
Antifolate resistance [PATH:ko01523]	177846.86000000007	204497.20000000007	239440.17000000004	213425.58000000007	245996.98000000007	217873.19000000003	227318.92000000004	214312.05000000005	144958.78000000006	185039.72000000006	200129.40999999997	181724.96000000005	225513.36999999997	248757.7500000001	220173.11000000004	176000.85000000006	189615.44000000003	199619.82000000004	254526.39	250512.87000000005	227585.52	232231.32000000004	225137.12000000005	201005.56000000003	202489.36000000002	198267.3600000001	161631.17000000007	205970.09	215874.61000000004	242688.5999999999	178988.35000000006	227202.68	188842.4400000001	200878.81000000006	226715.06000000006	197074.61000000004	194516.21000000008	181524.76000000004	175308.98000000004	229088.0	200461.28000000003	196315.9	182499.37	165877.6600000001	219695.46000000005
Antigen processing and presentation [PATH:ko04612]	39761.5	42611.13000000001	49518.57000000001	44411.06000000003	50560.16000000002	45541.03999999999	47958.38000000001	45233.92000000001	30026.870000000014	37985.580000000016	42646.51	37973.360000000015	45744.75999999999	50004.81000000001	44908.87000000001	36693.62000000002	39794.34	38038.56000000001	52139.9	60050.77000000001	44176.8	53303.70000000001	46420.13000000001	42221.540000000015	42826.43	41480.930000000015	34031.09	41843.77	45773.54	48811.66999999997	36861.35000000001	47629.64	43069.38000000001	42152.52000000001	48354.11000000002	41777.33	41614.640000000014	36917.67000000001	36545.5	47732.11000000002	41204.62999999998	42925.5	38415.96	36550.76000000002	46120.76000000001
Antimicrobial resistance genes [BR:ko01504]	265216.79	348002.81999999995	390881.94	344888.3700000001	391868.1300000002	359309.72999999986	357727.21999999986	370903.36999999976	215529.8699999999	292216.2200000002	340191.1899999999	290644.06000000006	382859.93999999977	385255.8900000003	376012.19000000006	275302.7400000001	288420.0900000001	319227.56	431593.51000000007	659635.91	359473.6899999999	605119.1499999998	357303.31999999995	311534.15	315098.29000000004	352658.5900000001	236475.58999999982	325645.0200000004	351825.6199999999	392583.91999999987	281911.29	337801.51000000024	271560.6699999999	318016.37999999983	286195.4600000001	305902.6499999999	291654.3200000001	282175.9899999999	265439.6600000001	361466.26999999996	303725.83999999985	290069.0199999998	261806.75999999986	267246.75999999995	333971.76
Apelin signaling pathway [PATH:ko04371]	5.25	10.0	17.5	20.25	5.0	23.5	10.0	12.25	5.25	2.5	13.0	22.5	2.5	8.0	7.5	4.5	19.5	31.75	8.5	356.0	3.25	167.5	6.5	7.0	9.75	4.5	31.5	14.75	3.0	3.5	16.0	16.0	8.75	13.25	10.5	11.75	6.5	11.5	25.0	9.5	14.25	10.25	16.5	5.25	15.25
Apoptosis - fly [PATH:ko04214]	28402.1	27847.45000000001	36119.30000000002	32745.760000000013	33340.74000000002	33694.36	36190.69	33656.01000000001	18705.21	25823.000000000007	35106.87	29243.51000000001	30325.43	28692.52000000001	29515.580000000005	22877.58000000001	28214.200000000008	24466.86	43694.87	45042.66	27288.75	46536.84000000001	31335.970000000005	28259.79	27901.58	30126.75000000002	22341.300000000003	30078.34000000001	33467.479999999996	30121.64999999999	24924.370000000006	29495.250000000004	34387.05000000002	31375.470000000005	35363.130000000005	33745.03000000001	31493.57000000001	20580.12	25802.74	29156.53	23499.44	27573.989999999994	23493.35	29565.96000000002	27369.30000000001
Apoptosis - multiple species [PATH:ko04215]	826.0	1809.58	1687.5	2253.0	1452.5	2290.0	1498.17	1404.0	252.5	1049.67	1670.08	848.3299999999997	1050.0	1683.0	1973.0	661.0	608.0	1287.58	1698.83	304.0	761.0	38.5	936.0	1032.0	982.0	1181.0	1770.92	985.0	995.0	757.0	336.92	107.0	276.0	321.0	428.5	296.75	455.5	361.5	543.0	489.0	202.0	434.0	313.92	590.33	367.5
Apoptosis [PATH:ko04210]	4698.21	9747.74	7659.25	16427.79	3362.2	11291.289999999999	5216.01	8176.62	11333.8	11414.04	8183.74	16093.36	6604.84	4265.13	6875.45	10055.79	11396.0	13911.63	7584.2	73336.99	5957.84	59290.78999999999	7099.33	8252.71	9319.08	8187.7	17558.589999999997	16557.84	4934.13	4550.96	11246.460000000001	5013.04	13231.55	15164.2	10277.49	11075.95	15930.33	9074.58	14192.95	6939.47	7890.25	6296.09	9247.5	9584.49	8616.880000000001
Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	5232.75	6619.14	5483.11	5638.33	5470.33	4620.76	4581.04	7069.0	4276.75	4713.23	6036.21	3968.95	4414.25	5720.54	5873.95	3611.2	4413.34	6780.45	4226.219999999998	5571.07	7899.86	7070.63	5409.58	5505.83	6898.57	5118.29	4254.6100000000015	5736.2	3285.92	4749.9	8834.99	4285.58	13869.45	5909.12	9843.16	6939.89	6617.080000000001	16022.54	6968.33	5921.83	11617.71	7661.67	6770.45	19010.120000000006	8959.21
Arachidonic acid metabolism [PATH:ko00590]	5584.63	8170.650000000001	5350.69	8442.11	3673.9399999999996	7438.810000000002	4669.51	5745.11	9177.619999999999	8177.26	4469.04	11220.010000000002	5795.52	4608.18	5313.889999999999	10034.73	9461.000000000002	9217.29	4908.3	40057.85	6787.83	42792.979999999996	6816.74	7832.71	9642.57	6629.66	11499.329999999998	10071.66	4885.990000000002	4240.840000000001	9602.71	10130.39	12874.060000000001	13769.71	16613.31	12782.52	13772.869999999999	9319.119999999999	12023.93	8663.130000000001	8363.289999999999	10041.01	11254.44	9120.779999999999	9480.720000000001
Arginine and proline metabolism [PATH:ko00330]	265252.02999999997	296957.1000000001	332412.78	295059.8700000001	334909.3400000001	298323.68999999994	315622.35	283481.13000000006	209812.6600000001	262821.62	264249.33	259560.25	314779.54999999993	332829.4900000001	305117.4	258011.98000000004	258816.56000000008	291579.06	343254.23	556700.8500000001	327258.96999999986	532424.8099999998	284450.88000000006	273021.82999999996	297452.06999999995	269782.13	241180.85	279352.97	283087.23	323959.65999999986	256004.71000000005	350299.93999999994	300113.06000000006	285832.9000000001	332190.3200000001	298051.33	287883.4100000001	296149.99000000005	255117.59000000008	330202.30000000005	290435.07	321108.4799999999	300788.26999999996	285202.97000000003	323453.5200000001
Arginine biosynthesis [PATH:ko00220]	499638.47000000026	536524.2800000003	637937.38	542617.7700000001	652385.81	578302.6900000001	619780.39	578590.63	364188.53	479802.1000000001	542446.5599999999	454282.2400000002	604945.31	641274.39	591899.43	453774.80000000016	486876.45	490385.0200000002	692329.28	648659.4900000002	584027.5599999999	616217.43	591181.0399999999	526704.0	538851.77	540309.0800000003	407059.5600000002	513031.9199999999	579015.3199999998	630293.5399999997	463577.9400000002	623700.9500000001	509058.6000000002	524772.1800000002	594347.0000000001	537831.0300000003	507770.65	474422.3800000001	456508.8200000001	616333.5700000001	526719.36	553466.7599999999	492633.0	457026.8700000002	585345.16
Arrhythmogenic right ventricular cardiomyopathy [PATH:ko05412]	5.25	10.0	17.5	20.25	5.0	23.5	10.0	12.25	5.25	2.5	13.0	22.5	2.5	8.0	7.5	4.5	19.5	31.75	8.5	356.0	3.25	167.5	6.5	7.0	9.75	4.5	31.5	14.75	3.0	3.5	16.0	16.0	8.75	13.25	10.5	11.75	6.5	11.5	25.0	9.5	14.25	10.25	16.5	5.25	15.25
Ascorbate and aldarate metabolism [PATH:ko00053]	73717.29999999999	101195.90000000002	105160.59000000001	90121.57000000002	108424.27	101061.09999999999	113051.87	96990.34000000003	59194.50000000001	80725.44	83260.62	88351.70000000001	123724.92999999998	117948.55000000003	111561.74000000003	79048.51000000004	84081.06	94099.39000000001	128181.46	242610.12000000002	105042.33999999997	249640.02999999994	93830.52000000003	84251.73	97035.20000000001	101663.02	70296.87	84591.36	94745.17	111719.57000000004	74652.57	118552.09000000003	85731.23000000001	96927.51000000001	94980.95999999999	104473.56	80003.32000000002	76750.84000000001	77933.80000000002	110996.87000000001	89084.18999999999	102941.53	89867.37999999999	86084.78000000003	117760.70999999999
Atrazine degradation [PATH:ko00791]	1032.5	1094.4099999999999	2591.5	1696.8500000000001	1224.48	1262.3500000000001	2537.06	462.84000000000003	441.51000000000005	1253.54	286.15999999999997	1390.8100000000002	2073.17	1360.4899999999998	1907.16	748.5	1200.97	7954.950000000001	2598.75	5225.629999999998	8027.71	2550.8	523.66	851.5100000000002	1628.9800000000002	322.82	1495.2600000000002	3152.01	742.1700000000001	1180.55	688.0	1399.69	1487.0700000000002	1206.32	2460.1600000000003	1494.8400000000001	1348.41	1741.3100000000002	929.1500000000001	1036.66	1273.92	908.8299999999998	1395.17	1658.49	1064.66
Autophagy - yeast [PATH:ko04138]	1954.75	2197.86	1380.0	2060.0	839.75	2351.22	1339.0	2034.5	1675.75	1216.75	1180.5	1679.5	1389.75	709.0	1468.0	1191.25	1188.39	1696.17	1450.08	1579.61	1710.11	530.86	747.25	865.0	1345.5	1128.5	2177.86	1351.03	724.75	654.64	1683.0	2057.25	1002.0	1026.0	1605.5	561.5	1262.75	2464.75	1229.25	1726.0	2308.86	2428.5	3792.0	3187.5	2602.61
Axon regeneration [PATH:ko04361]	11206.0	8112.66	5000.28	5912.91	4408.41	4949.3899999999985	4583.75	7522.33	7262.25	6991.58	9795.95	8221.369999999999	6165.09	4502.04	6490.03	5241.7	8152.32	6051.83	5171.49	17340.309999999998	4380.91	16137.17	5453.16	6549.25	7228.66	8169.29	9084.75	8522.619999999999	4848.25	4483.08	8144.83	7342.41	4643.15	6617.45	4692.32	5349.64	7947.77	10211.04	8943.83	7583.92	8860.49	9785.01	10992.12	10488.78	8458.380000000001
Bacterial chemotaxis [PATH:ko02030]	960742.3400000002	860849.5900000001	1139499.0500000005	895237.38	1229557.4700000002	1011147.92	1120622.58	1094775.36	453578.1600000001	769244.61	1084773.77	732789.2299999999	1056747.7199999997	1206264.4100000004	1060581.3100000003	605893.03	790644.3099999999	733794.7400000002	1276495.4899999998	226776.94	1001556.7699999997	192432.05999999997	1125373.05	935946.6999999996	839590.9400000001	966986.5800000002	510081.29	818764.7299999996	1138957.8999999997	1197345.3799999997	711509.8800000002	1046907.0200000001	726958.0700000003	811568.6100000003	928917.19	846100.2100000001	733273.7100000003	617568.0900000001	677147.7300000001	1057002.7799999998	791283.65	872968.4899999999	708345.1999999998	571537.4100000001	949383.35
