function	description	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	38252.35000000001	39442.720000000016	47909.09	40922.59000000001	49154.42000000001	43333.38	46449.8	43834.35000000001	27834.13000000001	36475.92000000001	41865.34	32636.96000000001	43934.84	48216.90000000001	43786.540000000015	33313.95000000001	36494.01000000002	34971.150000000016	50482.32	43284.2	42454.37999999998	41685.220000000016	45385.89	40185.62	40279.67	39846.040000000015	30343.76	37628.2	43064.88	47556.89999999997	34983.11000000001	43910.48	38342.720000000016	38081.110000000015	44399.63000000001	38400.330000000016	37401.38000000001	35251.51	34471.42000000001	44149.37	39279.55	40796.66	35744.55	34707.760000000024	43734.67000000001
K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]	57193.68000000001	63292.00000000001	80896.34000000001	66287.59000000001	83827.67000000003	71620.77	79799.29999999999	71946.93000000001	41061.13000000001	56330.92000000001	67479.34	56160.88000000001	74436.33999999997	82409.48000000001	70945.79000000001	51578.45000000001	61552.32000000001	55262.90000000001	89836.40000000002	50458.31000000001	68854.81999999999	44720.33000000001	75860.22	64275.12	62720.75000000001	66134.71	46704.04000000001	61896.4	77513.05	79638.45999999998	54878.86	79441.31	60670.97000000002	66226.86000000003	75525.05	67335.83	62014.71000000002	51606.09000000001	53850.42000000001	77755.62	61929.83	64905.15999999999	55969.38	46424.09000000002	70313.28000000001
K00015	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]	473.5	382.0	615.33	400.0	673.33	599.0	1997.0	91.33	248.5	476.5	53.83	599.0	611.0	1159.33	492.5	383.5	233.33	873.17	790.67	100.67	934.33	47.5	294.17	444.33	1169.83	64.5	269.67	132.0	513.6700000000002	869.83	191.83	995.0	357.67	221.5	530.0	536.3299999999998	217.5	271.83	173.17	514.3299999999998	372.33	571.5	599.0	204.83	894.5
K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	28467.060000000005	31957.120000000014	40637.250000000015	29987.130000000016	40104.720000000016	33398.73999999998	38016.42000000001	36320.05	16209.91	27322.49	32852.009999999995	25996.44000000001	34375.25	34211.12000000002	32764.51000000001	22195.500000000004	30791.730000000003	29176.23000000001	46967.14	13096.19	39064.97	5879.329999999999	36086.23000000002	32311.83	32163.01	32990.930000000015	21139.0	30715.240000000005	36565.09	37184.419999999984	31724.900000000016	37364.62	36247.34000000001	31561.310000000016	40260.39	32340.350000000013	31045.55000000001	39630.55000000002	26586.300000000007	36227.23	36585.84	31004.98	31197.629999999994	41923.10000000001	30170.490000000005
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	29734.98000000001	38353.000000000015	48079.05000000001	39725.710000000014	49771.89000000002	39846.05	45565.16	40001.470000000016	25403.74000000001	35705.66	35898.3	33903.23	43909.01	50429.24000000001	42125.56000000001	30269.14000000001	34243.08	39889.15	49805.9	31864.36000000001	46475.80999999999	27124.31	42454.22	38815.17	39690.44	36462.970000000016	24723.810000000005	36439.08	40391.0	50725.27999999998	31092.240000000016	45057.85000000001	29850.210000000014	36935.38000000002	38011.23	37448.45000000001	35672.53000000001	30364.6	30847.550000000007	42534.74000000001	32280.92	35583.319999999985	32628.259999999995	21209.23000000001	38644.92000000001
K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	52.0	4.0	27.0	50.0	46.0	72.0	63.0	25.0	19.0	8.0	30.0	18.0	32.0	11.0	8.0	53.0	46.0	149.0	136.0	3979.0	133.0	1051.0	25.0	17.0	47.0	26.0	77.0	31.0	20.0	19.0	18.0	15.0	25.0	31.0	10.0	49.0	51.0	48.0	45.0	38.0	28.0	8.0	7.0	32.0	41.0
K00020	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	11798.01	10980.95	7443.42	5663.16	8010.15	8852.310000000001	9955.0	8855.49	3020.83	5522.67	7355.99	8478.27	13682.34	8302.5	12248.66	7866.99	6641.72	5710.01	11181.65	2536.62	6462.44	1533.2699999999998	5282.83	5680.5	9129.84	11090.0	4871.27	4871.95	6971.17	7012.0700000000015	4681.67	13366.18	3701.83	8186.309999999998	4916.83	9645.85	4923.99	7725.49	5041.99	9841.66	7657.61	15667.83	13909.01	11777.5	13473.12
K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0.0	2.33	0.0	0.0	0.0	0.0	1.17	0.0	0.0	1.67	7.33	0.33	0.0	0.0	0.0	0.0	0.0	2.83	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.17	0.0	0.0	0.0	1.67	0.0	0.0	0.0	6.0	4.5	0.0	9.0	0.0	0.0	0.0	0.0	4.17	5.33	0.0
K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]	11.67	16.33	68.67	57.33	112.33	128.67000000000002	160.32999999999996	27.33	22.0	21.0	11.33	38.67	30.67	12.33	17.0	39.33	7.33	119.67	115.33	122.67	102.67	24.0	11.33	14.0	9.67	48.0	49.33	13.0	12.33	9.67	33.0	1980.33	62.0	109.0	126.0	179.67	471.33	15.33	22.0	16.0	10.67	3608.0	2931.67	1908.0	1887.0
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	9994.25	8492.720000000001	5988.75	12949.91	2674.74	8604.369999999999	4211.38	7093.58	12484.43	10280.55	9411.58	13188.07	5832.18	2823.09	6060.23	10671.74	10881.59	11238.73	6308.71	67035.24	5470.3	67157.7	6306.33	6837.58	7889.66	7264.9	15315.36	14853.67	4375.43	3932.83	11056.33	5317.74	10829.91	13155.24	9437.31	10878.57	15358.47	9542.59	13554.07	6870.6100000000015	8369.14	6234.52	8607.24	9128.33	8225.51
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	31192.230000000003	37259.76000000002	45620.45000000001	34913.290000000015	48088.80000000001	39127.73	45847.04000000001	39870.05000000002	21789.74	31912.39000000001	34641.14	29451.060000000016	42489.59	47588.66	40485.960000000014	28218.450000000008	33642.400000000016	33529.110000000015	48822.95	12971.65	44132.76	11428.46	42509.720000000016	37810.33	38682.59	36731.55	24450.360000000004	33551.35000000001	42080.09	46687.40999999998	30771.980000000014	45817.78	36360.51000000002	34220.10000000001	43687.22	36445.63000000002	32855.76000000002	32675.84	28742.21000000001	43810.23000000002	37980.98	39870.65	34466.5	31787.22000000002	41707.790000000015
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	9026.79	5824.97	4966.5	9514.79	3172.62	6826.49	3763.63	5379.21	8499.800000000001	6814.9299999999985	8061.0	9101.78	4181.51	3232.54	5351.03	8800.449999999999	6627.01	7812.26	5362.59	37384.5	3825.88	37817.83	4311.58	4916.54	5492.24	5039.53	9577.36	9564.0	3721.3	2895.120000000001	7003.79	3036.87	7408.69	8788.54	6120.9	6333.62	9592.22	5753.42	8603.7	4752.89	4727.89	3948.68	5117.66	5705.0	5463.71
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	1479.08	1384.67	454.95	538.5	373.08	384.92	375.75	1433.41	1415.25	848.5	1483.21	1232.79	1047.25	591.2900000000002	569.87	928.87	784.5	362.25	306.67	3867.67	506.78	1224.75	620.75	931.83	1194.66	1217.29	694.5899999999998	766.29	555.09	415.0	733.0799999999998	4561.58	1227.92	1320.87	883.42	603.5799999999998	1040.46	1473.66	1686.67	1389.08	1493.75	3588.0	3836.45	1744.7799999999993	2297.88
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	34829.520000000004	34777.81000000001	44245.55	37072.92000000001	47403.51000000001	40292.05	43833.13000000001	39975.94000000002	22198.540000000005	31156.010000000013	37286.55	27458.17000000001	40447.09	46349.78000000001	40880.17000000001	29770.090000000015	31259.340000000004	31286.230000000003	48072.15000000001	37773.44	39617.67999999999	39090.88000000001	41930.720000000016	36473.62	35929.429999999986	35053.25000000001	25314.840000000004	32176.990000000005	40846.460000000014	45181.31999999999	29819.78000000001	37056.73	33713.89000000001	32220.660000000014	40108.55000000002	33050.830000000016	30399.67000000001	29930.18	26956.33000000001	40107.29	34467.13	34652.41	28405.27	29291.810000000016	38301.88000000001
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	3765.96	5780.35	6276.66	6983.62	4835.28	5233.0999999999985	4198.63	3462.87	5661.88	7043.52	3305.41	6081.78	5789.26	5243.04	5640.28	4273.12	5082.87	11560.85	4871.92	38109.31	9342.51	37412.97	3770.83	4524.79	5665.74	3693.95	8462.92	7248.73	2927.4700000000007	6456.31	6930.87	4575.37	5530.280000000002	5126.87	5492.32	5333.28	5635.47	9758.58	6613.95	4139.05	6665.02	3819.51	6252.66	9012.99	4703.6
K00034	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]	981.5	775.11	1223.33	761.5	1349.5	1129.72	3948.17	189.0	483.0	971.17	119.83	1202.16	1224.5	2329.0	1002.5	734.1700000000002	482.89	1628.0	1474.16	769.44	1762.11	465.61	580.3299999999998	886.5	2347.83	122.0	474.78	263.28	1036.5	1745.39	385.5	2032.5	695.5	460.5	1095.0	1105.5	434.5	580.8299999999998	325.33	1080.0	805.44	1201.0	1228.17	419.33	1778.61
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	3721.96	4659.240000000002	5476.66	5350.62	4504.28	3779.88	3637.63	3204.87	5634.88	6819.52	3274.41	5527.78	5485.26	5105.04	4998.28	4234.12	4905.98	10927.179999999997	4731.59	36274.2	9190.4	36952.86	3727.83	4477.79	5459.74	3678.95	6814.81	6672.95	2856.4700000000007	6361.42	6824.87	4485.37	5319.280000000002	4898.87	5134.32	5120.28	5235.47	9648.58	6465.95	4013.05	6569.91	3436.51	5988.66	8483.99	4406.49
K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	0.0	1.0	6.0	18.0	6.0	0.0	0.0	0.0	0.0	9.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	18.0	17.0	6.0	16.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0
K00039	rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]	0.0	0.14	0.0	0.0	0.0	0.29	0.29	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	1.43	4.71	0.14	22.43	4.29	0.71	0.0	0.0	0.0	0.0	0.86	1.0	0.0	0.57	0.0	0.0	0.14	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0
K00040	uxuB; fructuronate reductase [EC:1.1.1.57]	15528.0	18254.43	29930.660000000003	19246.83	29839.99	22314.15	29378.13	24503.83	9006.16	18129.57	24130.5	16536.85	23768.67	23856.0	20771.490000000005	12333.66	17820.989999999998	14965.61	35451.960000000014	5812.85	21647.340000000007	7426.48	24649.830000000005	20781.5	19726.160000000003	20882.17	6345.6399999999985	15852.95	24814.849999999995	27728.63999999999	15043.67	24669.68	15419.28	19014.48	13675.33	16292.15	17310.440000000002	11267.62	13996.82	22040.660000000003	13976.41	16435.5	13486.83	8981.33	14744.12
K00041	uxaB; tagaturonate reductase [EC:1.1.1.58]	16733.460000000006	22444.57	31974.410000000003	24068.450000000004	30290.110000000004	26392.17000000001	29515.38	27712.2	12896.29	21944.69	26849.58	20475.14	26417.84	23852.55	23945.69	14021.95	21699.68	18658.840000000004	37309.25	31494.34	23368.86000000001	30644.24	27172.080000000005	23170.04	22046.08	24444.04	13710.53	21221.84	25881.48	29468.959999999992	18495.21	25667.550000000007	17579.86	22172.18	15186.74	19164.460000000006	20767.550000000007	13286.5	18850.19	23063.88	16403.05	18123.84	16362.41	12245.66	16449.31
K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	6274.31	10035.64	9021.05	5431.799999999998	9373.14	8142.53	9414.46	6852.82	3293.49	6549.3899999999985	3328.81	7223.8899999999985	14544.5	9709.32	11969.97	8220.8	5113.43	8901.19	10357.79	9668.9	10558.13	8161.6799999999985	4876.31	5699.0	8754.85	9333.8	4336.34	4076.99	6552.5	10337.77	3580.49	9714.53	4488.949999999999	8247.789999999999	5179.81	9476.65	3950.95	5164.31	3988.13	9197.15	5834.13	8079.15	7539.18	6072.98	9517.0
K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]	99.0	112.0	177.0	969.0	62.5	593.5	152.5	367.0	99.5	143.5	208.0	157.5	30.5	67.0	79.5	54.5	111.5	510.5	380.5	15715.0	209.5	11441.0	115.5	120.0	86.5	166.5	264.0	175.5	74.5	52.5	238.5	108.5	392.5	221.0	156.0	89.5	299.0	124.5	117.0	176.5	132.0	89.0	108.5	101.0	123.0
K00046	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]	26185.63	33896.29	45979.66	34659.11	45164.93000000002	37827.95	46954.26	34515.340000000004	18963.120000000006	32237.13	31995.9	28776.089999999997	36202.68	40574.39	35253.020000000004	21216.11	29301.76	31998.54	47329.27	29320.22	38808.01	26252.19	36649.91	32554.04	35654.079999999994	29614.05	20596.5	28817.189999999995	35113.33	42732.57	24765.38	38194.57	29985.689999999995	32123.81	34251.740000000005	33083.45	33325.2	26707.94	25660.68	32746.04	26348.41	30125.0	27509.410000000003	19148.99	27698.16
K00048	fucO; lactaldehyde reductase [EC:1.1.1.77]	17763.97	19930.33	29745.300000000014	21913.210000000014	28830.900000000016	22605.91	24696.08000000001	26382.560000000005	10929.24	18743.57	24812.64	17589.559999999998	24684.509999999995	22517.820000000003	21818.890000000007	13583.72	21437.08	18943.740000000005	36684.74000000001	30546.88000000001	25524.509999999995	30338.06	26498.970000000005	21848.42	18755.1	23185.39000000001	13637.56	20950.830000000005	26628.249999999996	27992.35999999998	15501.99	23427.43	16159.99	22067.050000000007	21353.22000000001	21747.390000000014	20771.640000000007	12553.48	15024.47	22708.33	16594.409999999996	16684.41	12919.75	11045.06	14201.5
K00050	ttuD; hydroxypyruvate reductase [EC:1.1.1.81]	6934.67	916.83	1218.1699999999996	1242.66	2223.49	1428.5100000000002	1559.66	1661.82	431.5	1071.5	4362.49	969.01	1263.34	1836.32	2503.0	872.66	610.66	690.34	1788.3300000000004	827.01	684.5000000000001	704.0	1155.16	1254.83	1016.5	1559.67	519.5	778.67	1824.0	992.34	655.8299999999998	4208.49	386.17	560.0	506.17	646.67	1236.9899999999998	537.82	797.67	1124.83	328.3400000000001	7520.5	6185.17	4000.66	4114.0
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	38824.35000000001	40057.720000000016	48742.09	41410.59000000001	50146.42000000001	43832.38	47043.8	44242.35000000001	27885.13000000001	36642.92000000001	42051.34	32911.960000000014	44356.84	49038.90000000001	44392.54000000001	33650.95000000001	36904.01000000002	35480.150000000016	51431.32	42678.2	43337.37999999998	41356.22	45756.89	40422.62	40534.67	40445.040000000015	31026.76	38284.2	44433.88	48019.89999999997	35488.11000000001	47113.48	39451.720000000016	38789.110000000015	46272.63000000001	40541.330000000016	38669.38000000001	36048.51	34807.42000000001	46640.37	40340.55	42146.66	37235.55	34891.760000000024	44409.67000000001
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	38570.35000000001	39810.720000000016	48204.09	41145.59000000001	49770.42000000001	43418.38	46396.8	44064.35000000001	28174.130000000016	36787.92000000001	41972.34	32972.960000000014	44220.84	48919.90000000001	44054.54000000001	34128.95000000001	37175.01000000002	36457.150000000016	51476.32	44522.2	43547.37999999998	41829.220000000016	45765.89	40523.62	40577.67	40316.040000000015	31383.76	38386.2	44229.88	47954.89999999997	35629.11000000001	46996.48	41862.720000000016	40403.110000000015	47747.63000000001	41557.330000000016	40832.38000000001	36018.51000000002	34835.42000000001	46763.37	40417.55	42003.66	37573.55	35173.760000000024	44718.67000000001
K00054	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	323.0	132.11	575.0	455.0	157.0	304.22	118.0	176.0	70.0	283.0	117.0	288.0	451.0	39.0	451.0	298.0	183.89	2452.17	887.33	1288.61	2471.11	430.11	45.0	116.0	83.0	150.0	317.11	1057.78	139.0	22.89	2294.0	534.0	991.0	599.5	1266.0	257.0	594.0	4900.0	902.0	778.0	2248.11	323.0	1649.0	4812.0	706.11
K00055	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]	37.0	8.0	4.0	40.0	19.0	43.0	3.0	5.0	1.0	8.0	7.0	22.0	3.0	2.0	14.0	1.0	21.0	34.0	20.0	650.0	52.0	354.0	3.0	3.0	0.0	19.0	1.0	50.0	36.0	1.0	5.0	1.0	13.0	22.0	23.0	11.0	17.0	1.0	0.0	5.0	0.0	1.0	3.0	2.0	0.0
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	39504.53	42543.34	49743.36	43623.12	50227.18000000001	44864.11	47028.97	45091.61000000001	29919.970000000016	38088.43	42569.34	37487.23	45795.34	49248.32000000001	45179.96000000002	36523.95	39758.49	40044.070000000014	52544.24000000001	45277.49000000001	46399.15	41822.18	46419.73000000001	42150.95	42852.41	41539.4	33258.880000000005	42549.57999999999	44459.06	48438.60999999998	39044.039999999986	48103.15	43447.48000000002	42532.87000000002	49473.74000000001	42062.16000000002	42055.53000000002	42290.76000000002	37581.09000000001	48386.13000000001	43979.669999999984	43088.32	39993.72	41347.92000000002	46351.61000000002
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	62112.60000000001	71559.23000000001	85925.71	68387.26000000001	88544.49000000002	75736.95999999999	87997.05999999998	64810.26000000001	40673.88000000001	58700.92000000001	55531.05	56373.26000000001	75425.76	86323.03000000001	77926.57	56743.48	54782.02	67328.73000000001	83125.15000000001	50231.54	77729.98999999999	45833.30000000001	65894.64	60673.29	71769.33	62563.16000000001	52143.18000000001	61066.33	74335.31	79589.40999999999	54071.03	102883.25	71214.63000000003	68157.79000000002	84070.21000000004	77159.09000000001	70853.00000000001	63771.00000000001	52064.41	92132.28	70225.79999999999	77336.48999999999	72712.0	52378.21000000002	76999.39
K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	110611.53000000004	125727.51	152575.8	127105.35000000006	157537.58000000002	136695.32	153255.86	128770.19000000006	77144.51000000002	109283.85	116065.88	106004.14	144096.18000000002	155137.94000000006	139000.86000000004	104982.69000000002	108612.89	117708.95	162647.46	90353.07	139930.08999999994	82555.57	132939.7	121505.66000000002	129039.01	120236.37000000002	90420.83	113685.01	135240.77	151534.75000000006	102388.73	147840.97999999998	123132.72000000006	121478.81000000006	143506.34000000005	125236.28	112886.58000000002	105142.01000000002	98703.25	144650.74000000002	119089.82	127156.57	112282.13999999998	106260.88000000003	138290.87000000002
K00060	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]	3853.49	7683.48	5045.0	3434.84	4960.33	5983.29	5534.8	6411.51	3871.17	3640.56	3284.0	5539.33	10994.33	5114.82	8719.49	9163.66	4030.26	3851.87	8346.470000000001	4952.43	4880.28	6606.7	3498.67	3343.66	5819.82	8365.83	3145.7000000000007	2790.83	4325.17	5091.41	3959.0	7775.34	2633.97	7407.66	3571.49	7973.84	3115.97	6525.16	4209.0	8696.0	5603.63	6851.34	6404.67	5639.66	8006.33
K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	24.0	0.0	10.0	6.0	18.0	0.0	0.0	0.0	0.0	0.0	11.0	3.0	12.0	0.0	0.0	4.0	21.0	9.0	1.0	5.0	3.0	0.0	6.0	1.0	20.0	0.0	16.0	3.0	3.0	1.0	0.0	3.0	0.0	0.0	0.0	23.0	7.0	16.0	5.0	7.0	4.0	0.0	0.0	14.0	2.0
K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	3094.0	2719.9500000000007	4072.33	2639.0	4475.0	3460.58	10623.58	956.0	1317.0	2664.14	523.0	3388.33	3526.0	6775.0	3293.5	2363.67	1666.86	4792.42	4728.28	1889.19	5375.08	1035.42	1936.33	2498.0	6193.33	895.5	1945.72	1528.0	4110.0	4909.6399999999985	1576.83	8323.0	2942.78	1850.5	4648.5	4876.5	2419.28	2146.83	1193.33	5243.0	2938.11	4283.5	4509.0	1268.0	5276.0
K00066	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	2.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	5.0	5.0	2.0	0.0	4.0	0.0	1.0	0.0	3.0	1.0	4.0	0.0	0.0	1.0	5.0	4.0	3.0	7.0	0.0	3.0	3.0	5.0	11.0	8.0	8.0	6.0	4.0	0.0	5.0
