variable	group	value
sulfate_respiration	H95	20
sulfate_respiration	H96	15
sulfate_respiration	L36	15
sulfate_respiration	L37	8
sulfate_respiration	L38	4
sulfate_respiration	L39	20
sulfate_respiration	L70	7
sulfate_respiration	L73	6
sulfate_respiration	L76	9
sulfate_respiration	L77	12
sulfate_respiration	L91	5
sulfate_respiration	L92	5
sulfate_respiration	L93	5
sulfate_respiration	M30	14
sulfate_respiration	M31	4
sulfate_respiration	M32	14
sulfate_respiration	M33	12
sulfate_respiration	M34	5
sulfate_respiration	M35	4
sulfate_respiration	M54	5
sulfate_respiration	M55	4
sulfate_respiration	M56	16
sulfate_respiration	M57	11
sulfate_respiration	M58	9
sulfate_respiration	M59	16
sulfate_respiration	N12	6
sulfate_respiration	N13	11
sulfate_respiration	N15	339
sulfate_respiration	N16	638
sulfate_respiration	N17	975
sulfate_respiration	N51	240
sulfate_respiration	N52	1425
sulfate_respiration	N53	613
sulfate_respiration	N86	11
sulfate_respiration	N87	17
sulfate_respiration	N88	12
sulfate_respiration	N90	14
sulfur_respiration	H60	0
sulfur_respiration	H61	0
sulfur_respiration	H62	2
sulfur_respiration	H63	3
sulfur_respiration	H64	6
sulfur_respiration	H66	4
sulfur_respiration	H67	1
sulfur_respiration	H68	1
sulfur_respiration	H79	0
sulfur_respiration	H94	0
sulfur_respiration	H95	1
sulfur_respiration	H96	8
sulfur_respiration	L36	2
sulfur_respiration	L37	0
sulfur_respiration	L38	4
sulfur_respiration	L39	1
sulfur_respiration	L70	0
sulfur_respiration	L73	0
sulfur_respiration	L76	0
sulfur_respiration	L77	11
sulfur_respiration	L91	8
sulfur_respiration	L92	0
sulfur_respiration	L93	2
sulfur_respiration	M30	2
sulfur_respiration	M31	0
sulfur_respiration	M32	0
sulfur_respiration	M33	1
sulfur_respiration	M34	5
sulfur_respiration	M35	6
sulfur_respiration	M54	2
sulfur_respiration	M55	15
sulfur_respiration	M56	4
sulfur_respiration	M57	5
sulfur_respiration	M58	7
sulfur_respiration	M59	10
sulfur_respiration	N12	1853
sulfur_respiration	N13	2158
sulfur_respiration	N15	497
sulfur_respiration	N16	1191
sulfur_respiration	N17	473
sulfur_respiration	N51	27
sulfur_respiration	N52	24
sulfur_respiration	N53	348
sulfur_respiration	N86	283
sulfur_respiration	N87	15
sulfur_respiration	N88	217
sulfur_respiration	N90	839
thiosulfate_respiration	H60	6
thiosulfate_respiration	H61	9
thiosulfate_respiration	H62	8
thiosulfate_respiration	H63	1
thiosulfate_respiration	H64	1
thiosulfate_respiration	H66	0
thiosulfate_respiration	H67	1
thiosulfate_respiration	H68	1
thiosulfate_respiration	H79	4
thiosulfate_respiration	H94	1
thiosulfate_respiration	H95	22
thiosulfate_respiration	H96	18
thiosulfate_respiration	L36	6
thiosulfate_respiration	L37	22
thiosulfate_respiration	L38	12
thiosulfate_respiration	L39	1
thiosulfate_respiration	L70	14
thiosulfate_respiration	L73	1
thiosulfate_respiration	L76	0
thiosulfate_respiration	L77	1
thiosulfate_respiration	L91	55
thiosulfate_respiration	L92	0
thiosulfate_respiration	L93	0
thiosulfate_respiration	M30	3
thiosulfate_respiration	M31	0
thiosulfate_respiration	M32	6
thiosulfate_respiration	M33	9
thiosulfate_respiration	M34	18
thiosulfate_respiration	M35	1
thiosulfate_respiration	M54	0
thiosulfate_respiration	M55	0
thiosulfate_respiration	M56	0
thiosulfate_respiration	M57	59
thiosulfate_respiration	M58	0
thiosulfate_respiration	M59	24
thiosulfate_respiration	N12	2
thiosulfate_respiration	N13	6
thiosulfate_respiration	N15	2
thiosulfate_respiration	N16	1
thiosulfate_respiration	N17	14
thiosulfate_respiration	N51	12
thiosulfate_respiration	N52	0
thiosulfate_respiration	N53	4
thiosulfate_respiration	N86	1
thiosulfate_respiration	N87	8
thiosulfate_respiration	N88	12
thiosulfate_respiration	N90	1
respiration_of_sulfur_compounds	H60	17
respiration_of_sulfur_compounds	H61	21
respiration_of_sulfur_compounds	H62	26
respiration_of_sulfur_compounds	H63	22
respiration_of_sulfur_compounds	H64	23
respiration_of_sulfur_compounds	H66	27
respiration_of_sulfur_compounds	H67	7
respiration_of_sulfur_compounds	H68	15
respiration_of_sulfur_compounds	H79	13
respiration_of_sulfur_compounds	H94	5
respiration_of_sulfur_compounds	H95	43
respiration_of_sulfur_compounds	H96	41
respiration_of_sulfur_compounds	L36	23
respiration_of_sulfur_compounds	L37	30
respiration_of_sulfur_compounds	L38	20
respiration_of_sulfur_compounds	L39	22
respiration_of_sulfur_compounds	L70	21
respiration_of_sulfur_compounds	L73	7
respiration_of_sulfur_compounds	L76	9
respiration_of_sulfur_compounds	L77	24
respiration_of_sulfur_compounds	L91	68
respiration_of_sulfur_compounds	L92	5
respiration_of_sulfur_compounds	L93	7
respiration_of_sulfur_compounds	M30	19
respiration_of_sulfur_compounds	M31	4
respiration_of_sulfur_compounds	M32	20
respiration_of_sulfur_compounds	M33	22
respiration_of_sulfur_compounds	M34	28
respiration_of_sulfur_compounds	M35	11
respiration_of_sulfur_compounds	M54	7
respiration_of_sulfur_compounds	M55	19
respiration_of_sulfur_compounds	M56	20
respiration_of_sulfur_compounds	M57	75
respiration_of_sulfur_compounds	M58	16
respiration_of_sulfur_compounds	M59	50
respiration_of_sulfur_compounds	N12	1861
respiration_of_sulfur_compounds	N13	2175
respiration_of_sulfur_compounds	N15	838
respiration_of_sulfur_compounds	N16	1830
respiration_of_sulfur_compounds	N17	1462
respiration_of_sulfur_compounds	N51	279
respiration_of_sulfur_compounds	N52	1449
respiration_of_sulfur_compounds	N53	965
respiration_of_sulfur_compounds	N86	295
respiration_of_sulfur_compounds	N87	40
respiration_of_sulfur_compounds	N88	241
respiration_of_sulfur_compounds	N90	854
anammox	H60	1
anammox	H61	0
anammox	H62	1
anammox	H63	0
anammox	H64	1
anammox	H66	0
anammox	H67	0
anammox	H68	0
anammox	H79	0
anammox	H94	1
anammox	H95	0
anammox	H96	0
anammox	L36	2
anammox	L37	1
anammox	L38	0
anammox	L39	2
anammox	L70	0
anammox	L73	0
anammox	L76	0
anammox	L77	0
anammox	L91	1
anammox	L92	0
anammox	L93	2
anammox	M30	0
anammox	M31	0
anammox	M32	0
anammox	M33	0
anammox	M34	1
anammox	M35	0
anammox	M54	2
anammox	M55	0
anammox	M56	0
anammox	M57	0
anammox	M58	0
anammox	M59	0
anammox	N12	2
anammox	N13	0
anammox	N15	0
anammox	N16	0
anammox	N17	0
anammox	N51	0
anammox	N52	0
anammox	N53	0
anammox	N86	1
anammox	N87	0
anammox	N88	1
anammox	N90	0
dark_hydrogen_oxidation	H60	0
dark_hydrogen_oxidation	H61	0
dark_hydrogen_oxidation	H62	0
dark_hydrogen_oxidation	H63	0
dark_hydrogen_oxidation	H64	0
dark_hydrogen_oxidation	H66	0
dark_hydrogen_oxidation	H67	5
dark_hydrogen_oxidation	H68	0
dark_hydrogen_oxidation	H79	2
dark_hydrogen_oxidation	H94	0
dark_hydrogen_oxidation	H95	0
dark_hydrogen_oxidation	H96	0
dark_hydrogen_oxidation	L36	0
dark_hydrogen_oxidation	L37	0
dark_hydrogen_oxidation	L38	0
dark_hydrogen_oxidation	L39	0
dark_hydrogen_oxidation	L70	0
dark_hydrogen_oxidation	L73	0
dark_hydrogen_oxidation	L76	0
dark_hydrogen_oxidation	L77	0
dark_hydrogen_oxidation	L91	0
dark_hydrogen_oxidation	L92	0
dark_hydrogen_oxidation	L93	0
dark_hydrogen_oxidation	M30	0
dark_hydrogen_oxidation	M31	0
dark_hydrogen_oxidation	M32	0
dark_hydrogen_oxidation	M33	0
dark_hydrogen_oxidation	M34	0
dark_hydrogen_oxidation	M35	0
dark_hydrogen_oxidation	M54	0
dark_hydrogen_oxidation	M55	0
dark_hydrogen_oxidation	M56	1
dark_hydrogen_oxidation	M57	0
dark_hydrogen_oxidation	M58	0
dark_hydrogen_oxidation	M59	0
dark_hydrogen_oxidation	N12	0
dark_hydrogen_oxidation	N13	0
dark_hydrogen_oxidation	N15	0
dark_hydrogen_oxidation	N16	1
dark_hydrogen_oxidation	N17	2
dark_hydrogen_oxidation	N51	0
dark_hydrogen_oxidation	N52	0
dark_hydrogen_oxidation	N53	1
dark_hydrogen_oxidation	N86	8
dark_hydrogen_oxidation	N87	1
dark_hydrogen_oxidation	N88	0
dark_hydrogen_oxidation	N90	5
nitrogen_fixation	H60	4
nitrogen_fixation	H61	2
nitrogen_fixation	H62	0
nitrogen_fixation	H63	2
nitrogen_fixation	H64	0
nitrogen_fixation	H66	1
nitrogen_fixation	H67	0
nitrogen_fixation	H68	0
nitrogen_fixation	H79	1
nitrogen_fixation	H94	0
nitrogen_fixation	H95	0
nitrogen_fixation	H96	1
nitrogen_fixation	L36	2
nitrogen_fixation	L37	0
nitrogen_fixation	L38	1
nitrogen_fixation	L39	0
nitrogen_fixation	L70	2
nitrogen_fixation	L73	1
nitrogen_fixation	L76	0
nitrogen_fixation	L77	5
nitrogen_fixation	L91	1
nitrogen_fixation	L92	0
nitrogen_fixation	L93	0
nitrogen_fixation	M30	0
nitrogen_fixation	M31	2
nitrogen_fixation	M32	0
nitrogen_fixation	M33	1
nitrogen_fixation	M34	2
nitrogen_fixation	M35	1
nitrogen_fixation	M54	0
nitrogen_fixation	M55	0
nitrogen_fixation	M56	0
nitrogen_fixation	M57	0
nitrogen_fixation	M58	0
nitrogen_fixation	M59	0
nitrogen_fixation	N12	2
nitrogen_fixation	N13	2
nitrogen_fixation	N15	0
nitrogen_fixation	N16	0
nitrogen_fixation	N17	0
nitrogen_fixation	N51	1
nitrogen_fixation	N52	0
nitrogen_fixation	N53	0
nitrogen_fixation	N86	0
nitrogen_fixation	N87	0
nitrogen_fixation	N88	0
nitrogen_fixation	N90	1
nitrite_respiration	H60	1
nitrite_respiration	H61	0
nitrite_respiration	H62	1
nitrite_respiration	H63	0
nitrite_respiration	H64	1
nitrite_respiration	H66	0
nitrite_respiration	H67	0
nitrite_respiration	H68	0
nitrite_respiration	H79	0
nitrite_respiration	H94	1
nitrite_respiration	H95	0
nitrite_respiration	H96	0
nitrite_respiration	L36	2
nitrite_respiration	L37	1
nitrite_respiration	L38	0
nitrite_respiration	L39	2
nitrite_respiration	L70	0
nitrite_respiration	L73	0
nitrite_respiration	L76	0
nitrite_respiration	L77	0
nitrite_respiration	L91	1
nitrite_respiration	L92	0
nitrite_respiration	L93	2
nitrite_respiration	M30	0
nitrite_respiration	M31	0
nitrite_respiration	M32	0
nitrite_respiration	M33	0
nitrite_respiration	M34	1
nitrite_respiration	M35	0
nitrite_respiration	M54	2
nitrite_respiration	M55	0
nitrite_respiration	M56	0
nitrite_respiration	M57	0
nitrite_respiration	M58	0
nitrite_respiration	M59	0
nitrite_respiration	N12	2
nitrite_respiration	N13	0
nitrite_respiration	N15	0
nitrite_respiration	N16	0
nitrite_respiration	N17	0
nitrite_respiration	N51	0
nitrite_respiration	N52	0
nitrite_respiration	N53	0
nitrite_respiration	N86	1
nitrite_respiration	N87	0
nitrite_respiration	N88	1
nitrite_respiration	N90	0
fermentation	H60	702
fermentation	H61	1491
fermentation	H62	3353
fermentation	H63	1071
fermentation	H64	984
fermentation	H66	1872
fermentation	H67	1055
fermentation	H68	944
fermentation	H79	937
fermentation	H94	768
fermentation	H95	1653
fermentation	H96	1862
fermentation	L36	2286
fermentation	L37	897
fermentation	L38	1746
fermentation	L39	1546
fermentation	L70	2480
fermentation	L73	1971
fermentation	L76	1019
fermentation	L77	1567
fermentation	L91	2173
fermentation	L92	1554
fermentation	L93	1540
fermentation	M30	1480
fermentation	M31	1398
fermentation	M32	2281
fermentation	M33	3338
fermentation	M34	4493
fermentation	M35	1107
fermentation	M54	780
fermentation	M55	678
fermentation	M56	409
fermentation	M57	1100
fermentation	M58	888
fermentation	M59	1686
fermentation	N12	4622
fermentation	N13	5002
fermentation	N15	2098
fermentation	N16	2225
fermentation	N17	1232
fermentation	N51	566
fermentation	N52	981
fermentation	N53	1869
fermentation	N86	1592
fermentation	N87	526
fermentation	N88	887
fermentation	N90	3162
aerobic_chemoheterotrophy	H60	33
aerobic_chemoheterotrophy	H61	565
aerobic_chemoheterotrophy	H62	2547
aerobic_chemoheterotrophy	H63	32
aerobic_chemoheterotrophy	H64	52
aerobic_chemoheterotrophy	H66	48
aerobic_chemoheterotrophy	H67	25
aerobic_chemoheterotrophy	H68	25
aerobic_chemoheterotrophy	H79	74
aerobic_chemoheterotrophy	H94	25
aerobic_chemoheterotrophy	H95	96
aerobic_chemoheterotrophy	H96	1177
aerobic_chemoheterotrophy	L36	686
aerobic_chemoheterotrophy	L37	70
aerobic_chemoheterotrophy	L38	774
aerobic_chemoheterotrophy	L39	85
aerobic_chemoheterotrophy	L70	1758
aerobic_chemoheterotrophy	L73	80
aerobic_chemoheterotrophy	L76	56
aerobic_chemoheterotrophy	L77	85
aerobic_chemoheterotrophy	L91	1466
aerobic_chemoheterotrophy	L92	72
aerobic_chemoheterotrophy	L93	63
aerobic_chemoheterotrophy	M30	909
aerobic_chemoheterotrophy	M31	977
aerobic_chemoheterotrophy	M32	1216
aerobic_chemoheterotrophy	M33	2767
aerobic_chemoheterotrophy	M34	3959
aerobic_chemoheterotrophy	M35	96
aerobic_chemoheterotrophy	M54	37
aerobic_chemoheterotrophy	M55	39
aerobic_chemoheterotrophy	M56	28
aerobic_chemoheterotrophy	M57	560
aerobic_chemoheterotrophy	M58	26
aerobic_chemoheterotrophy	M59	1083
aerobic_chemoheterotrophy	N12	1911
aerobic_chemoheterotrophy	N13	1944
aerobic_chemoheterotrophy	N15	912
aerobic_chemoheterotrophy	N16	272
aerobic_chemoheterotrophy	N17	79
aerobic_chemoheterotrophy	N51	19
aerobic_chemoheterotrophy	N52	142
aerobic_chemoheterotrophy	N53	836
aerobic_chemoheterotrophy	N86	477
aerobic_chemoheterotrophy	N87	58
aerobic_chemoheterotrophy	N88	91
aerobic_chemoheterotrophy	N90	1186
human_pathogens_all	H60	0
human_pathogens_all	H61	1
human_pathogens_all	H62	0
human_pathogens_all	H63	2
human_pathogens_all	H64	0
human_pathogens_all	H66	0
human_pathogens_all	H67	0
human_pathogens_all	H68	0
human_pathogens_all	H79	0
human_pathogens_all	H94	0
human_pathogens_all	H95	0
human_pathogens_all	H96	5
human_pathogens_all	L36	0
human_pathogens_all	L37	0
human_pathogens_all	L38	0
human_pathogens_all	L39	0
human_pathogens_all	L70	0
human_pathogens_all	L73	1
human_pathogens_all	L76	0
human_pathogens_all	L77	4
human_pathogens_all	L91	0
human_pathogens_all	L92	0
human_pathogens_all	L93	0
human_pathogens_all	M30	1
human_pathogens_all	M31	0
human_pathogens_all	M32	1
human_pathogens_all	M33	0
human_pathogens_all	M34	1
human_pathogens_all	M35	0
human_pathogens_all	M54	0
human_pathogens_all	M55	1
human_pathogens_all	M56	0
human_pathogens_all	M57	0
human_pathogens_all	M58	0
human_pathogens_all	M59	0
human_pathogens_all	N12	1
human_pathogens_all	N13	0
human_pathogens_all	N15	0
human_pathogens_all	N16	0
human_pathogens_all	N17	1
human_pathogens_all	N51	0
human_pathogens_all	N52	2
human_pathogens_all	N53	0
human_pathogens_all	N86	3
human_pathogens_all	N87	0
human_pathogens_all	N88	0
human_pathogens_all	N90	0
human_gut	H60	7
human_gut	H61	5
human_gut	H62	14
human_gut	H63	12
human_gut	H64	4
human_gut	H66	13
human_gut	H67	4
human_gut	H68	2
human_gut	H79	5
human_gut	H94	6
human_gut	H95	13
human_gut	H96	8
human_gut	L36	9
human_gut	L37	3
human_gut	L38	20
human_gut	L39	22
human_gut	L70	29
human_gut	L73	33
human_gut	L76	21
human_gut	L77	29
human_gut	L91	15
human_gut	L92	25
human_gut	L93	5
human_gut	M30	6
human_gut	M31	6
human_gut	M32	10
human_gut	M33	6
human_gut	M34	8
human_gut	M35	1
human_gut	M54	5
human_gut	M55	10
human_gut	M56	15
human_gut	M57	12
human_gut	M58	17
human_gut	M59	14
human_gut	N12	16
human_gut	N13	20
human_gut	N15	16
human_gut	N16	11
human_gut	N17	5
human_gut	N51	9
human_gut	N52	7
human_gut	N53	6
human_gut	N86	7
human_gut	N87	4
human_gut	N88	7
human_gut	N90	8
human_associated	H60	7
human_associated	H61	6
human_associated	H62	14
human_associated	H63	14
human_associated	H64	4
human_associated	H66	13
human_associated	H67	4
human_associated	H68	2
human_associated	H79	5
human_associated	H94	6
human_associated	H95	13
human_associated	H96	13
human_associated	L36	9
human_associated	L37	3
human_associated	L38	20
human_associated	L39	22
human_associated	L70	29
human_associated	L73	34
human_associated	L76	21
human_associated	L77	33
human_associated	L91	15
human_associated	L92	25
human_associated	L93	5
human_associated	M30	7
human_associated	M31	6
human_associated	M32	11
human_associated	M33	6
human_associated	M34	9
human_associated	M35	1
human_associated	M54	5
human_associated	M55	11
human_associated	M56	15
human_associated	M57	12
human_associated	M58	17
human_associated	M59	14
human_associated	N12	17
human_associated	N13	20
human_associated	N15	16
human_associated	N16	11
human_associated	N17	6
human_associated	N51	9
human_associated	N52	9
human_associated	N53	6
human_associated	N86	10
human_associated	N87	4
human_associated	N88	7
human_associated	N90	8
mammal_gut	H60	7
mammal_gut	H61	5
mammal_gut	H62	14
mammal_gut	H63	12
mammal_gut	H64	4
mammal_gut	H66	13
mammal_gut	H67	4
mammal_gut	H68	2
mammal_gut	H79	5
mammal_gut	H94	6
mammal_gut	H95	13
mammal_gut	H96	8
mammal_gut	L36	9
mammal_gut	L37	3
mammal_gut	L38	20
mammal_gut	L39	22
mammal_gut	L70	29
mammal_gut	L73	33
mammal_gut	L76	21
mammal_gut	L77	29
mammal_gut	L91	15
mammal_gut	L92	25
mammal_gut	L93	5
mammal_gut	M30	6
mammal_gut	M31	6
mammal_gut	M32	10
mammal_gut	M33	6
mammal_gut	M34	8
mammal_gut	M35	1
mammal_gut	M54	5
mammal_gut	M55	10
mammal_gut	M56	15
mammal_gut	M57	12
mammal_gut	M58	17
mammal_gut	M59	14
mammal_gut	N12	16
mammal_gut	N13	20
mammal_gut	N15	16
mammal_gut	N16	11
mammal_gut	N17	5
mammal_gut	N51	9
mammal_gut	N52	7
mammal_gut	N53	6
mammal_gut	N86	7
mammal_gut	N87	4
mammal_gut	N88	7
mammal_gut	N90	8
animal_parasites_or_symbionts	H60	64
animal_parasites_or_symbionts	H61	45
animal_parasites_or_symbionts	H62	107
animal_parasites_or_symbionts	H63	188
animal_parasites_or_symbionts	H64	37
animal_parasites_or_symbionts	H66	79
animal_parasites_or_symbionts	H67	116
animal_parasites_or_symbionts	H68	93
animal_parasites_or_symbionts	H79	51
animal_parasites_or_symbionts	H94	46
animal_parasites_or_symbionts	H95	82
animal_parasites_or_symbionts	H96	91
animal_parasites_or_symbionts	L36	76
animal_parasites_or_symbionts	L37	63
animal_parasites_or_symbionts	L38	114
animal_parasites_or_symbionts	L39	47
animal_parasites_or_symbionts	L70	169
animal_parasites_or_symbionts	L73	181
animal_parasites_or_symbionts	L76	109
animal_parasites_or_symbionts	L77	264
animal_parasites_or_symbionts	L91	82
animal_parasites_or_symbionts	L92	137
animal_parasites_or_symbionts	L93	124
animal_parasites_or_symbionts	M30	69
animal_parasites_or_symbionts	M31	43
animal_parasites_or_symbionts	M32	131
animal_parasites_or_symbionts	M33	128
animal_parasites_or_symbionts	M34	76
animal_parasites_or_symbionts	M35	299
animal_parasites_or_symbionts	M54	102
animal_parasites_or_symbionts	M55	112
animal_parasites_or_symbionts	M56	51
animal_parasites_or_symbionts	M57	45
animal_parasites_or_symbionts	M58	92
animal_parasites_or_symbionts	M59	41
animal_parasites_or_symbionts	N12	82
animal_parasites_or_symbionts	N13	99
animal_parasites_or_symbionts	N15	192
animal_parasites_or_symbionts	N16	121
animal_parasites_or_symbionts	N17	137
animal_parasites_or_symbionts	N51	242
animal_parasites_or_symbionts	N52	437
animal_parasites_or_symbionts	N53	178
animal_parasites_or_symbionts	N86	502
animal_parasites_or_symbionts	N87	144
animal_parasites_or_symbionts	N88	71
animal_parasites_or_symbionts	N90	152
aromatic_hydrocarbon_degradation	H60	0
aromatic_hydrocarbon_degradation	H61	0
aromatic_hydrocarbon_degradation	H62	0
aromatic_hydrocarbon_degradation	H63	0
aromatic_hydrocarbon_degradation	H64	0
aromatic_hydrocarbon_degradation	H66	0
aromatic_hydrocarbon_degradation	H67	0
aromatic_hydrocarbon_degradation	H68	0
aromatic_hydrocarbon_degradation	H79	0
aromatic_hydrocarbon_degradation	H94	0
aromatic_hydrocarbon_degradation	H95	0
aromatic_hydrocarbon_degradation	H96	0
aromatic_hydrocarbon_degradation	L36	0
aromatic_hydrocarbon_degradation	L37	0
aromatic_hydrocarbon_degradation	L38	0
aromatic_hydrocarbon_degradation	L39	0
aromatic_hydrocarbon_degradation	L70	0
aromatic_hydrocarbon_degradation	L73	0
aromatic_hydrocarbon_degradation	L76	0
aromatic_hydrocarbon_degradation	L77	0
aromatic_hydrocarbon_degradation	L91	0
aromatic_hydrocarbon_degradation	L92	0
aromatic_hydrocarbon_degradation	L93	0
aromatic_hydrocarbon_degradation	M30	0
aromatic_hydrocarbon_degradation	M31	0
aromatic_hydrocarbon_degradation	M32	0
aromatic_hydrocarbon_degradation	M33	0
aromatic_hydrocarbon_degradation	M34	0
aromatic_hydrocarbon_degradation	M35	0
aromatic_hydrocarbon_degradation	M54	0
aromatic_hydrocarbon_degradation	M55	0
aromatic_hydrocarbon_degradation	M56	0
aromatic_hydrocarbon_degradation	M57	0
aromatic_hydrocarbon_degradation	M58	1
aromatic_hydrocarbon_degradation	M59	0
aromatic_hydrocarbon_degradation	N12	0
aromatic_hydrocarbon_degradation	N13	3
aromatic_hydrocarbon_degradation	N15	15
aromatic_hydrocarbon_degradation	N16	2
aromatic_hydrocarbon_degradation	N17	1
aromatic_hydrocarbon_degradation	N51	0
aromatic_hydrocarbon_degradation	N52	3
aromatic_hydrocarbon_degradation	N53	6
aromatic_hydrocarbon_degradation	N86	1
aromatic_hydrocarbon_degradation	N87	1
aromatic_hydrocarbon_degradation	N88	0
aromatic_hydrocarbon_degradation	N90	0
aromatic_compound_degradation	H60	24
aromatic_compound_degradation	H61	30
aromatic_compound_degradation	H62	24
aromatic_compound_degradation	H63	23
aromatic_compound_degradation	H64	18
aromatic_compound_degradation	H66	16
aromatic_compound_degradation	H67	23
aromatic_compound_degradation	H68	26
aromatic_compound_degradation	H79	19
aromatic_compound_degradation	H94	25
aromatic_compound_degradation	H95	2
aromatic_compound_degradation	H96	1
aromatic_compound_degradation	L36	33
aromatic_compound_degradation	L37	22
aromatic_compound_degradation	L38	26
aromatic_compound_degradation	L39	12
aromatic_compound_degradation	L70	25
aromatic_compound_degradation	L73	25
aromatic_compound_degradation	L76	20
aromatic_compound_degradation	L77	19
aromatic_compound_degradation	L91	6
aromatic_compound_degradation	L92	14
aromatic_compound_degradation	L93	30
aromatic_compound_degradation	M30	56
aromatic_compound_degradation	M31	33
aromatic_compound_degradation	M32	54
aromatic_compound_degradation	M33	22
aromatic_compound_degradation	M34	13
aromatic_compound_degradation	M35	22
aromatic_compound_degradation	M54	20
aromatic_compound_degradation	M55	30
aromatic_compound_degradation	M56	38
aromatic_compound_degradation	M57	2
aromatic_compound_degradation	M58	36
aromatic_compound_degradation	M59	3
aromatic_compound_degradation	N12	10
aromatic_compound_degradation	N13	10
aromatic_compound_degradation	N15	17
aromatic_compound_degradation	N16	13
aromatic_compound_degradation	N17	28
aromatic_compound_degradation	N51	26
aromatic_compound_degradation	N52	31
aromatic_compound_degradation	N53	16
aromatic_compound_degradation	N86	16
aromatic_compound_degradation	N87	31
aromatic_compound_degradation	N88	8
aromatic_compound_degradation	N90	11
aliphatic_non_methane_hydrocarbon_degradation	H60	0
aliphatic_non_methane_hydrocarbon_degradation	H61	0
aliphatic_non_methane_hydrocarbon_degradation	H62	0
aliphatic_non_methane_hydrocarbon_degradation	H63	0
aliphatic_non_methane_hydrocarbon_degradation	H64	0
aliphatic_non_methane_hydrocarbon_degradation	H66	0
aliphatic_non_methane_hydrocarbon_degradation	H67	0
aliphatic_non_methane_hydrocarbon_degradation	H68	0
aliphatic_non_methane_hydrocarbon_degradation	H79	0
aliphatic_non_methane_hydrocarbon_degradation	H94	0
aliphatic_non_methane_hydrocarbon_degradation	H95	0
aliphatic_non_methane_hydrocarbon_degradation	H96	0
aliphatic_non_methane_hydrocarbon_degradation	L36	0
aliphatic_non_methane_hydrocarbon_degradation	L37	0
aliphatic_non_methane_hydrocarbon_degradation	L38	0
aliphatic_non_methane_hydrocarbon_degradation	L39	0
aliphatic_non_methane_hydrocarbon_degradation	L70	0
aliphatic_non_methane_hydrocarbon_degradation	L73	0
aliphatic_non_methane_hydrocarbon_degradation	L76	0
aliphatic_non_methane_hydrocarbon_degradation	L77	0
aliphatic_non_methane_hydrocarbon_degradation	L91	0
aliphatic_non_methane_hydrocarbon_degradation	L92	0
aliphatic_non_methane_hydrocarbon_degradation	L93	0
aliphatic_non_methane_hydrocarbon_degradation	M30	0
aliphatic_non_methane_hydrocarbon_degradation	M31	0
