unifrac	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
H95	0.638	0.334	0.590	0.552	0.450	0.518	0.366	0.415	0.418	0.565	0	0.412	0.471	0.478	0.517	0.444	0.628	0.469	0.625	0.540	0.593	0.471	0.432	0.463	0.493	0.497	0.677	0.621	0.391	0.602	0.593	0.622	0.620	0.521	0.488	0.869	0.859	0.732	0.763	0.706	0.657	0.658	0.747	0.716	0.672	0.723	0.747
H96	0.579	0.343	0.283	0.458	0.455	0.503	0.382	0.364	0.442	0.511	0.412	0	0.390	0.332	0.321	0.342	0.304	0.515	0.536	0.442	0.335	0.510	0.340	0.245	0.326	0.382	0.345	0.408	0.355	0.564	0.517	0.574	0.493	0.518	0.361	0.565	0.610	0.449	0.630	0.563	0.511	0.526	0.505	0.500	0.527	0.582	0.450
L36	0.592	0.371	0.418	0.532	0.327	0.442	0.486	0.476	0.406	0.521	0.471	0.390	0	0.480	0.368	0.440	0.453	0.402	0.512	0.432	0.446	0.400	0.351	0.362	0.421	0.390	0.435	0.491	0.440	0.608	0.555	0.642	0.550	0.527	0.438	0.652	0.689	0.600	0.676	0.664	0.650	0.648	0.609	0.607	0.648	0.654	0.635
L37	0.468	0.484	0.498	0.402	0.354	0.410	0.334	0.275	0.408	0.455	0.478	0.332	0.480	0	0.354	0.274	0.369	0.533	0.379	0.362	0.388	0.398	0.361	0.360	0.457	0.611	0.512	0.610	0.416	0.471	0.423	0.509	0.506	0.440	0.549	0.660	0.784	0.576	0.648	0.481	0.456	0.562	0.639	0.507	0.468	0.495	0.541
L38	0.584	0.450	0.340	0.524	0.453	0.342	0.454	0.411	0.476	0.512	0.517	0.321	0.368	0.354	0	0.282	0.310	0.510	0.423	0.401	0.336	0.404	0.352	0.314	0.464	0.525	0.394	0.485	0.429	0.575	0.536	0.596	0.485	0.495	0.454	0.576	0.664	0.440	0.586	0.536	0.534	0.532	0.473	0.471	0.531	0.517	0.496
L39	0.534	0.492	0.517	0.478	0.422	0.362	0.402	0.363	0.437	0.477	0.444	0.342	0.440	0.274	0.282	0	0.367	0.499	0.423	0.370	0.460	0.374	0.286	0.391	0.520	0.600	0.536	0.592	0.400	0.513	0.490	0.543	0.526	0.483	0.552	0.685	0.798	0.583	0.619	0.517	0.489	0.553	0.624	0.539	0.513	0.536	0.584
L70	0.534	0.502	0.297	0.501	0.478	0.510	0.444	0.431	0.477	0.518	0.628	0.304	0.453	0.369	0.310	0.367	0	0.554	0.486	0.439	0.260	0.509	0.413	0.335	0.421	0.460	0.264	0.406	0.473	0.539	0.509	0.574	0.455	0.524	0.448	0.424	0.521	0.501	0.679	0.571	0.573	0.603	0.552	0.517	0.549	0.560	0.436
L73	0.638	0.418	0.519	0.587	0.471	0.482	0.556	0.538	0.448	0.587	0.469	0.515	0.402	0.533	0.510	0.499	0.554	0	0.532	0.386	0.584	0.406	0.308	0.474	0.580	0.511	0.568	0.571	0.325	0.648	0.602	0.651	0.652	0.545	0.547	0.742	0.744	0.689	0.728	0.672	0.684	0.662	0.691	0.673	0.672	0.679	0.693
L76	0.245	0.562	0.549	0.325	0.458	0.451	0.433	0.369	0.418	0.314	0.625	0.536	0.512	0.379	0.423	0.423	0.486	0.532	0	0.446	0.384	0.309	0.442	0.375	0.574	0.654	0.537	0.618	0.491	0.315	0.272	0.420	0.478	0.333	0.595	0.648	0.775	0.637	0.668	0.574	0.339	0.677	0.679	0.392	0.280	0.271	0.570
L77	0.603	0.526	0.471	0.512	0.483	0.356	0.461	0.461	0.472	0.531	0.540	0.442	0.432	0.362	0.401	0.370	0.439	0.386	0.446	0	0.530	0.395	0.287	0.427	0.545	0.542	0.502	0.612	0.362	0.604	0.550	0.618	0.630	0.511	0.563	0.679	0.740	0.583	0.655	0.636	0.645	0.633	0.584	0.646	0.635	0.644	0.613
L91	0.396	0.450	0.360	0.354	0.373	0.498	0.407	0.320	0.389	0.348	0.593	0.335	0.446	0.388	0.336	0.460	0.260	0.584	0.384	0.530	0	0.395	0.505	0.220	0.379	0.417	0.373	0.453	0.511	0.382	0.323	0.446	0.333	0.372	0.397	0.463	0.575	0.507	0.641	0.509	0.443	0.603	0.540	0.388	0.419	0.431	0.386
L92	0.402	0.465	0.557	0.394	0.350	0.403	0.399	0.402	0.301	0.361	0.471	0.510	0.400	0.398	0.404	0.374	0.509	0.406	0.309	0.395	0.395	0	0.325	0.323	0.517	0.581	0.547	0.580	0.386	0.397	0.405	0.447	0.498	0.350	0.570	0.634	0.760	0.648	0.697	0.535	0.434	0.632	0.660	0.457	0.452	0.435	0.601
L93	0.572	0.447	0.464	0.505	0.427	0.407	0.394	0.424	0.440	0.505	0.432	0.340	0.351	0.361	0.352	0.286	0.413	0.308	0.442	0.287	0.505	0.325	0	0.372	0.486	0.454	0.500	0.532	0.290	0.548	0.524	0.594	0.569	0.501	0.504	0.696	0.741	0.613	0.676	0.591	0.571	0.593	0.640	0.597	0.573	0.601	0.647
M30	0.417	0.364	0.358	0.331	0.356	0.425	0.338	0.292	0.311	0.348	0.463	0.245	0.362	0.360	0.314	0.391	0.335	0.474	0.375	0.427	0.220	0.323	0.372	0	0.360	0.400	0.380	0.420	0.381	0.409	0.339	0.421	0.346	0.330	0.356	0.520	0.634	0.503	0.663	0.511	0.450	0.602	0.534	0.395	0.451	0.454	0.464
M31	0.477	0.323	0.485	0.507	0.407	0.584	0.332	0.388	0.366	0.355	0.493	0.326	0.421	0.457	0.464	0.520	0.421	0.580	0.574	0.545	0.379	0.517	0.486	0.360	0	0.309	0.442	0.521	0.495	0.433	0.466	0.395	0.288	0.407	0.249	0.592	0.653	0.509	0.661	0.573	0.526	0.562	0.514	0.509	0.521	0.596	0.515
M32	0.555	0.348	0.456	0.531	0.501	0.620	0.410	0.482	0.436	0.488	0.497	0.382	0.390	0.611	0.525	0.600	0.460	0.511	0.654	0.542	0.417	0.581	0.454	0.400	0.309	0	0.451	0.478	0.517	0.524	0.527	0.553	0.464	0.507	0.333	0.598	0.591	0.579	0.676	0.621	0.629	0.614	0.531	0.588	0.629	0.655	0.560
M33	0.620	0.525	0.173	0.597	0.576	0.558	0.534	0.530	0.517	0.576	0.677	0.345	0.435	0.512	0.394	0.536	0.264	0.568	0.537	0.502	0.373	0.547	0.500	0.380	0.442	0.451	0	0.242	0.504	0.615	0.592	0.643	0.540	0.580	0.490	0.423	0.497	0.506	0.668	0.638	0.641	0.654	0.561	0.574	0.641	0.612	0.481
M34	0.712	0.505	0.265	0.680	0.624	0.633	0.628	0.606	0.593	0.659	0.621	0.408	0.491	0.610	0.485	0.592	0.406	0.571	0.618	0.612	0.453	0.580	0.532	0.420	0.521	0.478	0.242	0	0.543	0.706	0.676	0.739	0.639	0.670	0.472	0.516	0.515	0.589	0.707	0.728	0.731	0.681	0.604	0.658	0.730	0.701	0.556
M35	0.588	0.357	0.453	0.517	0.436	0.503	0.432	0.427	0.408	0.538	0.391	0.355	0.440	0.416	0.429	0.400	0.473	0.325	0.491	0.362	0.511	0.386	0.290	0.381	0.495	0.517	0.504	0.543	0	0.592	0.536	0.543	0.572	0.464	0.491	0.714	0.736	0.600	0.653	0.595	0.592	0.587	0.606	0.581	0.602	0.620	0.631
M54	0.130	0.511	0.660	0.227	0.399	0.565	0.345	0.343	0.324	0.216	0.602	0.564	0.608	0.471	0.575	0.513	0.539	0.648	0.315	0.604	0.382	0.397	0.548	0.409	0.433	0.524	0.615	0.706	0.592	0	0.121	0.226	0.300	0.228	0.497	0.669	0.798	0.686	0.704	0.536	0.264	0.651	0.694	0.384	0.280	0.353	0.624
M55	0.125	0.506	0.622	0.189	0.357	0.515	0.347	0.290	0.349	0.236	0.593	0.517	0.555	0.423	0.536	0.490	0.509	0.602	0.272	0.550	0.323	0.405	0.524	0.339	0.466	0.527	0.592	0.676	0.536	0.121	0	0.251	0.308	0.211	0.479	0.655	0.782	0.673	0.707	0.541	0.278	0.653	0.697	0.371	0.276	0.335	0.593
M56	0.258	0.541	0.692	0.315	0.436	0.577	0.307	0.348	0.359	0.229	0.622	0.574	0.642	0.509	0.596	0.543	0.574	0.651	0.420	0.618	0.446	0.447	0.594	0.421	0.395	0.553	0.643	0.739	0.543	0.226	0.251	0	0.234	0.155	0.417	0.669	0.810	0.694	0.719	0.545	0.366	0.674	0.710	0.447	0.392	0.451	0.639
M57	0.355	0.442	0.585	0.405	0.418	0.606	0.353	0.357	0.323	0.267	0.620	0.493	0.550	0.506	0.485	0.526	0.455	0.652	0.478	0.630	0.333	0.498	0.569	0.346	0.288	0.464	0.540	0.639	0.572	0.300	0.308	0.234	0	0.282	0.252	0.594	0.722	0.615	0.697	0.555	0.460	0.652	0.640	0.444	0.451	0.501	0.536
M58	0.242	0.445	0.590	0.277	0.323	0.474	0.275	0.289	0.281	0.160	0.521	0.518	0.527	0.440	0.495	0.483	0.524	0.545	0.333	0.511	0.372	0.350	0.501	0.330	0.407	0.507	0.580	0.670	0.464	0.228	0.211	0.155	0.282	0	0.389	0.656	0.783	0.673	0.722	0.520	0.382	0.679	0.711	0.426	0.391	0.436	0.610
M59	0.533	0.307	0.445	0.541	0.433	0.580	0.428	0.449	0.403	0.370	0.488	0.361	0.438	0.549	0.454	0.552	0.448	0.547	0.595	0.563	0.397	0.570	0.504	0.356	0.249	0.333	0.490	0.472	0.491	0.497	0.479	0.417	0.252	0.389	0	0.624	0.630	0.588	0.682	0.673	0.639	0.651	0.577	0.613	0.627	0.679	0.584
N12	0.656	0.688	0.439	0.673	0.663	0.669	0.656	0.650	0.657	0.670	0.869	0.565	0.652	0.660	0.576	0.685	0.424	0.742	0.648	0.679	0.463	0.634	0.696	0.520	0.592	0.598	0.423	0.516	0.714	0.669	0.655	0.669	0.594	0.656	0.624	0	0.156	0.462	0.465	0.562	0.658	0.729	0.522	0.496	0.655	0.562	0.207
N13	0.794	0.707	0.485	0.783	0.787	0.749	0.768	0.764	0.771	0.785	0.859	0.610	0.689	0.784	0.664	0.798	0.521	0.744	0.775	0.740	0.575	0.760	0.741	0.634	0.653	0.591	0.497	0.515	0.736	0.798	0.782	0.810	0.722	0.783	0.630	0.156	0	0.501	0.482	0.680	0.787	0.752	0.540	0.627	0.788	0.698	0.310
N15	0.702	0.549	0.470	0.634	0.666	0.628	0.600	0.557	0.621	0.650	0.732	0.449	0.600	0.576	0.440	0.583	0.501	0.689	0.637	0.583	0.507	0.648	0.613	0.503	0.509	0.579	0.506	0.589	0.600	0.686	0.673	0.694	0.615	0.673	0.588	0.462	0.501	0	0.438	0.465	0.516	0.465	0.239	0.407	0.568	0.556	0.339
N16	0.723	0.617	0.654	0.697	0.695	0.578	0.689	0.629	0.665	0.681	0.763	0.630	0.676	0.648	0.586	0.619	0.679	0.728	0.668	0.655	0.641	0.697	0.676	0.663	0.661	0.676	0.668	0.707	0.653	0.704	0.707	0.719	0.697	0.722	0.682	0.465	0.482	0.438	0	0.522	0.629	0.537	0.331	0.603	0.683	0.625	0.436
N17	0.541	0.588	0.642	0.488	0.538	0.609	0.497	0.436	0.514	0.529	0.706	0.563	0.664	0.481	0.536	0.517	0.571	0.672	0.574	0.636	0.509	0.535	0.591	0.511	0.573	0.621	0.638	0.728	0.595	0.536	0.541	0.545	0.555	0.520	0.673	0.562	0.680	0.465	0.522	0	0.376	0.367	0.418	0.367	0.448	0.417	0.454
N51	0.281	0.569	0.651	0.287	0.500	0.612	0.454	0.397	0.462	0.358	0.657	0.511	0.650	0.456	0.534	0.489	0.573	0.684	0.339	0.645	0.443	0.434	0.571	0.450	0.526	0.629	0.641	0.731	0.592	0.264	0.278	0.366	0.460	0.382	0.639	0.658	0.787	0.516	0.629	0.376	0	0.426	0.565	0.208	0.124	0.246	0.527
N52	0.667	0.572	0.633	0.612	0.644	0.659	0.587	0.563	0.615	0.643	0.658	0.526	0.648	0.562	0.532	0.553	0.603	0.662	0.677	0.633	0.603	0.632	0.593	0.602	0.562	0.614	0.654	0.681	0.587	0.651	0.653	0.674	0.652	0.679	0.651	0.729	0.752	0.465	0.537	0.367	0.426	0	0.405	0.476	0.481	0.569	0.614
N53	0.712	0.548	0.515	0.658	0.687	0.629	0.652	0.617	0.626	0.657	0.747	0.505	0.609	0.639	0.473	0.624	0.552	0.691	0.679	0.584	0.540	0.660	0.640	0.534	0.514	0.531	0.561	0.604	0.606	0.694	0.697	0.710	0.640	0.711	0.577	0.522	0.540	0.239	0.331	0.418	0.565	0.405	0	0.460	0.617	0.575	0.429
N86	0.386	0.537	0.580	0.366	0.565	0.645	0.515	0.466	0.512	0.421	0.716	0.500	0.607	0.507	0.471	0.539	0.517	0.673	0.392	0.646	0.388	0.457	0.597	0.395	0.509	0.588	0.574	0.658	0.581	0.384	0.371	0.447	0.444	0.426	0.613	0.496	0.627	0.407	0.603	0.367	0.208	0.476	0.460	0	0.215	0.215	0.373
N87	0.245	0.557	0.645	0.307	0.492	0.635	0.451	0.406	0.450	0.354	0.672	0.527	0.648	0.468	0.531	0.513	0.549	0.672	0.280	0.635	0.419	0.452	0.573	0.451	0.521	0.629	0.641	0.730	0.602	0.280	0.276	0.392	0.451	0.391	0.627	0.655	0.788	0.568	0.683	0.448	0.124	0.481	0.617	0.215	0	0.205	0.519
N88	0.289	0.603	0.615	0.370	0.551	0.611	0.508	0.457	0.513	0.424	0.723	0.582	0.654	0.495	0.517	0.536	0.560	0.679	0.271	0.644	0.431	0.435	0.601	0.454	0.596	0.655	0.612	0.701	0.620	0.353	0.335	0.451	0.501	0.436	0.679	0.562	0.698	0.556	0.625	0.417	0.246	0.569	0.575	0.215	0.205	0	0.457
N90	0.624	0.595	0.451	0.584	0.609	0.630	0.555	0.533	0.602	0.630	0.747	0.450	0.635	0.541	0.496	0.584	0.436	0.693	0.570	0.613	0.386	0.601	0.647	0.464	0.515	0.560	0.481	0.556	0.631	0.624	0.593	0.639	0.536	0.610	0.584	0.207	0.310	0.339	0.436	0.454	0.527	0.614	0.429	0.373	0.519	0.457	0
