euclidean	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
H95	7.14	5.92	6.40	7.48	7.00	6.40	5.83	6.63	6.63	6.93	0	5.39	7.14	6.63	6.24	6.32	7.14	7.14	7.62	7.14	6.48	6.93	6.56	6.56	6.24	7.21	6.63	6.48	6.93	7.28	7.14	7.55	6.71	6.71	6.48	7.48	7.42	8.12	7.75	7.87	8.37	8.43	8.19	8.19	8.94	8.00	8.06
H96	6.78	6.00	5.83	6.86	7.21	7.07	5.57	6.86	6.24	6.40	5.39	0	7.21	6.56	6.16	6.24	6.63	7.07	7.00	7.07	6.56	7.00	5.83	6.48	6.00	7.00	5.74	5.74	6.86	6.78	6.78	6.48	6.32	6.78	6.08	7.00	7.07	7.42	7.42	7.42	7.81	7.87	7.75	7.62	8.31	7.81	7.75
L36	7.35	6.48	5.10	7.68	4.69	6.48	7.14	7.68	6.86	6.71	7.14	7.21	0	7.00	5.48	7.14	5.48	6.16	6.56	7.07	6.08	6.08	6.93	6.63	7.07	6.71	5.74	6.24	6.86	7.07	6.93	7.62	7.07	6.63	6.08	7.00	6.93	7.55	7.14	7.68	8.19	8.37	7.87	7.75	8.54	7.68	7.48
L37	7.28	7.00	6.08	7.35	6.71	7.14	6.78	6.93	6.93	7.07	6.63	6.56	7.00	0	6.08	6.48	6.08	7.81	7.21	7.68	5.48	7.35	7.28	7.14	6.86	8.00	6.63	6.78	7.62	7.14	7.28	7.68	7.28	7.55	7.07	7.21	7.28	7.75	7.48	7.62	8.25	8.19	8.06	7.81	8.60	7.62	7.94
L38	6.48	5.83	4.90	7.14	5.66	5.83	6.08	6.56	5.20	5.92	6.24	6.16	5.48	6.08	0	5.20	4.24	5.83	5.39	6.48	4.36	5.39	5.66	5.66	6.32	6.24	5.00	4.58	6.40	6.00	6.00	6.63	6.16	5.83	5.20	6.40	6.32	6.86	6.56	7.00	7.81	7.35	7.21	7.21	7.94	7.00	7.07
L39	6.24	6.71	6.86	7.21	7.14	6.56	6.32	6.63	6.00	6.63	6.32	6.24	7.14	6.48	5.20	0	6.56	6.71	6.00	6.86	6.48	6.32	6.56	7.00	7.00	7.35	6.16	5.66	7.21	6.40	6.56	6.86	6.71	6.71	6.93	7.21	7.42	7.87	7.48	7.75	8.25	8.19	8.19	7.94	8.37	7.62	7.94
L70	6.63	6.48	4.90	7.14	5.66	6.78	6.24	6.71	5.92	6.56	7.14	6.63	5.48	6.08	4.24	6.56	0	6.63	5.92	7.21	5.00	5.92	6.48	6.48	6.78	6.86	5.39	5.74	6.71	6.63	6.63	6.93	6.63	6.32	5.92	6.71	6.48	7.00	6.71	7.14	7.81	7.48	7.48	7.21	8.06	7.28	7.21
L73	7.35	6.93	6.16	7.55	7.07	6.16	7.00	7.55	6.56	7.14	7.14	7.07	6.16	7.81	5.83	6.71	6.63	0	5.74	5.48	7.14	5.20	6.00	6.32	7.48	6.71	5.39	5.57	5.92	7.07	6.63	7.07	7.07	6.32	6.86	6.71	6.78	7.42	7.42	7.55	7.94	8.00	7.62	7.62	8.19	7.42	7.48
L76	6.56	7.00	6.24	7.07	7.00	6.40	6.93	7.07	6.16	6.78	7.62	7.00	6.56	7.21	5.39	6.00	5.92	5.74	0	5.74	6.63	5.48	5.92	7.00	7.68	7.48	6.00	5.83	6.16	7.00	6.86	7.14	7.28	6.56	6.93	6.63	6.86	7.35	7.07	7.35	7.62	8.06	7.81	7.28	8.00	6.78	7.14
L77	7.35	7.07	6.32	7.00	7.75	5.83	7.42	7.42	6.86	7.14	7.14	7.07	7.07	7.68	6.48	6.86	7.21	5.48	5.74	0	7.14	5.74	5.83	7.35	8.00	7.28	6.56	6.24	6.24	7.75	7.75	8.12	7.87	7.75	7.42	6.56	6.63	7.28	7.42	7.28	8.43	8.12	7.48	7.48	8.31	7.81	7.35
L91	6.71	6.56	4.80	7.07	5.92	6.24	6.63	6.48	6.16	6.63	6.48	6.56	6.08	5.48	4.36	6.48	5.00	7.14	6.63	7.14	0	6.93	6.71	6.56	6.71	6.93	6.00	5.83	6.78	6.71	6.24	7.28	6.56	6.71	6.00	6.48	6.56	7.07	6.78	7.21	8.00	7.42	7.42	7.28	8.12	7.07	7.28
L92	6.71	7.00	6.24	7.35	6.86	6.08	6.48	7.07	6.32	6.78	6.93	7.00	6.08	7.35	5.39	6.32	5.92	5.20	5.48	5.74	6.93	0	5.57	6.56	7.42	7.07	5.48	5.48	6.00	6.40	7.00	7.14	7.28	6.40	6.78	6.78	6.71	7.35	7.07	7.48	7.75	8.06	7.68	7.42	8.25	7.21	7.28
L93	7.07	6.93	6.48	7.00	7.21	6.63	6.08	7.14	6.71	6.86	6.56	5.83	6.93	7.28	5.66	6.56	6.48	6.00	5.92	5.83	6.71	5.57	0	6.63	7.21	6.86	5.92	5.92	6.56	6.78	7.07	7.21	6.93	6.93	6.71	7.28	7.21	7.81	7.68	7.28	7.94	8.00	8.25	8.00	8.31	7.68	7.75
M30	6.48	5.66	6.00	7.28	6.32	6.63	6.08	7.28	5.92	6.08	6.56	6.48	6.63	7.14	5.66	7.00	6.48	6.32	7.00	7.35	6.56	6.56	6.63	0	6.00	6.24	5.00	5.39	6.24	5.83	5.83	6.48	5.48	5.10	5.92	7.14	7.21	7.81	7.68	7.55	8.19	8.37	7.87	7.75	8.66	7.55	7.75
M31	6.63	5.48	6.48	7.68	6.78	7.48	6.71	7.42	6.24	5.92	6.24	6.00	7.07	6.86	6.32	7.00	6.78	7.48	7.68	8.00	6.71	7.42	7.21	6.00	0	6.86	6.08	5.92	7.42	6.16	6.48	7.21	5.66	6.48	5.57	7.14	7.21	7.94	7.55	7.68	8.43	8.25	8.00	7.87	8.66	7.81	7.87
M32	7.14	6.24	6.40	7.62	6.86	7.42	6.93	7.87	7.07	6.93	7.21	7.00	6.71	8.00	6.24	7.35	6.86	6.71	7.48	7.28	6.93	7.07	6.86	6.24	6.86	0	6.00	5.83	6.63	7.55	6.86	7.81	7.00	6.86	6.48	7.35	7.14	8.00	7.87	7.87	8.72	8.31	8.19	8.19	8.94	8.12	7.94
M33	6.08	5.57	4.80	6.48	6.08	5.74	5.66	6.48	5.10	5.66	6.63	5.74	5.74	6.63	5.00	6.16	5.39	5.39	6.00	6.56	6.00	5.48	5.92	5.00	6.08	6.00	0	4.47	5.29	5.57	5.92	6.08	5.92	5.39	5.83	6.00	5.92	6.48	6.32	6.78	7.35	7.42	7.00	6.86	7.62	6.78	6.71
M34	5.57	5.74	5.74	6.78	6.40	6.08	6.00	6.63	5.48	6.00	6.48	5.74	6.24	6.78	4.58	5.66	5.74	5.57	5.83	6.24	5.83	5.48	5.92	5.39	5.92	5.83	4.47	0	5.66	5.92	5.39	6.08	5.57	6.24	5.48	5.83	5.92	6.78	6.32	6.93	7.48	7.14	6.86	6.71	7.48	6.78	6.56
M35	7.28	7.28	6.08	7.48	7.42	6.24	6.93	7.21	6.78	7.35	6.93	6.86	6.86	7.62	6.40	7.21	6.71	5.92	6.16	6.24	6.78	6.00	6.56	6.24	7.42	6.63	5.29	5.66	0	7.42	7.00	7.00	7.28	6.40	7.21	6.63	6.56	7.07	6.78	7.21	7.35	7.81	7.42	7.14	8.25	7.21	7.28
M54	4.90	6.63	6.32	6.08	6.48	6.63	6.08	7.28	5.74	5.74	7.28	6.78	7.07	7.14	6.00	6.40	6.63	7.07	7.00	7.75	6.71	6.40	6.78	5.83	6.16	7.55	5.57	5.92	7.42	0	4.69	5.48	4.90	5.29	5.39	7.14	7.35	7.81	7.55	7.55	7.81	8.49	8.00	7.87	8.31	7.81	7.87
M55	5.10	6.48	6.48	6.40	6.16	6.93	6.08	7.00	6.24	6.08	7.14	6.78	6.93	7.28	6.00	6.56	6.63	6.63	6.86	7.75	6.24	7.00	7.07	5.83	6.48	6.86	5.92	5.39	7.00	4.69	0	5.83	4.90	5.10	5.39	7.14	7.35	7.94	7.55	7.68	7.94	8.49	8.12	8.00	8.31	7.68	7.87
M56	6.00	7.48	7.07	7.28	7.48	7.35	6.08	7.68	6.08	7.00	7.55	6.48	7.62	7.68	6.63	6.86	6.93	7.07	7.14	8.12	7.28	7.14	7.21	6.48	7.21	7.81	6.08	6.08	7.00	5.48	5.83	0	5.83	5.48	6.56	7.28	7.48	7.94	7.68	7.68	7.81	8.72	8.25	8.00	8.54	7.94	8.00
M57	5.48	6.16	6.63	6.71	6.63	7.21	6.40	7.42	5.74	5.92	6.71	6.32	7.07	7.28	6.16	6.71	6.63	7.07	7.28	7.87	6.56	7.28	6.93	5.48	5.66	7.00	5.92	5.57	7.28	4.90	4.90	5.83	0	5.83	5.00	7.00	7.21	8.06	7.68	7.55	7.81	8.37	8.12	7.75	8.31	7.68	7.75
M58	5.83	6.48	6.16	7.00	6.00	6.48	5.57	7.00	5.39	5.92	6.71	6.78	6.63	7.55	5.83	6.71	6.32	6.32	6.56	7.75	6.71	6.40	6.93	5.10	6.48	6.86	5.39	6.24	6.40	5.29	5.10	5.48	5.83	0	5.92	7.42	7.48	7.94	7.68	7.55	7.81	8.72	8.25	7.87	8.54	7.68	7.87
M59	5.92	5.00	5.39	6.63	5.92	6.71	6.63	7.48	5.83	5.29	6.48	6.08	6.08	7.07	5.20	6.93	5.92	6.86	6.93	7.42	6.00	6.78	6.71	5.92	5.57	6.48	5.83	5.48	7.21	5.39	5.39	6.56	5.00	5.92	0	6.78	6.71	7.48	7.21	7.21	8.00	7.94	7.55	7.55	8.25	7.62	7.42
N12	7.00	7.00	5.92	7.35	7.42	6.24	7.75	7.62	6.63	7.21	7.48	7.00	7.00	7.21	6.40	7.21	6.71	6.71	6.63	6.56	6.48	6.78	7.28	7.14	7.14	7.35	6.00	5.83	6.63	7.14	7.14	7.28	7.00	7.42	6.78	0	3.87	6.00	5.83	5.83	6.93	7.14	6.08	5.00	6.16	4.90	4.58
N13	7.21	7.07	5.66	7.42	7.35	6.63	7.68	7.81	6.86	7.42	7.42	7.07	6.93	7.28	6.32	7.42	6.48	6.78	6.86	6.63	6.56	6.71	7.21	7.21	7.21	7.14	5.92	5.92	6.56	7.35	7.35	7.48	7.21	7.48	6.71	3.87	0	5.74	5.57	6.08	7.14	7.21	6.48	5.66	7.00	6.08	4.69
N15	7.81	7.68	6.40	8.00	7.68	7.00	8.00	8.00	7.21	7.75	8.12	7.42	7.55	7.75	6.86	7.87	7.00	7.42	7.35	7.28	7.07	7.35	7.81	7.81	7.94	8.00	6.48	6.78	7.07	7.81	7.94	7.94	8.06	7.94	7.48	6.00	5.74	0	5.10	5.83	6.48	6.56	5.20	6.40	7.07	6.48	6.40
N16	7.55	7.42	6.40	7.87	7.55	7.00	8.00	7.87	7.07	7.62	7.75	7.42	7.14	7.48	6.56	7.48	6.71	7.42	7.07	7.42	6.78	7.07	7.68	7.68	7.55	7.87	6.32	6.32	6.78	7.55	7.55	7.68	7.68	7.68	7.21	5.83	5.57	5.10	0	6.32	6.32	6.71	5.57	6.08	7.07	6.63	6.08
N17	7.42	7.55	6.71	7.48	7.68	7.00	7.87	8.00	7.07	7.48	7.87	7.42	7.68	7.62	7.00	7.75	7.14	7.55	7.35	7.28	7.21	7.48	7.28	7.55	7.68	7.87	6.78	6.93	7.21	7.55	7.68	7.68	7.55	7.55	7.21	5.83	6.08	5.83	6.32	0	5.66	6.71	5.92	6.24	6.78	6.48	6.56
N51	7.81	8.43	7.55	7.87	8.31	7.81	8.12	8.49	7.87	8.25	8.37	7.81	8.19	8.25	7.81	8.25	7.81	7.94	7.62	8.43	8.00	7.75	7.94	8.19	8.43	8.72	7.35	7.48	7.35	7.81	7.94	7.81	7.81	7.81	8.00	6.93	7.14	6.48	6.32	5.66	0	6.86	7.14	6.08	6.00	6.48	6.56
N52	8.37	8.37	7.48	8.43	8.37	8.12	8.31	8.31	8.19	8.43	8.43	7.87	8.37	8.19	7.35	8.19	7.48	8.00	8.06	8.12	7.42	8.06	8.00	8.37	8.25	8.31	7.42	7.14	7.81	8.49	8.49	8.72	8.37	8.72	7.94	7.14	7.21	6.56	6.71	6.71	6.86	0	6.78	7.21	7.14	7.42	7.48
N53	8.00	7.87	6.93	8.06	8.00	7.21	8.43	8.31	7.42	7.94	8.19	7.75	7.87	8.06	7.21	8.19	7.48	7.62	7.81	7.48	7.42	7.68	8.25	7.87	8.00	8.19	7.00	6.86	7.42	8.00	8.12	8.25	8.12	8.25	7.55	6.08	6.48	5.20	5.57	5.92	7.14	6.78	0	6.48	7.42	7.28	7.21
N86	7.75	7.75	6.93	8.06	8.00	7.07	8.31	8.06	7.28	7.81	8.19	7.62	7.75	7.81	7.21	7.94	7.21	7.62	7.28	7.48	7.28	7.42	8.00	7.75	7.87	8.19	6.86	6.71	7.14	7.87	8.00	8.00	7.75	7.87	7.55	5.00	5.66	6.40	6.08	6.24	6.08	7.21	6.48	0	5.20	5.57	4.69
N87	8.31	8.43	7.81	8.49	8.43	7.94	8.60	8.25	8.25	8.49	8.94	8.31	8.54	8.60	7.94	8.37	8.06	8.19	8.00	8.31	8.12	8.25	8.31	8.66	8.66	8.94	7.62	7.48	8.25	8.31	8.31	8.54	8.31	8.54	8.25	6.16	7.00	7.07	7.07	6.78	6.00	7.14	7.42	5.20	0	6.16	5.92
N88	7.55	7.81	7.00	8.00	7.81	7.00	8.12	7.62	7.48	7.75	8.00	7.81	7.68	7.62	7.00	7.62	7.28	7.42	6.78	7.81	7.07	7.21	7.68	7.55	7.81	8.12	6.78	6.78	7.21	7.81	7.68	7.94	7.68	7.68	7.62	4.90	6.08	6.48	6.63	6.48	6.48	7.42	7.28	5.57	6.16	0	5.74
N90	7.75	7.62	6.63	8.06	8.00	7.21	8.31	8.31	7.42	7.94	8.06	7.75	7.48	7.94	7.07	7.94	7.21	7.48	7.14	7.35	7.28	7.28	7.75	7.75	7.87	7.94	6.71	6.56	7.28	7.87	7.87	8.00	7.75	7.87	7.42	4.58	4.69	6.40	6.08	6.56	6.56	7.48	7.21	4.69	5.92	5.74	0
