bray_curtis_binary	H60	M54	M55	M57	M58	M30	H67	H68	M56	M59	H61	H94	H95	H96	H79	M33	H63	M31	L38	L70	L91	M34	L73	L92	L77	L93	L76	L39	H64	L36	H62	L37	M35	M32	H66	N12	N13	N88	N17	N51	N86	N90	N87	N15	N53	N16	N52
H61	0.556	0.629	0.568	0.543	0.568	0.432	0.544	0.639	0.757	0.385	0	0.324	0.467	0.514	0.477	0.544	0.671	0.417	0.567	0.636	0.683	0.559	0.667	0.690	0.676	0.632	0.690	0.634	0.583	0.600	0.607	0.690	0.746	0.506	0.750	0.925	0.926	0.859	0.851	0.947	0.909	0.906	0.922	0.881	0.886	0.902	0.875
H94	0.425	0.465	0.493	0.493	0.467	0.493	0.550	0.643	0.653	0.424	0.324	0	0.632	0.577	0.394	0.552	0.541	0.479	0.574	0.642	0.688	0.600	0.699	0.639	0.680	0.610	0.639	0.611	0.507	0.634	0.684	0.694	0.750	0.615	0.723	0.963	1.000	0.833	0.824	0.895	0.910	0.969	0.923	0.882	0.887	0.935	0.877
H95	0.662	0.707	0.646	0.600	0.570	0.544	0.405	0.500	0.722	0.600	0.467	0.632	0	0.387	0.629	0.710	0.718	0.506	0.600	0.718	0.618	0.656	0.662	0.632	0.646	0.531	0.763	0.526	0.636	0.680	0.672	0.579	0.632	0.634	0.594	0.966	0.932	0.842	0.861	0.875	0.944	0.942	0.976	0.917	0.893	0.909	0.835
H96	0.639	0.657	0.622	0.571	0.622	0.568	0.392	0.566	0.568	0.569	0.514	0.577	0.387	0	0.600	0.579	0.644	0.500	0.633	0.667	0.683	0.559	0.694	0.690	0.676	0.447	0.690	0.549	0.722	0.743	0.607	0.606	0.662	0.636	0.781	0.925	0.926	0.859	0.821	0.813	0.879	0.938	0.896	0.821	0.857	0.902	0.775
H79	0.433	0.508	0.565	0.508	0.420	0.507	0.541	0.641	0.536	0.567	0.477	0.394	0.629	0.600	0	0.500	0.618	0.582	0.491	0.574	0.655	0.556	0.642	0.606	0.681	0.634	0.576	0.545	0.612	0.723	0.686	0.727	0.697	0.694	0.627	0.917	0.959	0.848	0.806	0.886	0.869	0.932	0.944	0.839	0.846	0.893	0.893
M33	0.627	0.544	0.574	0.614	0.475	0.410	0.485	0.600	0.607	0.654	0.544	0.552	0.710	0.579	0.500	0	0.700	0.627	0.532	0.547	0.720	0.435	0.492	0.517	0.705	0.556	0.621	0.655	0.627	0.579	0.535	0.759	0.483	0.563	0.647	0.900	0.854	0.793	0.852	0.871	0.887	0.882	0.906	0.778	0.860	0.833	0.821
H63	0.413	0.507	0.532	0.616	0.636	0.688	0.585	0.628	0.688	0.647	0.671	0.541	0.718	0.644	0.618	0.700	0	0.787	0.810	0.739	0.758	0.742	0.760	0.730	0.636	0.620	0.676	0.703	0.707	0.808	0.695	0.730	0.757	0.725	0.701	0.964	0.965	0.865	0.800	0.795	0.942	0.970	0.900	0.914	0.890	0.969	0.855
M31	0.595	0.528	0.553	0.444	0.553	0.474	0.556	0.647	0.684	0.463	0.417	0.479	0.506	0.500	0.582	0.627	0.787	0	0.645	0.676	0.692	0.574	0.757	0.753	0.842	0.667	0.808	0.671	0.622	0.694	0.724	0.644	0.753	0.595	0.848	0.927	0.929	0.836	0.855	0.922	0.912	0.939	0.949	0.913	0.889	0.905	0.829
L38	0.677	0.600	0.563	0.633	0.531	0.500	0.536	0.589	0.688	0.491	0.567	0.574	0.600	0.633	0.491	0.532	0.810	0.645	0	0.321	0.358	0.429	0.548	0.475	0.656	0.485	0.475	0.443	0.516	0.500	0.522	0.607	0.672	0.582	0.630	0.953	0.909	0.803	0.860	0.938	0.929	0.926	0.940	0.825	0.867	0.843	0.771
L70	0.647	0.667	0.629	0.667	0.571	0.600	0.520	0.570	0.686	0.574	0.636	0.642	0.718	0.667	0.574	0.547	0.739	0.676	0.321	0	0.424	0.600	0.647	0.522	0.743	0.583	0.522	0.642	0.471	0.455	0.462	0.552	0.672	0.644	0.767	0.918	0.840	0.791	0.810	0.859	0.839	0.867	0.890	0.778	0.848	0.789	0.737
L91	0.692	0.714	0.582	0.683	0.672	0.642	0.611	0.553	0.791	0.621	0.683	0.688	0.618	0.683	0.655	0.720	0.758	0.692	0.358	0.424	0	0.654	0.785	0.750	0.761	0.652	0.688	0.656	0.538	0.587	0.469	0.469	0.719	0.686	0.684	0.913	0.915	0.781	0.867	0.941	0.898	0.930	0.943	0.833	0.873	0.852	0.753
M34	0.508	0.593	0.460	0.525	0.619	0.460	0.529	0.611	0.587	0.556	0.559	0.600	0.656	0.559	0.556	0.435	0.742	0.574	0.429	0.600	0.654	0	0.508	0.500	0.619	0.538	0.567	0.533	0.672	0.661	0.733	0.767	0.533	0.515	0.698	0.810	0.814	0.767	0.857	0.875	0.818	0.811	0.848	0.821	0.797	0.800	0.739
L73	0.730	0.694	0.579	0.694	0.526	0.526	0.605	0.671	0.658	0.701	0.667	0.699	0.662	0.694	0.642	0.492	0.760	0.757	0.548	0.647	0.785	0.508	0	0.370	0.395	0.462	0.452	0.616	0.676	0.528	0.655	0.836	0.479	0.570	0.576	0.818	0.821	0.753	0.826	0.818	0.853	0.848	0.848	0.797	0.806	0.873	0.780
L92	0.616	0.577	0.653	0.746	0.547	0.573	0.525	0.595	0.680	0.697	0.690	0.639	0.632	0.690	0.606	0.517	0.730	0.753	0.475	0.522	0.750	0.500	0.370	0	0.440	0.403	0.417	0.556	0.644	0.521	0.684	0.750	0.500	0.641	0.569	0.852	0.818	0.722	0.824	0.789	0.821	0.815	0.872	0.794	0.831	0.806	0.802
L77	0.711	0.811	0.769	0.838	0.769	0.692	0.663	0.632	0.846	0.797	0.676	0.680	0.646	0.676	0.681	0.705	0.636	0.842	0.656	0.743	0.761	0.619	0.395	0.440	0	0.425	0.440	0.627	0.789	0.676	0.667	0.787	0.520	0.654	0.500	0.754	0.759	0.813	0.746	0.899	0.800	0.794	0.852	0.746	0.757	0.846	0.786
L93	0.641	0.605	0.625	0.632	0.600	0.550	0.435	0.573	0.650	0.634	0.632	0.610	0.531	0.447	0.634	0.556	0.620	0.667	0.485	0.583	0.652	0.538	0.462	0.403	0.425	0	0.455	0.558	0.667	0.632	0.677	0.688	0.558	0.566	0.629	0.898	0.867	0.766	0.726	0.778	0.889	0.857	0.831	0.836	0.895	0.881	0.744
L76	0.589	0.690	0.627	0.746	0.573	0.653	0.600	0.595	0.680	0.727	0.690	0.639	0.763	0.690	0.576	0.621	0.676	0.808	0.475	0.522	0.688	0.567	0.452	0.417	0.440	0.455	0	0.500	0.671	0.606	0.684	0.722	0.528	0.718	0.631	0.815	0.855	0.639	0.794	0.763	0.791	0.785	0.821	0.794	0.859	0.806	0.802
L39	0.534	0.577	0.573	0.634	0.600	0.653	0.500	0.524	0.627	0.727	0.634	0.611	0.526	0.549	0.545	0.655	0.703	0.671	0.443	0.642	0.656	0.533	0.616	0.556	0.627	0.558	0.500	0	0.699	0.718	0.825	0.583	0.722	0.692	0.662	0.963	1.000	0.806	0.882	0.895	0.940	0.969	0.897	0.912	0.944	0.903	0.827
H64	0.568	0.583	0.500	0.611	0.474	0.526	0.506	0.576	0.737	0.522	0.583	0.507	0.636	0.722	0.612	0.627	0.707	0.622	0.516	0.471	0.538	0.672	0.676	0.644	0.789	0.667	0.671	0.699	0	0.306	0.552	0.616	0.753	0.595	0.636	1.000	0.964	0.836	0.855	0.896	0.941	0.970	0.899	0.855	0.889	0.905	0.854
L36	0.750	0.714	0.649	0.714	0.595	0.595	0.646	0.711	0.784	0.569	0.600	0.634	0.680	0.743	0.723	0.579	0.808	0.694	0.500	0.455	0.587	0.661	0.528	0.521	0.676	0.632	0.606	0.718	0.306	0	0.464	0.690	0.662	0.584	0.656	0.925	0.889	0.831	0.881	0.893	0.909	0.875	0.948	0.851	0.886	0.836	0.875
H62	0.793	0.714	0.700	0.786	0.633	0.600	0.692	0.710	0.833	0.569	0.607	0.684	0.672	0.607	0.686	0.535	0.695	0.724	0.522	0.462	0.469	0.733	0.655	0.684	0.667	0.677	0.684	0.825	0.552	0.464	0	0.649	0.649	0.651	0.680	0.897	0.800	0.860	0.849	0.934	0.923	0.880	0.968	0.774	0.857	0.872	0.848
L37	0.726	0.718	0.707	0.746	0.760	0.680	0.575	0.571	0.787	0.758	0.690	0.694	0.579	0.606	0.727	0.759	0.730	0.644	0.607	0.552	0.469	0.767	0.836	0.750	0.787	0.688	0.722	0.583	0.616	0.690	0.649	0	0.806	0.821	0.785	0.963	0.964	0.806	0.853	0.895	0.910	0.969	0.949	0.882	0.915	0.903	0.827
M35	0.726	0.775	0.653	0.746	0.547	0.520	0.600	0.619	0.653	0.788	0.746	0.750	0.632	0.662	0.697	0.483	0.757	0.753	0.672	0.672	0.719	0.533	0.479	0.500	0.520	0.558	0.528	0.722	0.753	0.662	0.649	0.806	0	0.564	0.600	0.815	0.782	0.722	0.765	0.711	0.761	0.815	0.872	0.735	0.775	0.742	0.753
M32	0.646	0.740	0.580	0.636	0.580	0.481	0.558	0.689	0.753	0.583	0.506	0.615	0.634	0.636	0.694	0.563	0.725	0.595	0.582	0.644	0.686	0.515	0.570	0.641	0.654	0.566	0.718	0.692	0.595	0.584	0.651	0.821	0.564	0	0.775	0.900	0.836	0.846	0.838	0.927	0.918	0.887	0.952	0.865	0.870	0.912	0.793
H66	0.667	0.688	0.706	0.813	0.618	0.647	0.589	0.506	0.794	0.763	0.750	0.723	0.594	0.781	0.627	0.647	0.701	0.848	0.630	0.767	0.684	0.698	0.576	0.569	0.500	0.629	0.631	0.662	0.636	0.656	0.680	0.785	0.600	0.775	0	0.830	0.917	0.754	0.803	0.884	0.833	0.897	0.887	0.803	0.813	0.891	0.892
N12	0.891	0.962	0.895	0.925	0.965	0.895	0.968	0.879	0.930	0.958	0.925	0.963	0.966	0.925	0.917	0.900	0.964	0.927	0.953	0.918	0.913	0.810	0.818	0.852	0.754	0.898	0.815	0.963	1.000	0.925	0.897	0.963	0.815	0.900	0.830	0	0.405	0.444	0.680	0.828	0.510	0.447	0.633	0.720	0.698	0.773	0.810
N13	0.929	1.000	0.931	0.963	0.966	0.897	0.937	0.910	0.966	0.918	0.926	1.000	0.932	0.926	0.959	0.854	0.965	0.929	0.909	0.840	0.915	0.814	0.821	0.818	0.759	0.867	0.855	1.000	0.964	0.889	0.800	0.964	0.782	0.836	0.917	0.405	0	0.673	0.725	0.864	0.640	0.458	0.803	0.647	0.778	0.689	0.813
N88	0.781	0.859	0.787	0.831	0.787	0.760	0.825	0.690	0.840	0.879	0.859	0.833	0.842	0.859	0.848	0.793	0.865	0.836	0.803	0.791	0.781	0.767	0.753	0.722	0.813	0.766	0.639	0.806	0.836	0.831	0.860	0.806	0.722	0.846	0.754	0.444	0.673	0	0.618	0.553	0.463	0.508	0.487	0.618	0.746	0.710	0.679
N17	0.797	0.851	0.831	0.851	0.803	0.803	0.816	0.800	0.831	0.839	0.851	0.824	0.861	0.821	0.806	0.852	0.800	0.855	0.860	0.810	0.867	0.857	0.826	0.824	0.746	0.726	0.794	0.882	0.855	0.881	0.849	0.853	0.765	0.838	0.803	0.680	0.725	0.618	0	0.444	0.619	0.705	0.622	0.531	0.522	0.690	0.584
N51	0.792	0.813	0.797	0.813	0.772	0.848	0.786	0.818	0.772	0.914	0.947	0.895	0.875	0.813	0.886	0.871	0.795	0.922	0.938	0.859	0.941	0.875	0.818	0.789	0.899	0.778	0.763	0.895	0.896	0.893	0.934	0.895	0.711	0.927	0.884	0.828	0.864	0.553	0.444	0	0.521	0.623	0.439	0.583	0.680	0.606	0.553
N86	0.882	0.939	0.914	0.909	0.886	0.857	0.920	0.823	0.914	0.934	0.909	0.910	0.944	0.879	0.869	0.887	0.942	0.912	0.929	0.839	0.898	0.818	0.853	0.821	0.800	0.889	0.791	0.940	0.941	0.909	0.923	0.910	0.761	0.918	0.833	0.510	0.640	0.463	0.619	0.521	0	0.367	0.370	0.651	0.636	0.649	0.684
N90	0.909	0.969	0.912	0.938	0.912	0.882	0.945	0.896	0.941	0.932	0.906	0.969	0.942	0.938	0.932	0.882	0.970	0.939	0.926	0.867	0.930	0.811	0.848	0.815	0.794	0.857	0.785	0.969	0.970	0.875	0.880	0.969	0.815	0.887	0.897	0.447	0.458	0.508	0.705	0.623	0.367	0	0.493	0.672	0.813	0.673	0.757
N87	0.873	0.896	0.852	0.896	0.901	0.926	0.860	0.756	0.901	0.944	0.922	0.923	0.976	0.896	0.944	0.906	0.900	0.949	0.940	0.890	0.943	0.848	0.848	0.872	0.852	0.831	0.821	0.897	0.899	0.948	0.968	0.949	0.872	0.952	0.887	0.633	0.803	0.487	0.622	0.439	0.370	0.493	0	0.676	0.714	0.735	0.586
N15	0.884	0.910	0.887	0.970	0.887	0.859	0.842	0.800	0.887	0.903	0.881	0.882	0.917	0.821	0.839	0.778	0.914	0.913	0.825	0.778	0.833	0.821	0.797	0.794	0.746	0.836	0.794	0.912	0.855	0.851	0.774	0.882	0.735	0.865	0.803	0.720	0.647	0.618	0.531	0.583	0.651	0.672	0.676	0	0.403	0.448	0.558
N53	0.889	0.914	0.892	0.943	0.919	0.838	0.899	0.831	0.919	0.877	0.886	0.887	0.893	0.857	0.846	0.860	0.890	0.889	0.867	0.848	0.873	0.797	0.806	0.831	0.757	0.895	0.859	0.944	0.889	0.886	0.857	0.915	0.775	0.870	0.813	0.698	0.778	0.746	0.522	0.680	0.636	0.813	0.714	0.403	0	0.508	0.575
N16	0.905	0.934	0.877	0.967	0.908	0.908	0.914	0.838	0.908	0.929	0.902	0.935	0.909	0.902	0.893	0.833	0.969	0.905	0.843	0.789	0.852	0.800	0.873	0.806	0.846	0.881	0.806	0.903	0.905	0.836	0.872	0.903	0.742	0.912	0.891	0.773	0.689	0.710	0.690	0.606	0.649	0.673	0.735	0.448	0.508	0	0.634
N52	0.854	0.900	0.857	0.875	0.905	0.833	0.775	0.742	0.905	0.840	0.875	0.877	0.835	0.775	0.893	0.821	0.855	0.829	0.771	0.737	0.753	0.739	0.780	0.802	0.786	0.744	0.802	0.827	0.854	0.875	0.848	0.827	0.753	0.793	0.892	0.810	0.813	0.679	0.584	0.553	0.684	0.757	0.586	0.558	0.575	0.634	0
