function	description	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	33480.960000000014	25004.91	24568.620000000006	27880.38000000001	25807.42000000001	21377.91	28616.159999999985	26510.790000000005	28357.23000000001	30727.230000000003	19079.899999999994	27776.379999999994	25334.019999999997	28402.41	27606.84000000001	28149.51	24608.01	20256.15	28434.810000000016	21993.55	28653.12000000001	25725.070000000003	25105.92	26649.61	30302.67	27280.10000000001	25374.62000000001	22369.19000000001	25532.01000000001	31901.640000000014	31105.040000000008	32117.78000000001	31739.220000000005	27651.76	24780.45	29697.76000000001	28887.450000000008	27441.76	20874.379999999994	20252.259999999995	31471.17000000001	23698.999999999996	15026.57	26194.810000000005	35379.93	32021.05	25773.450000000004
K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	37272.62000000002	27280.29	25354.310000000005	33725.69	32101.86000000002	27757.360000000004	33794.7	33082.91000000002	30009.55000000001	33493.17	22145.35000000001	31997.660000000014	24845.64999999999	33684.110000000015	31850.450000000015	30571.000000000004	28283.19000000001	22040.14	32948.69	24837.160000000003	32473.11000000001	27603.26	27143.43000000001	30115.6	33107.8	28355.85000000001	25109.820000000014	24184.920000000016	28322.54	36017.59000000001	36100.830000000016	36788.750000000015	35591.08	32830.900000000016	27558.91000000001	31930.98	31354.07000000001	30808.960000000006	28503.86	23103.40999999999	37442.97	27126.57	17191.15	32989.67	40688.16000000002	36772.4	30478.280000000013
K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]	66999.96000000004	47482.43	41128.62000000002	56430.29	54170.52000000002	44083.69000000001	56269.24	55189.70000000002	53775.29000000001	60976.42000000001	35360.64000000001	51799.13000000001	44557.12999999999	56543.19000000001	54675.81000000002	52544.27000000002	44802.35000000001	36612.12999999998	58801.19000000001	40749.27000000002	56117.61000000001	49659.38000000003	45305.55000000001	49377.62999999999	60561.61000000001	47944.77	41383.24000000002	37874.96000000002	46246.92000000002	62784.34000000001	63487.88000000001	64411.67000000003	63453.38	56349.52	49032.59	46897.60000000001	42072.13000000002	45981.21000000001	38729.09	36582.53999999999	66476.40999999997	45506.16	25405.18	56337.67999999999	76236.71999999999	66534.90999999999	46395.51000000001
K00015	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]	789.5	627.5	227.0	220.5	214.0	385.0	378.5	570.0	1061.0	233.5	526.5	300.5	100.0	483.5	353.0	685.5	355.0	398.5	354.0	382.0	342.5	427.5	293.0	410.5	403.5	350.5	251.5	175.5	414.0	410.5	490.0	761.0	638.5	478.0	413.5	295.5	215.5	339.5	244.5	368.0	452.0	561.5	172.0	279.5	438.5	298.5	364.5
K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	27014.690000000013	21693.640000000007	18313.42	24120.12000000001	29511.18000000001	25121.86	28688.81	28506.910000000014	22037.43000000001	24539.680000000004	20564.19	24725.50000000001	23649.77999999999	28890.400000000005	26997.840000000004	27585.830000000005	19005.03	18506.64	22833.660000000003	19149.1	26886.480000000003	24126.989999999994	22775.220000000005	24627.19999999999	26392.349999999995	24463.95	17341.73	15196.95	23405.14	30421.61000000001	29968.86000000001	28577.370000000006	30249.939999999995	26554.490000000005	24086.840000000004	23555.28	25689.27000000001	27421.14000000001	26294.75	19696.58	32244.270000000004	23326.009999999995	15484.63	25651.040000000008	27932.50000000001	28006.839999999997	23931.92
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	37388.13000000001	24318.36	20097.7	30977.96000000001	30270.850000000013	25915.18	33188.38	31284.17000000001	31412.96000000001	32191.300000000007	21520.95	27752.06000000001	24457.09999999999	30361.34000000001	25768.78000000001	27478.82000000001	25865.09000000001	21082.520000000004	31609.34	23967.63000000001	28008.56000000001	26059.71000000001	25629.24000000001	27420.27	30412.26	27177.51	22771.200000000008	16321.48	27428.5	34850.03000000001	35096.330000000016	38800.44	35267.5	32950.11	25060.28	17247.110000000004	13094.02	22532.609999999993	17985.629999999994	19645.65	36670.17	23300.669999999995	12696.909999999998	28401.00000000001	38455.81000000001	31363.139999999985	21047.57
K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	123.29	158.7	241.92	176.6	121.21	190.79999999999995	82.47	112.45000000000002	62.78	59.67	112.17	100.64	61.03	82.45	108.2	183.84	108.76	120.96	128.7	165.38	68.35	104.77	132.95000000000002	158.11	111.23	117.74	165.34	147.69	91.01	67.71999999999998	66.38999999999999	82.17000000000002	58.55	74.34	111.22	125.92	86.87	106.02	97.16	93.55	53.78	70.75	84.26	60.78	32.44	60.23	104.68
K00020	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	5236.940000000001	5471.55	8657.73	3831.67	10296.359999999997	5651.6799999999985	7408.44	8304.15	4624.83	4720.660000000002	5961.170000000001	6830.17	9332.6	10511.47	10342.999999999998	9504.55	6903.68	4451.99	8961.2	4170.0	12914.63	9730.22	7213.84	7665.56	6633.920000000001	6838.77	6764.63	3612.39	5126.72	6660.9299999999985	5153.91	3993.88	7073.969999999998	5795.17	6248.189999999999	3620.279999999999	2490.74	5330.09	6647.540000000001	7063.35	6070.26	8621.33	4835.68	3303.23	5238.959999999999	4639.230000000001	3894.63
K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0.0	0.0	1.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0
K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]	100.83	120.92	226.0	156.32999999999996	80.33	158.12	81.12	106.95	62.0	57.29	112.25	109.17	51.25	81.62	83.33	151.45	86.17	101.21	107.29	152.45	40.33	67.94999999999999	86.83	111.67	85.62	72.0	129.32999999999998	124.25	38.0	41.71	56.08	69.12	51.67	65.58	104.0	128.57999999999998	74.0	396.95	597.6700000000002	741.08	291.5	1169.0	396.33	75.12	35.12	54.83	113.42
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	1889.67	4645.48	8359.170000000002	3741.8	2857.62	3781.26	3551.36	2643.5099999999993	3775.2500000000014	2593.24	3959.5	4447.75	7437.26	2131.42	3168.4999999999995	1772.1999999999996	4785.3499999999985	5096.97	2419.8	5522.089999999998	4660.999999999999	4115.9299999999985	4009.83	4860.97	4783.91	8207.52	8803.199999999999	8737.82	4772.86	2062.3600000000006	2185.15	1337.8599999999994	2615.44	2839.78	3868.2300000000014	6301.43	5672.47	3648.54	2972.67	2939.0399999999995	1631.2	2187.57	2853.34	2588.2699999999995	1062.94	2366.85	4463.6399999999985
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	37791.070000000014	26103.94000000001	21006.770000000004	32256.410000000003	31695.75000000001	28715.079999999994	34267.710000000014	33341.13000000001	30818.590000000004	33456.94	23125.160000000003	30543.730000000003	24499.24999999999	35010.09000000001	32259.97000000001	33263.94000000002	25998.17000000001	21269.869999999995	33412.03000000001	24089.700000000004	30119.110000000015	29133.99	27906.32000000001	28313.209999999992	31472.53	25126.66	20779.890000000014	18351.350000000006	28019.08	35588.55000000002	35587.95000000002	36825.87000000002	35553.91	32115.25	26637.220000000005	28482.840000000004	27835.58000000001	29699.780000000013	27158.25	22577.06999999999	39527.7	28727.5	16503.18	32361.390000000007	42362.16000000002	37016.83	28406.34000000001
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	1681.8599999999994	3491.56	7012.68	2819.7699999999995	2150.7	2481.2	2468.72	2205.8	3332.3	1992.08	2845.6800000000007	3746.1	5650.669999999999	1487.9699999999998	2543.6599999999994	1554.6899999999996	4281.08	3392.0600000000013	1819.34	3884.09	3972.7499999999986	2788.1599999999994	2613.86	3924.72	4373.28	6447.079999999999	7980.38	8017.04	3245.9100000000008	1835.51	1979.53	1727.94	2410.86	2106.25	3370.19	5132.370000000001	4989.3499999999985	3000.71	3395.74	1811.51	937.9	1557.2399999999998	2321.42	1835.1	730.86	1739.25	3433.9499999999994
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	294.75	1534.75	869.75	395.5	1338.5	805.5	369.25	806.5	1295.5	602.25	1093.75	762.0	1059.25	1035.75	949.5	1272.75	328.25	2252.0	600.0	715.5	658.25	1340.5	1211.75	929.0	400.5	370.25	531.25	855.0	1360.5	402.5	343.5	316.25	443.0	602.0	954.0	465.0	628.25	2780.5	1715.0	1178.75	1486.25	1931.5	1248.0	2213.25	2157.25	560.5	1548.25
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	36146.24000000003	24656.890000000007	23632.660000000003	32200.43000000001	29847.390000000014	25697.380000000005	31861.22	31353.09000000002	27688.96000000001	32079.22	20010.390000000007	30448.05000000001	22389.07999999999	31893.32000000001	30208.08000000001	28758.27	27020.69000000001	18518.849999999995	31393.89000000001	22574.29	30860.68000000001	24738.29	24767.62000000001	28039.31	31921.68	26253.69000000001	23729.620000000014	22536.48000000001	25606.92	34837.61000000001	34880.180000000015	35830.01000000002	34279.619999999995	31122.86000000001	25748.80000000001	29806.1	29306.77000000001	27405.590000000004	25327.32	20716.64	35342.01	24461.309999999994	15335.74	30016.05000000001	38062.16000000002	35179.31	27924.460000000006
K00032	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	0.0	1.2	5.4	2.6	2.2	4.8	0.8	0.0	0.4	0.0	1.4	0.8	3.2	2.8	2.2	5.0	2.6	5.2	4.6	3.8	3.6	2.8	3.4	5.0	4.4	0.2	9.8	6.0	3.6	2.6	2.8	2.0	0.0	1.0	2.6	2.6	5.4	3.0	3.4	1.0	0.0	1.0	1.8	0.8	2.0	0.6	4.4
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	2127.7599999999993	3168.9400000000005	2691.369999999999	2355.8	2303.6	2536.27	3735.01	2101.46	2680.95	2258.34	4243.95	3417.55	2584.45	2326.129999999999	1485.34	1737.83	1599.6799999999996	2950.9600000000005	1791.0599999999995	2957.98	1726.17	2239.1599999999994	3279.5499999999993	3453.3100000000004	1603.26	4179.33	2445.32	1761.9	4099.98	2488.55	2403.3499999999995	3929.0199999999986	3001.78	3058.22	2065.25	2294.37	1813.53	2781.46	2260.8	2828.67	3233.9	2314.890000000001	2072.88	1636.06	1383.1699999999996	1924.38	2083.6799999999994
K00034	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]	1456.5	1174.67	339.06	243.5	323.0	508.61	811.5	1015.0	2205.0	588.5	1211.11	639.5	323.33	988.11	376.72	776.8299999999998	392.5	448.67	484.33	286.28	458.11	453.44	463.83	575.11	768.0	673.72	513.22	250.0	790.3299999999998	719.61	855.61	1303.11	1207.0	838.11	767.5	355.5	297.5	439.0	390.61	514.5	905.5	1166.0	366.0	537.5	930.0	575.5	673.61
K00035	gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]	3.5	12.0	8.0	0.0	2.0	3.5	3.0	3.0	5.5	12.0	8.0	1.0	0.0	1.5	7.5	5.0	7.5	11.0	5.0	3.0	1.0	0.5	12.5	1.0	2.5	18.0	6.0	1.0	0.0	2.0	1.5	4.0	5.0	16.0	5.0	1.0	1.0	1.5	7.0	4.5	4.5	14.0	2.0	0.0	1.0	0.5	15.5
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	1996.93	3142.84	2626.609999999999	2064.17	2246.83	2527.93	3755.78	2135.63	2738.7499999999995	2316.1700000000005	4273.1500000000015	3469.9899999999993	2701.86	2422.96	1469.69	1647.84	1538.7099999999994	2935.1900000000005	1779.0999999999995	2929.13	1687.59	2147.15	3199.0199999999995	3294.0400000000004	1557.2299999999998	3918.51	2398.86	1689.4	3991.85	2384.81	2348.0099999999993	3818.91	2932.11	3002.78	2001.1200000000006	2032.57	1627.33	2585.7999999999993	2254.66	2683.5	3255.9	2377.23	1986.64	1600.4899999999998	1423.84	1910.25	2126.5399999999995
K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	26.0	40.0	23.0	15.0	64.0	46.0	28.0	9.0	6.0	35.0	12.0	12.0	52.0	32.0	24.0	20.0	20.0	48.0	3.0	8.0	45.0	13.0	36.0	14.0	12.0	37.0	7.0	9.0	40.0	23.0	27.0	8.0	4.0	18.0	7.0	4.0	38.0	32.0	35.0	16.0	6.0	27.0	6.0	0.0	27.0	22.0	32.0
K00039	rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]	18.33	28.47	72.76	18.65	27.84	50.67	2.1	12.05	8.32	7.42	33.239999999999995	6.11	12.2	13.750000000000002	36.3	50.59	29.53	36.63	62.98	53.32999999999999	38.91	52.05	3.86	7.729999999999999	2.6800000000000006	4.84	49.68	9.29	12.19	10.91	10.829999999999998	23.31	23.31	23.26	50.36	28.51	31.89	34.669999999999995	3.14	7.02	4.87	5.37	26.53	4.72	7.24	15.32	3.1700000000000004
K00040	uxuB; fructuronate reductase [EC:1.1.1.57]	17669.83	11740.750000000002	11928.63	13768.36	17670.829999999998	9336.61	15924.749999999998	15500.129999999996	12886.69	16179.0	8878.660000000002	12852.69	12315.62	14683.2	12369.909999999994	13461.5	10841.720000000003	9289.98	11670.56	8013.1399999999985	17521.380000000005	11834.2	9677.5	16046.98	18778.250000000004	14407.039999999995	11957.63	8284.39	11783.61	21479.86	21207.45	21696.350000000006	21653.57	18528.35	16002.62	7388.610000000002	6240.0700000000015	11378.31	6262.96	10552.53	18445.51	11457.1	5922.039999999999	12921.13	16600.11	15885.929999999997	8393.84
K00041	uxaB; tagaturonate reductase [EC:1.1.1.58]	17974.030000000002	12216.790000000005	13241.13	16027.229999999998	18320.360000000004	10322.21	16777.379999999994	15439.79	12383.21	16642.170000000002	9516.079999999996	13218.21	13497.57	14875.23	12690.5	13449.99	11157.990000000005	10627.9	12426.72	9628.5	17859.480000000003	12901.180000000002	10776.400000000003	16680.250000000004	18957.77	16347.259999999998	12414.180000000002	8754.67	13001.870000000004	22039.32	21675.66999999999	21419.62	21587.82	19076.14	16287.25	8111.980000000001	6696.38	11480.59	6232.780000000002	11283.64	17936.92	10597.63	6287.52	13314.030000000002	15809.950000000004	16047.64	9112.63
K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	4961.989999999999	5398.869999999999	8007.019999999998	3771.089999999999	9489.059999999998	3568.7699999999995	7751.530000000002	7211.909999999999	4130.36	4726.29	5662.02	7735.35	7377.73	9206.06	8537.789999999997	5945.219999999998	6811.119999999997	4785.76	8177.649999999999	4053.349999999999	12376.55	7765.329999999999	6590.160000000002	8463.34	6396.44	7695.45	6939.039999999999	3382.3099999999995	6518.75	7179.33	5327.65	6039.96	7935.6799999999985	6653.510000000001	5981.149999999999	3053.9199999999987	1969.2599999999993	4751.440000000001	4188.469999999998	4928.1	6734.22	4563.75	3196.18	3102.7199999999993	5259.989999999999	4092.31	3397.32
K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]	71.5	145.2	132.9	233.6	122.7	100.8	93.3	48.5	122.9	57.0	102.9	21.3	213.2	42.8	39.2	32.5	73.1	119.7	54.6	98.3	98.1	35.8	48.9	31.0	30.4	152.2	50.3	28.0	31.6	30.1	59.3	21.5	26.5	47.0	67.6	42.6	64.9	55.5	15.9	20.0	23.0	28.5	15.3	53.8	12.5	29.6	116.9
K00046	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]	27255.82	18353.24	19629.32	22136.33	26606.67	21904.96	28558.27	26973.41	21894.6	22498.68	18238.39	24910.21	18809.91	25576.94	21225.080000000005	22119.24	19067.07	15868.76	20917.480000000003	16609.839999999997	24483.050000000007	20324.85	18829.54	24409.25	26574.44000000001	24114.05000000001	18284.89	13498.38	21228.449999999993	31268.78	30294.77	31382.390000000007	30685.470000000005	28323.1	21549.23	13260.45	11010.01	20266.22	15411.030000000002	18688.99	34202.91	22507.52	11715.589999999998	25108.5	27534.340000000004	26475.640000000007	17606.059999999998
K00048	fucO; lactaldehyde reductase [EC:1.1.1.77]	18256.930000000004	14669.56	12146.66	16435.92	20667.430000000004	11599.05	16657.449999999993	15780.280000000002	13393.720000000005	17013.620000000006	10550.399999999996	15131.89	14740.42	16042.21	16650.730000000007	15080.61	11817.540000000005	12010.94	13153.19	9982.19	19347.58	13622.02	11277.48	16729.5	19217.84	14810.17	12170.7	9231.98	15436.26	22085.76000000001	21801.67000000001	20489.98000000001	20426.920000000006	19261.74	16302.12	7160.280000000002	6400.91	13095.479999999998	6977.65	10360.84	19461.380000000005	11466.889999999998	6703.839999999998	16467.02000000001	17655.120000000006	15486.87	10566.899999999998
K00050	ttuD; hydroxypyruvate reductase [EC:1.1.1.81]	738.01	392.24	463.42	765.1099999999999	735.46	418.08	398.42	824.28	488.92	388.09	328.28	468.89	381.75	341.3	345.87999999999994	608.31	340.6400000000001	266.71	426.82000000000005	440.96	507.58	198.08	293.56	395.59	587.85	387.12	311.2100000000001	330.83	166.2	794.31	853.0799999999998	989.0	738.0600000000002	458.16	640.22	468.97	465.78	1294.04	3064.24	2385.31	1015.55	4099.62	1394.96	231.2	309.52	447.16	364.74
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	38360.28000000003	27785.870000000006	25949.810000000005	34115.36	32609.190000000013	28027.310000000005	34414.99	33687.03000000001	30524.040000000008	33911.789999999986	22612.43	32723.66000000001	24947.56999999999	34264.900000000016	32166.360000000015	30905.450000000008	28777.53	22256.85999999999	33295.64	25249.770000000004	32766.270000000015	28021.630000000005	27577.10000000001	30396.27	33583.590000000004	28694.02000000001	25280.82000000001	24666.50000000002	28560.21	36649.81000000001	36801.41000000002	37541.20000000001	36927.24000000001	33111.650000000016	28611.410000000003	32464.06	31560.730000000014	31166.000000000015	28852.86	23624.749999999985	39565.72	28805.15	17554.400000000005	33490.79	42267.69000000002	37547.48	30895.030000000013
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	38183.94000000002	27568.28	26070.13	34248.86	32300.700000000026	27812.18	34401.880000000005	33355.74000000001	30385.710000000014	33845.009999999995	22645.51	32830.32000000001	24746.979999999985	34004.44000000002	32079.36000000001	30903.330000000005	28817.040000000008	22399.809999999994	33201.18	25637.15	32591.27000000001	28142.340000000004	27670.93000000001	30449.099999999995	33548.8	28796.69000000001	25666.650000000016	24679.920000000016	28892.87	36678.09000000001	36800.330000000016	37494.74000000002	36627.41	32956.570000000014	28457.24	32602.14	31834.230000000014	31457.050000000014	28914.19	23694.16999999999	39611.720000000016	29023.309999999994	17660.4	33561.01000000002	42289.56000000001	37520.639999999985	31035.94000000001
K00054	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	344.16	833.4999999999999	436.23	225.6	429.53	377.84	457.7	525.4	752.39	672.77	569.07	508.83	581.2600000000001	765.11	269.93	193.89	133.64	147.61	180.13000000000005	467.34	258.17	159.49	502.63	333.2100000000001	267.31	248.69000000000003	357.5900000000001	363.86	695.73	286.31	218.31	160.17000000000004	328.9600000000001	158.64	454.93	312.83	276.83	1012.22	880.38	572.09	417.45	272.58	581.09	347.37	298.08	552.48	397.58
K00055	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]	15.31	34.68	23.84	17.35	35.75	35.37999999999999	14.15	13.79	16.619999999999994	55.68	8.660000000000002	17.560000000000002	37.01	56.25	47.38	40.5	22.8	49.64	19.21	57.72	41.26	31.770000000000003	46.97	45.82	10.96	41.33	8.68	29.17	96.26	17.04	11.490000000000002	12.61	8.280000000000001	26.67	29.94	18.54	22.89	19.020000000000003	19.81	13.3	7.840000000000002	32.620000000000005	7.37	22.02	17.490000000000002	13.89	23.42
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	38844.67000000002	29453.7	27656.450000000008	34815.53000000001	33991.80000000002	31032.47	36324.79	35063.74000000001	33288.28000000001	35206.24	25337.97	33884.07	30038.559999999994	36215.95000000001	34566.090000000004	34204.520000000004	29976.689999999995	24180.049999999992	34639.58	27609.910000000003	33928.150000000016	31411.83	30165.41000000001	31746.92	35268.07	31021.100000000013	28397.910000000014	26182.28000000001	30703.45	37204.330000000016	37183.02000000001	37827.43000000002	37464.000000000015	33802.77	29265.8	33003.04	32101.060000000005	32959.770000000004	28800.7	24413.74999999999	40100.16	29685.109999999993	18688.45	33922.57	42701.19000000002	38417.26999999998	31413.220000000005
