pathway	description	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	41576.6594	30196.6688	29645.3363	36377.8555	36298.2893	30455.8315	37503.8017	37158.0341	33145.9588	36998.4133	24776.3938	36583.3897	27949.8529	38461.2479	36458.8787	34844.8903	32655.6793	24001.4677	36930.974	27055.8117	37442.4577	31029.7468	30360.1212	34005.5758	37400.8885	31150.7325	29059.9402	28057.9695	31372.9688	40120.5735	40112.4006	40900.7549	40778.211	36249.5549	31751.3962	35491.3407	34617.834	34476.7218	33588.1976	26243.7034	43277.8955	32363.7959	19714.8219	36219.1948	46196.8731	41141.009	33501.5031
ARO-PWY	chorismate biosynthesis I	46011.5948	34377.9359	32742.1907	41043.727	40169.9802	35755.0344	42766.1054	41360.3191	38354.2867	41516.0573	29214.3208	40513.5691	34478.6672	42716.4764	41196.8375	40214.7479	35473.8151	27823.895	41382.3319	31803.4847	40880.9288	36998.9148	35129.3265	37602.2106	42211.0633	36155.0973	33271.1091	30697.5146	35467.138999999996	44338.2517	44195.9703	44705.5368	44670.8685	40024.8981	34953.2815	39487.8973	38448.9039	38330.9461	34347.2989	28240.6529	48158.5856	34741.7687	21633.0737	41083.3631	51502.0639	46210.8995	37707.4204
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	37997.3919	28448.5555	24606.3385	34677.5573	33947.8825	31469.0345	35652.1825	34169.943	32584.272	34227.8556	25125.3064	31263.737	29793.1659	34583.6979	33275.4366	33409.4368	28008.8128	24336.4052	34503.5817	28102.9185	31118.3312	31513.0311	29996.236	30707.2442	32855.9691	29969.7281	25221.5456	20733.2791	30563.77	35734.685	36126.7857	36632.2791	35208.9538	33047.5839	27514.4307	31975.4983	32193.0644	31580.0112	30044.9823	22992.7048	37811.7279	26269.2	17792.6035	33425.5915	41334.029	37217.5965	31140.917
AST-PWY	L-arginine degradation II (AST pathway)	54.8137	99.5541	108.8378	81.3382	76.0125	133.011	37.9946	102.0387	44.4527	62.8217	75.65100000000001	85.9826	79.3524	71.4194	123.0872	222.0628	139.716	173.0409	188.5217	240.0357	151.7801	166.8348	87.01100000000001	137.8201	71.902	100.5657	122.36200000000001	119.2648	115.0976	63.5377	44.9862	89.939	62.1808	76.8856	74.3803	109.0165	108.8589	94.3007	41.3177	67.8492	43.8335	66.3206	42.7869	54.047	36.5155	60.4064	53.8156
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	1695.5032	2819.3154	4730.9814	3970.377	1962.1731	2700.4893	2394.1305	1847.2067	1580.7601	1813.1771	2911.2439	2813.6262	3231.683	1822.7746	1858.015	1688.5774	2742.1367	3682.2644	2275.8261	4936.8635	2483.688	3209.0628	3058.9083	2778.0732	1928.7676	5126.3651	3655.0291	2455.9098	4064.0513	1908.3282	2085.4623	1274.7055	1864.5705	1917.691	2072.2729999999997	2274.8469	2562.187	2510.5867	1054.182	1644.5629	1130.8088	1704.1979999999999	1426.2235	1455.2708	771.2348	1121.6718	2054.7581
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	48235.6008	35847.3485	35051.0962	42994.1563	42914.12	35779.4209	45389.2814	43771.4767	39471.2943	43181.8233	30626.1916	43252.9006	34630.0468	44904.9315	42544.6464	40964.5965	37615.4194	29620.0559	44014.147000000004	32827.403	43852.9369	38436.6257	36907.7711	40348.4128	44441.5911	39342.3538	34783.6905	31992.0097	37607.4808	47348.3176	47067.2853	48572.2593	48023.6923	42860.6648	37150.0117	40592.7521	38728.6918	40938.8293	36835.5993	31601.2389	52176.1949	38736.5881	23461.6253	43275.0759	54243.6177	48360.9266	39543.377
CALVIN-PWY	Calvin-Benson-Bassham cycle	58475.8575	42262.5758	34656.4728	50215.2429	44976.3097	38657.9153	49502.6076	47256.0622	50359.9321	52950.2029	33751.3998	45197.3019	38145.4479	49551.5604	45473.4667	44454.4107	39471.6139	31899.3583	51062.3814	37493.6617	45186.5555	43107.9211	40892.0126	42365.2104	49013.2114	40238.8847	36004.5797	31579.7427	42215.6629	52406.734000000004	51824.4472	55580.5311	53099.5058	46943.8768	40424.3209	43685.0361	40075.7321	42032.8898	36768.856	33150.109	56663.155	40761.3865	23663.4542	47756.2748	65652.8452	56311.6211	41865.3368
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	33.2478	64.1258	70.202	71.5287	52.8038	79.6321	40.1486	40.7453	25.9236	56.9009	56.8766	81.3866	56.1294	52.2072	93.1124	127.6986	87.62799999999999	134.1541	127.8078	174.0242	95.0294	106.565	59.6203	55.24100000000001	32.2144	60.9302	70.4116	103.8108	58.1853	40.6226	34.1976	38.830999999999996	29.088	42.6232	48.6243	81.6283	56.3798	58.2075	48.6953	34.8048	24.7919	49.0598	32.2257	41.1218	27.9414	39.3288	53.9896
CENTFERM-PWY	pyruvate fermentation to butanoate	2539.6884	2535.698	2827.9186	4924.0095	2206.3784	2117.2493	2738.6895	2597.2145	1767.027	2006.4873	3737.6588	2456.8356	1583.1787	2190.8905	1683.2237	2601.1839999999997	1775.0201	1866.8351	2347.4557	3319.6763	2261.738	1696.9955	1642.9643	2605.0786	2282.3128	2080.692	2264.1965	1963.3715	1783.9137	1644.0193	2245.6494	3412.3016	3100.8566	1891.8283	3091.4391	1969.4359	1453.5736	1741.9448	1147.5644	1932.2287	1176.4084	1081.3567	1312.7171	1175.5135	1077.0363	1035.3762	1362.6541
COA-PWY	coenzyme A biosynthesis I	37947.66	29288.237	28220.6173	34161.1875	33356.6166	30484.3104	35386.1072	34030.2975	32798.7597	34428.3745	24829.1177	34067.7502	29958.632	35228.0329	34347.2966	33736.5266	30167.6586	23992.4653	34278.0865	27467.2059	33741.6299	31187.0703	29815.7589	31542.6068	35224.9333	30925.2558	29092.7373	27095.3633	30192.0692	36139.3159	36092.1722	36588.5993	36606.3834	32284.9038	29045.637000000002	33745.1515	32998.9359	32921.5993	29521.1859	24076.4329	39256.9163	29420.28	18687.4188	33948.7733	42137.4167	38228.8927	31750.9819
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	26734.2152	19750.2417	22278.5341	24596.1295	27858.112	23385.6179	27752.0952	27682.3611	19710.936999999998	22364.9523	18740.7348	26571.6136	20904.4545	27803.4092	26745.4523	25840.8642	23322.7128	16921.4304	22117.4263	19163.9493	27978.29	21269.5197	21073.6665	25169.4136	27860.4353	24678.0772	22228.5714	19953.5822	22658.602000000003	30455.505	29960.0757	28807.7267	30629.6283	26544.4106	24294.6698	25829.9241	27756.1922	27464.2488	23892.4269	19588.8272	32111.917	25072.0066	15255.4051	25735.3349	27397.4418	26597.7575	24897.3773
CODH-PWY	reductive acetyl coenzyme A pathway	384.06699999999995	294.5059	299.3374	166.593	414.4272	166.5434	178.5516	800.5992	166.5756	122.7839	108.7628	126.7593	190.3792	193.47799999999998	132.7423	137.7191	99.83	90.8215	119.7894	124.7117	294.695	74.9088	121.75	303.5132	519.1046	219.2015	107.7905	82.8662	131.7111	498.5971	461.0876	288.8825	288.8688	172.553	136.6792	493.2045	639.5022	108.8158	2202.5281	170.3921	151.7107	288.5787	226.5966	153.6483	280.0758	512.5387	326.2765
COLANSYN-PWY	colanic acid building blocks biosynthesis	7374.3559	9073.599	9992.4891	8931.2401	8508.7978	9326.7616	9543.6397	9283.2566	9803.9694	7704.5793	9244.8539	8734.5323	12489.6279	7268.7808	6986.7381	8939.6932	8130.8766	9467.9202	7623.7762	10442.2932	8619.9953	9078.7992	9026.9084	9076.8393	9226.0107	13412.546999999999	11410.9916	12501.2982	8260.3777	6993.8707	7667.1184	7843.5943	8853.6485	7202.8194	8568.0445	9834.8432	9177.1911	10606.3362	10034.4002	9039.4823	7254.1341	10609.5934	6852.1519	5897.2413	4534.0772	7165.1152	8214.5209
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	48289.791	35939.4798	34206.3344	43017.553	42104.5961	37518.2875	44839.3774	43340.6292	40217.8568	43570.0035	30599.6652	42301.6126	36078.2349	44747.5441	43146.0457	42186.2455	37086.3837	29198.6337	43420.1384	33311.2246	42720.4201	38832.8299	36831.8862	39326.4586	44171.6658	37831.2735	34781.681000000004	32196.8702	37167.2815	46496.9481	46390.282999999996	46974.983	46853.4513	42011.9589	36573.0779	41453.5981	40359.9801	40099.8917	35900.1768	29543.7758	50489.0449	36289.3582	22582.4701	43044.2352	54067.0436	48478.4421	39464.5636
CRNFORCAT-PWY	creatinine degradation I	2.3888	4.7585	0.5996	1.1983	5.3558	0.5996	0.0	0.0	0.5989	2.9283	0.0	0.0	7.082000000000001	0.0	0.5988	0.5994	1.7899	5.3093	0.0	0.0	4.7128	2.9782	0.0	0.0	1.788	4.1091	0.0	0.0	5.2878	1.1946	0.0	0.0	2.3758	2.9204	0.0	0.0	8.8051	0.0	0.0	0.599	1.1886	2.9449	0.0	0.5985	3.5565	0.5991	0.0
DAPLYSINESYN-PWY	L-lysine biosynthesis I	37702.6215	31111.0504	33052.2236	32167.7566	40280.7463	31318.2614	40350.0507	39453.9384	32518.3217	34513.5839	27770.2424	39071.5988	32303.3864	42518.1868	40011.3349	37471.7201	34467.1203	25625.458	39297.6621	27458.142999999996	42274.6528	35551.1531	32988.8605	36916.2782	38351.8346	33868.5366	31707.6229	26152.7844	33480.0515	40377.8795	38654.0666	38277.3336	42641.7419	37367.8566	32679.5494	33684.7046	31996.888	34782.2221	31601.7783	27487.7714	46106.9241	33131.715	20422.4007	34974.8319	45138.3947	40225.792	33002.9094
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	24.1658	22.0434	28.9044	41.0145	29.6023	19.5364	8.2593	10.936	8.9275	5.7726	10.6796	30.3344	9.2556	5.0262	11.1749	11.5686	20.6533	17.1149	9.3474	42.9191	9.322000000000001	12.8234	7.5301	13.9646	20.8185	5.4946	18.3319	41.1786	10.5084	7.3325	10.0026	7.4632	12.7927	7.8806	11.5457	32.4069	9.0567	12.6662	9.2985	10.2583	17.0586	18.6081	8.3773	11.8128	9.8477	8.2651	5.3799
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	6951.4636	11687.6253	18801.4713	9284.3306	9071.758	8680.6179	7735.6343	9400.2364	11833.7792	7816.4102	9175.0906	13755.3951	16815.6846	7206.8801	10382.29	8026.8704	14485.7035	8567.0312	6749.08	10018.7233	14326.9623	8471.692	7951.2836	13583.3238	15158.7124	18016.9246	20050.2619	18946.5376	9315.1168	7203.0883	7436.533	7760.0775	10110.4157	7559.0329	12168.6743	15258.0506	15067.3548	15492.1193	14778.8137	10460.8735	8080.227	14643.8156	10472.8134	6991.2092	4157.5003	6840.441999999999	11604.1284
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	0.0	2.9139	12.9939	6.1488	5.1471	11.0742	1.8942	0.0	0.9768	0.0	3.4484	1.9562	7.2962	6.4773	5.2977	11.9445	6.1794	12.0403	11.0647	9.1531	8.3795	6.7497	7.4789	11.2401	9.1886	0.4974	22.618000000000002	13.5078	8.0615	5.8674	6.0599	4.7384	0.0	2.4106	6.3246	6.1822	11.4826	7.2681	8.1097	2.4781	0.0	2.464	4.4376	1.9569999999999999	4.7144	1.4777	9.9908
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	37021.9585	30551.4134	29944.8819	32309.0638	33877.0277	28655.2587	34092.2849	32571.0188	32456.5713	35158.0494	23506.3834	34244.7387	30914.3745	35466.3149	35312.7945	33325.4527	30155.6652	24080.5591	34593.0224	26024.5025	35714.6799	32077.2358	29823.2044	32042.06	36348.9691	32039.7897	30002.3387	26622.6939	30536.272999999997	36971.5916	35528.5104	36128.2937	37184.039	32272.7601	30100.0144	31927.0131	30669.1462	33040.9736	28374.1174	25846.4878	41470.2849	32141.2159	19027.4121	34650.8585	43523.2449	39349.372	30706.7919
ECASYN-PWY	enterobacterial common antigen biosynthesis	100.1982	150.1212	182.4187	153.7146	123.7562	205.4252	66.2731	171.0931	77.3257	77.6511	125.8087	146.4376	117.6455	100.72	149.4703	283.5457	183.3184	214.1405	254.2063	342.7409	192.3311	208.0689	107.8855	204.3591	101.0831	118.876	154.5345	159.3581	151.6007	81.5713	77.2261	143.9233	100.7985	109.7806	118.9907	161.1763	160.3719	144.7926	44.5808	102.1754	62.1678	65.8064	64.9135	75.1195	43.8728	75.7292	77.1473
ENTBACSYN-PWY	enterobactin biosynthesis	370.9334	561.3443	633.1241	533.9614	526.1499	700.2161	246.5204	483.186	261.18	233.5018	364.6972	486.8465	358.095	299.9782	494.8627	862.6179	569.6361	617.1059	744.9910000000001	983.7426	567.2256	640.6405	466.0508	668.5403	350.4238	445.0177	538.1217	644.1628	494.8058	267.5022	274.5721	417.5682	309.8144	345.56	365.7397	533.0983	497.5906	483.6368	272.1409	424.6873	252.8817	394.9794	275.0198	367.2618	245.1849	313.0785	253.5168
FAO-PWY	fatty acid &beta;-oxidation I	1354.9228	1371.9920000000002	1451.57	2970.5116	1197.5375	1043.7176	1530.9753	1423.5887	972.8263	1102.3262	2311.7312	1412.8486	853.8977	1249.0506	850.0354	1348.5853	941.7629	908.0908	1122.6745	1961.121	1286.4272	842.83	796.9478	1421.8389	1267.2462	1017.5418	1097.0365	1054.5897	954.6975	891.4491	1267.4157	1968.3124	1826.3659	1001.6245	1744.3169	997.581	760.4722	919.7853	527.2211	1034.6374	615.0334	525.02	652.8735	538.6979	575.02	495.2566	631.3178
FASYN-ELONG-PWY	fatty acid elongation -- saturated	6693.7547	9175.0564	16841.2198	10007.7376	7219.0972	8679.5275	8933.3149	7399.5347	6883.5308	6504.7206	8050.6734	12894.3785	11518.6505	6725.4593	8724.7366	6271.3149	12557.1973	9329.6091	6686.0891	10550.3058	12154.8684	8425.8085	8770.3277	11825.458	10480.1671	15106.3689	16200.2474	17830.855	10532.886999999999	6631.6159	7363.169	6617.4266	8579.336	7094.7099	10230.1437	15558.4077	15142.065	13446.6847	14519.9384	10436.4054	6269.3607	12957.6662	9000.0566	7144.5381	3434.7154	6754.4028	11540.911
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	1127.2563	1793.8838	3443.8524	3926.8144	1147.4254	1704.2604	1729.711	1188.0519	1013.5617	1193.0527	2125.1695	2242.3441	2120.0728	1321.3739	1231.2361	1279.49	2295.5059	2630.9996	1637.0862	4784.218	1648.9209	2602.6777	2150.3424	1882.3471	1231.9704	3844.1558	3374.4896	1658.1717	4208.1419	1293.2529	1427.0188	839.8329	1176.0521	1093.0311	1200.5297	1361.8174	1933.3292	2234.5775	861.5714	951.8322	668.3244	1495.2591	939.5552	894.2907	539.7453	611.7164	1278.2613
FERMENTATION-PWY	mixed acid fermentation	6696.3406	13056.7005	18305.4326	11625.5721	9351.5884	11230.8939	11210.7324	8796.1213	11548.6215	8678.8487	11011.4015	13126.7969	17468.2235	7363.1593	10137.3031	6208.2073	13310.8013	12976.9861	8173.3523	14186.375	13726.9894	12120.6865	11764.8079	13754.639	14043.4713	19048.4495	18673.6309	17757.9857	13423.6917	7198.0255	7563.4146	4893.5396	8824.0849	9293.3579	11442.7537	16503.6187	15229.7219	11183.386	9258.545	8835.7597	5880.5728	7260.4512	7995.2702	8595.6809	3987.1511	8131.0788	12876.6694
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	10469.1838	16520.7187	18740.0372	14678.1635	12873.6664	13693.4586	13581.0985	13092.0782	18706.4556	13380.1223	12791.124	18339.3986	20736.9299	10504.8926	14891.774	10320.7378	17969.7578	16895.1004	14336.8927	17310.1627	17187.8816	16013.505	16995.4446	16691.5799	20215.6429	23136.2917	21350.7978	20332.3662	16326.2844	10887.0251	10956.9705	7674.9449	13991.1757	12058.2563	15449.4646	21640.2605	21846.1265	18031.742	10474.5573	7869.1436	8691.0547	10647.8778	10526.4167	12432.4409	6822.5996	11050.5209	18875.3553
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	3827.8322	5584.7251	11357.2729	3702.0214	12039.8891	3607.2681	8544.856	7474.3285	2718.5922	5622.4166	5734.4181	9116.2825	9725.2364	10014.5598	10669.0873	5570.7981	9114.6134	5145.6965	8978.1027	3881.9516	15587.548	8867.6334	6424.6776	10740.5611	8448.614	9443.5166	9964.3378	5475.0378	7474.0796	7888.856	6370.4058	6318.2447	9387.5698	8270.4363	7010.9271	4451.7661	3053.5571	7236.8659	4259.1079	6483.9691	8877.8659	5070.3801	4483.8064	5880.5374	6802.4964	5102.9094	5365.1875
FUCCAT-PWY	fucose degradation	3980.3517	5880.6866	14018.0965	3761.1978	12300.8253	3541.2258	8980.7616	8102.3518	2779.7824	5454.5197	5765.3308	11355.6369	9319.8516	11338.666000000001	12122.7587	6308.9653	11335.3874	4292.7393	9551.6877	3665.2705	18144.9796	8764.6903	6743.9872	11876.8505	9241.6327	9016.8547	12823.6074	10508.4887	7231.9787	8418.5791	6086.4927	6216.9805	10006.6825	8200.162	7891.7431	6888.6812	5543.1713	8614.4668	4846.1706	6897.7434	8607.9496	5390.0509	5177.1936	6374.1913	6596.0805	4843.4844	6508.2594
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	22537.3512	16215.5761	17345.8655	18988.8914	23617.8383	13327.9239	21973.86	20768.4243	16889.6578	20255.6465	13573.4512	18704.409	17191.1191	20097.5513	17110.6972	17804.2489	15452.2979	13243.0078	16589.8009	12205.8567	23544.2037	16850.3105	14232.6044	21661.0527	24377.248	20570.6541	16824.9538	12310.7723	17199.9994	27187.8946	26701.8529	27428.3148	27857.5711	24126.8395	20862.1536	12181.6272	10499.0064	17159.7296	10171.7292	15107.9121	25312.1393	16036.2981	9226.6107	18978.1156	21923.3243	21200.3484	13841.6134
GALACTARDEG-PWY	D-galactarate degradation I	1181.5714	860.1326	445.5839	270.9259	278.7924	388.37800000000004	304.4888	785.3778	1307.6457	408.4088	728.9244	459.3803	178.945	655.092	404.2584	764.806	514.0411	395.6134	613.7781	513.8263	523.6197	473.7999	317.4619	390.9906	674.1524	415.8838	443.0688	353.7294	473.8986	537.9064	530.3738	341.4476	887.8736	460.3333	779.5215	400.1815	263.0166	384.9352	252.7682	398.2044	578.0759	986.459	361.8389	444.4434	721.5701	386.5352	474.3672
GALACTUROCAT-PWY	D-galacturonate degradation I	26565.9413	19968.6043	20774.7255	22828.3026	27793.6756	16799.1001	26700.2761	25235.7238	20838.4186	23100.7232	17902.3153	22818.1806	20375.9317	24397.8852	20526.819	21555.9601	18923.4154	16063.3799	20117.1054	15470.7769	27567.4171	20408.9967	17608.7825	25685.1237	28139.2925	24885.4719	19776.3213	15241.3971	21346.7095	31135.8287	30734.9896	31867.6979	32557.4159	28147.3198	24469.5623	15260.3359	13122.2702	21320.3142	13508.7169	18813.778000000002	29848.016	21004.9447	11789.4058	22649.6983	25873.9866	24095.9649	17882.838
GALLATE-DEGRADATION-I-PWY	gallate degradation II	27.5095	35.3432	114.0726	14.6698	22.8057	53.2414	20.8619	8.3702	13.4819	33.926	77.3264	23.1664	17.7583	35.3707	55.6965	75.3863	42.0266	74.2091	73.3874	63.5254	49.3629	67.8502	19.5182	8.08	23.6934	32.7951	89.3396	19.2195	19.1901	23.0292	9.7202	7.9495	15.288	23.5899	92.6781	17.8899	19.5055	36.4808	24.8428	3.9096	11.9271	26.5579	59.5828	6.7571	11.5825	26.9482	17.6261
GALLATE-DEGRADATION-II-PWY	gallate degradation I	15.8906	35.3432	32.3542	14.6698	22.8057	53.2414	20.8619	8.3702	10.325	33.926	26.7553	23.1664	17.7583	35.3707	55.6965	75.3863	42.0266	74.2091	51.2011	63.5254	49.3629	67.8502	19.5182	8.08	8.4715	32.7951	12.6742	19.2195	19.1901	23.0292	9.7202	7.9495	14.6045	22.2029	11.3736	17.8899	19.5055	36.4808	24.8428	3.4498	9.2108	23.4594	6.9316	6.8863	11.5825	26.9482	17.1115
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	38813.2828	27506.9055	21193.0882	31531.0278	32852.2489	21885.6612	33137.9714	30179.2285	31816.6161	35746.7161	21655.8009	29406.537	25170.996	31009.4388	27955.4312	26737.9165	24180.5331	21629.4075	33614.2471	21145.3989	31826.5615	28324.627999999997	25863.0293	29605.2035	32836.7896	26951.1798	22614.6151	19526.2269	28304.4966	37018.8069	35956.0194	39519.1253	37233.5026	33287.5298	27875.09	20313.689	15281.0164	20906.4396	12714.4333	18657.9865	36558.9723	18972.9781	10930.3389	26555.6284	40216.8315	33814.6221	20618.1459
GLUCARDEG-PWY	D-glucarate degradation I	2313.8834	1330.487	809.4184	624.4416	777.1109	966.372	1285.4455	1742.5761	1629.6639	963.8772	1296.2591	1196.2077	465.3728	1557.8521	876.3789	1435.8584	1019.7731	804.785	1132.7143	885.0491	1143.3358	1010.492	850.9626	1263.0105	1236.9632	1299.3671	930.9381	665.8738	1120.76	1483.1188	1682.6116	2450.5772	2456.6263	1565.2359	1675.9489999999998	763.3995	451.9744	1005.3471	702.6183	1201.2933	1978.7171	2392.8325	757.865	891.6519	1752.3332	966.9445	895.1927
