Pathway	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
AMPK signaling pathway [PATH:ko04152]	140745.25000000006	97334.99000000002	88868.67	119963.23999999999	113536.27000000005	94806.11999999997	121580.14	116694.43000000004	112843.54000000002	125510.10000000002	76327.52000000002	110505.47000000004	88702.72999999997	119920.45000000003	110968.56000000003	105013.52000000005	99461.90999999999	73864.84999999999	117803.29	85516.48000000003	116010.79000000004	97621.62	94311.07000000004	104676.82	121574.41	99780.72000000002	88819.03000000001	81951.41000000003	98161.73000000004	133558.65	131843.29000000007	138632.4100000001	134914.35000000003	117902.18	102511.50000000004	115218.88	112532.48000000004	105461.9	91937.76999999996	79936.89	139684.30000000008	93748.06999999998	57815.990000000005	116408.22000000002	153406.27	133927.78999999995	106650.60000000002
Acarbose and validamycin biosynthesis [PATH:ko00525]	72651.61000000004	59950.590000000004	61795.70000000001	63505.05	67764.10000000003	56848.53999999999	66317.03	64624.320000000036	62958.50000000003	68886.93000000001	45050.520000000004	67314.81000000001	62595.519999999975	70504.39000000003	71136.82	65766.03000000001	61526.03000000001	46955.62999999998	68876.87000000002	51487.110000000015	73345.12000000002	63756.950000000004	58326.610000000015	63698.19999999998	72447.81	63324.81	61791.22000000003	55660.09000000002	59564.4	72144.71000000002	69320.30000000002	69050.16000000003	72431.01	63269.93000000001	59945.49000000001	70379.81000000001	68037.23000000003	68100.85	61314.520000000004	50759.37999999999	79780.86000000002	61382.15999999999	39454.82	69252.65000000004	85170.94000000003	77981.84	65114.19000000002
Adipocytokine signaling pathway [PATH:ko04920]	25171.560000000012	21405.120000000003	23454.579999999998	24603.860000000008	21234.64	25387.499999999996	27546.690000000002	24773.490000000005	24990.240000000013	22260.03	22719.6	24183.14	25566.39	21582.15	17881.739999999998	22630.930000000004	23413.199999999997	22922.379999999994	16422.11	24894.640000000007	18922.91	19013.61	22845.250000000007	24635.769999999997	24627.89	29934.309999999998	26816.120000000003	20875.459999999995	27427.63	27004.670000000013	27476.74000000002	30739.210000000006	27497.37	26931.070000000003	22703.129999999997	36760.57	43929.97000000001	29276.68	31663.839999999997	19823.16	22127.66	17230.1	17109.370000000003	19628.740000000005	14245.81	20649.72	29560.589999999997
Adrenergic signaling in cardiomyocytes [PATH:ko04261]	1.25	7.0	5.0	9.0	2.5	13.5	5.25	3.75	7.25	8.75	7.75	2.75	6.0	2.5	2.0	1.5	3.0	13.25	3.5	9.5	5.5	4.5	4.0	1.0	3.0	5.75	3.0	3.0	0.5	4.25	4.5	3.75	5.0	4.0	6.75	4.0	10.5	6.0	1.25	0.25	3.25	4.75	1.5	6.0	2.5	2.5	5.0
African trypanosomiasis [PATH:ko05143]	275.28999999999996	294.72	388.5799999999998	479.70000000000005	322.20999999999987	358.63	266.40999999999997	268.65999999999997	135.24	175.76000000000005	365.91999999999996	287.38	186.40999999999994	195.26	224.6	366.5	211.5	295.40999999999997	327.04	347.06	220.54999999999998	289.9700000000001	314.4	307.43	156.60999999999999	403.4799999999999	269.0200000000001	273.13	234.97	163.73999999999998	179.31000000000003	222.05	141.45	188.30999999999997	217.98000000000002	403.6600000000001	319.97999999999985	383.13	486.89	378.86	147.85	272.53	374.9200000000002	256.19000000000005	150.76999999999998	208.39	281.98
Alanine	919309.5200000005	685999.0900000002	622622.5300000001	811676.1599999999	790548.2400000007	677201.29	831676.9099999999	802107.6500000004	775622.3800000002	834623.5700000001	565317.9900000001	766144.5300000003	671547.8399999996	823217.3700000002	767476.2000000004	742826.9400000002	672991.2400000001	568510.4199999998	816052.7100000003	635212.94	779402.1800000002	718495.8700000001	690099.6900000002	730023.96	820354.7100000001	724867.28	625599.6800000002	564463.1800000003	712933.7600000001	878807.6000000002	872459.9900000003	900408.4300000003	877845.8800000002	794180.6900000001	686722.5100000002	737710.0399999999	705689.1100000002	728157.4600000002	658961.56	567315.2399999998	940239.6	674717.4299999999	412987.88	789938.5300000001	1010243.0100000001	907661.69	709617.8000000004
Alcoholism [PATH:ko05034]	50.5	63.66	77.03	49.34	84.67	79.66	37.57	23.389999999999993	19.01	26.840000000000003	44.1	23.15	53.16	39.33	22.17	33.34	28.51	41.01000000000001	49.17	31.5	49.33	51.0	41.11	34.980000000000004	40.07	123.33	45.2	27.7	42.57	33.1	32.68	26.23	22.21	37.21	25.87	32.27	36.33	60.84	55.78	30.15	18.340000000000003	47.13	22.340000000000003	19.67	32.16	38.01	80.35000000000002
Alzheimer disease [PATH:ko05010]	41275.17000000002	31160.150000000005	30056.70000000001	37406.24999999999	36146.74000000001	33242.020000000004	38199.07999999999	37458.680000000015	34881.250000000015	36807.49999999999	27035.150000000005	35306.53000000003	31477.44	38032.540000000015	36231.220000000016	36361.89000000001	31390.96000000001	25964.059999999998	36524.55000000001	29248.030000000013	35453.270000000004	32637.990000000005	31716.440000000002	33671.69	36906.90000000001	33003.62000000002	30172.34000000002	27388.43000000001	31858.41000000001	39309.580000000016	39557.56000000002	40705.250000000015	39393.21	36065.770000000004	31487.029999999995	34487.92999999999	33251.51000000002	34807.23	32389.200000000004	27149.479999999985	41647.58	33426.21	20655.34	34767.54	43652.04	39633.819999999985	32735.84000000002
Amino acid metabolism	105809.47000000006	80944.01	87810.6	96659.22000000003	117113.93000000002	67334.05	100276.98999999999	99904.87000000002	84354.38000000003	101485.1	66334.58	86269.17000000001	87815.57999999999	111250.48000000001	102558.55000000002	81420.62	88285.91	63276.17	107776.0	68290.83000000002	128666.87000000002	95656.52000000002	75569.15000000001	98511.26000000001	106354.81	84071.55	80354.36000000002	60764.08000000001	80577.42	108639.95000000001	104845.29000000002	107199.72000000003	117977.39000000001	99421.67000000001	92684.29000000002	66576.14	53583.720000000016	73268.64	54864.71	66393.12999999999	101747.3	64692.56999999999	42271.17	79220.18000000001	117466.92000000003	97480.84999999998	65013.27000000001
Amino acid related enzymes [BR:ko01007]	1293891.7700000003	974594.7899999999	921354.9400000004	1143694.7600000005	1115587.8400000003	983232.9400000004	1187157.0600000005	1149156.8100000003	1099954.3200000005	1173904.6499999992	816386.5400000002	1106404.7800000003	970619.8099999992	1176502.890000001	1115709.0100000002	1083882.3700000006	982380.7500000007	793671.0499999997	1144156.3700000008	895043.1000000003	1135599.37	1019588.8100000004	974874.6400000002	1046458.9700000001	1181894.5499999998	1040696.6799999997	940417.43	871775.5499999999	997473.51	1239796.5800000012	1233268.380000001	1271542.7100000007	1258310.9700000002	1125515.7200000004	993717.5200000001	1079670.02	1039574.7800000004	1054249.3800000004	944255.9499999997	802578.9899999995	1320673.3200000008	970598.3399999997	602693.51	1104979.0100000005	1416230.8799999997	1268452.82	1016985.7500000003
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	1267188.8900000006	974904.19	940287.2100000002	1060175.1800000002	1157877.0100000002	865117.8299999998	1140992.9700000004	1102184.6600000001	1086452.6500000001	1194663.98	759333.7700000004	1038852.6199999999	984906.9199999998	1177487.8100000008	1106492.0899999999	1020218.2199999999	967682.4500000005	787522.1499999999	1182452.0500000005	820288.3000000004	1228689.7700000007	1053929.6500000001	946264.4600000008	1054162.47	1178612.3100000003	1022884.5900000001	925440.8300000004	805354.1699999998	977970.9800000001	1224926.5299999998	1199376.3400000008	1256293.2800000003	1261939.5300000003	1124313.26	993112.9400000001	965181.9199999997	876145.5900000003	947085.1500000003	792679.09	781995.7199999997	1247307.5799999998	873377.3699999996	538429.9299999999	1016926.4600000004	1400961.4200000002	1229704.9900000002	902333.7600000001
Aminoacyl-tRNA biosynthesis [PATH:ko00970]	1007887.0400000006	758562.1599999999	703379.3100000003	894490.1500000001	876347.6600000007	785382.6200000001	933096.7700000003	902917.4000000006	855202.9100000001	912335.5099999998	646384.4100000003	870024.8500000001	759229.8899999995	928901.4700000003	883854.9100000006	871201.5500000004	760835.8300000002	611366.8699999999	895563.7800000001	698687.4100000003	877817.4600000004	805252.5399999999	766987.5600000002	811072.27	910686.7999999998	791130.5200000003	717737.4200000003	661830.9900000003	777835.7100000003	967823.2400000003	960442.8900000006	984296.7700000001	973718.9400000002	870240.9500000001	765137.9100000004	843104.04	817871.4900000003	846117.2200000003	766588.3699999999	633993.0599999997	1045621.4699999999	775877.63	482979.93	880213.8900000002	1110643.340000001	996889.4199999997	806969.8500000002
Aminobenzoate degradation [PATH:ko00627]	35163.94000000002	31868.540000000008	36920.02	30212.399999999998	48002.61000000001	29291.04	43832.99	43575.600000000006	30251.170000000006	31968.830000000005	34317.07000000001	35624.44	36091.19	45892.06	42815.57000000001	37165.01	31737.780000000006	28145.07	35995.560000000005	24812.529999999995	52265.200000000004	37719.95	31550.12	43498.97000000001	39334.52000000001	36511.99	31681.50999999999	23577.159999999993	34072.859999999986	41296.86000000001	40924.45000000001	42371.46000000001	46828.77000000001	40509.420000000006	37383.57	16928.06	12384.879999999992	26017.55	20313.93	28368.0	35634.30000000001	27682.589999999997	16920.429999999997	19611.06000000001	31016.809999999998	28255.63	18465.309999999998
Amoebiasis [PATH:ko05146]	14108.0	11581.189999999999	16318.109999999999	13249.490000000002	19460.609999999997	13673.25	20760.51	18331.09	11595.899999999998	13343.650000000003	16419.51	22379.340000000004	16703.56	22463.35	18463.32	22798.91	16264.760000000002	13318.499999999998	18501.170000000002	13082.61	20107.78	18291.67	19464.749999999996	17556.28	14616.94	17461.66	14267.440000000002	9506.140000000003	15802.599999999999	16979.959999999995	16235.869999999999	17312.5	19495.449999999997	17458.38	12640.81	8512.02	6510.54	17041.899999999994	12589.090000000002	14697.96	24579.670000000002	18088.08	9892.699999999999	14824.550000000005	16709.320000000007	15619.39	12610.089999999998
Amphetamine addiction [PATH:ko05031]	50.5	63.66	77.03	49.34	84.67	79.66	37.57	23.389999999999993	19.01	26.840000000000003	44.1	23.15	53.16	39.33	22.17	33.34	28.51	41.01000000000001	49.17	31.5	49.33	51.0	41.11	34.980000000000004	40.07	123.33	45.2	27.7	42.57	33.1	32.68	26.23	22.21	37.21	25.87	32.27	36.33	60.84	55.78	30.15	18.340000000000003	47.13	22.340000000000003	19.67	32.16	38.01	80.35000000000002
Amyotrophic lateral sclerosis [PATH:ko05014]	28769.920000000016	19240.720000000005	16244.05	24120.729999999996	18426.6	18464.379999999994	22082.389999999996	21098.12	25852.930000000008	25526.94	15614.98	20093.629999999997	19516.800000000007	20516.649999999998	16923.53	21071.98	19008.49	17104.14	23622.110000000004	18899.589999999993	16104.810000000001	18895.199999999997	19612.679999999997	17255.63	24515.100000000002	20662.969999999998	19925.229999999996	17785.35	19494.980000000003	25200.16000000001	23789.77	28805.040000000005	23071.760000000002	20866.590000000004	19658.700000000004	16987.270000000004	14029.009999999998	21349.5	14387.949999999997	15744.720000000003	27677.570000000007	20824.31	11991.609999999999	25476.410000000003	31082.909999999996	26858.35999999999	18842.36
Antifolate resistance [PATH:ko01523]	193441.91000000015	144210.89	131565.11000000007	170928.09000000005	161254.5100000001	138978.71000000002	175733.58000000002	165120.3800000001	166009.91000000003	176927.64	119718.33000000005	161801.90000000005	142280.44999999995	170308.2200000001	161632.84000000008	153128.89000000004	143103.95000000004	114958.72999999998	172704.78000000006	131815.44	162224.89000000007	150151.43000000005	143161.35000000003	153478.05	172861.28000000003	150481.61000000004	137793.21000000008	126498.66000000008	149374.11000000002	180605.36000000007	180296.80000000005	189236.9000000001	180148.64000000004	165116.34000000003	140857.47000000003	142570.16000000003	128661.67000000007	143349.79	119184.38	111067.14999999995	190935.03	130757.69	80491.02	162087.16000000003	213222.02000000008	185754.38999999998	139223.51000000004
Antigen processing and presentation [PATH:ko04612]	38503.330000000016	28824.469999999994	27189.970000000005	34765.52000000001	33431.19000000002	30460.26	35846.7	34465.60000000001	32596.130000000016	34715.36	24707.18	33333.60000000001	29603.549999999992	35232.74000000002	34057.42000000001	33748.03	29646.030000000013	23813.049999999992	34333.22	27000.17	33584.17000000001	31003.06	29451.26	31263.21	35180.829999999994	30774.680000000015	27911.76000000001	25633.37000000001	29874.55	36883.12000000002	36908.51000000002	37600.17000000001	37026.89	33447.520000000004	29337.35	32545.23	31947.52	31564.92	28468.89	23761.74999999999	39530.37	29206.609999999986	17955.72	33623.07	42356.12000000002	37889.15	31074.80000000001
Antimicrobial resistance genes [BR:ko01504]	297803.55999999976	226620.11000000022	229642.11000000007	262639.78000000014	277797.2200000005	192484.90999999986	276608.85999999987	261507.76000000007	244826.85999999996	283383.9899999999	177785.39999999988	234282.0399999998	226058.23000000019	272105.0699999998	247309.93000000008	202697.6900000001	229941.19000000024	175944.45000000013	265789.8100000001	188725.32999999987	299017.54999999946	226240.5999999998	203450.65999999997	255371.99000000005	280037.07000000036	241677.58000000025	226787.26999999987	207596.36000000025	229233.1200000001	294468.4299999995	287618.8	306523.57000000024	303259.29000000027	275736.9099999999	244892.91000000015	209739.56999999995	183183.75999999975	193780.09999999995	154792.33999999985	168686.33999999997	257758.36000000007	158392.63999999993	110349.94000000006	204018.6699999998	298003.28999999986	259931.76000000015	186166.96
Apelin signaling pathway [PATH:ko04371]	1.25	7.0	5.0	9.0	2.5	13.5	5.25	3.75	7.25	8.75	7.75	2.75	6.0	2.5	2.0	1.5	3.0	13.25	3.5	9.5	5.5	4.5	4.0	1.0	3.0	5.75	3.0	3.0	0.5	4.25	4.5	3.75	5.0	4.0	6.75	4.0	10.5	6.0	1.25	0.25	3.25	4.75	1.5	6.0	2.5	2.5	5.0
Apoptosis - fly [PATH:ko04214]	21283.830000000005	16623.770000000004	19940.080000000005	19062.63000000001	21106.320000000007	14843.919999999995	19471.37	19018.420000000006	17408.060000000005	19051.820000000007	13846.06	17769.050000000007	21491.409999999996	18339.67000000001	17926.52000000001	20212.930000000004	15870.470000000001	14142.690000000002	17464.999999999996	14257.969999999998	22177.51000000001	19310.020000000004	15279.07	19562.34	26152.730000000003	23474.389999999996	20072.98000000001	17363.99	15355.6	24268.420000000002	24473.66000000001	23019.46000000001	25557.36	20847.45	22494.170000000002	25201.48	26893.66000000001	20346.99	17903.140000000007	15561.070000000005	21722.230000000003	18308.43	12696.509999999995	18596.850000000006	19579.810000000005	22458.719999999994	20989.360000000008
Apoptosis - multiple species [PATH:ko04215]	802.5	471.7	715.4	936.6	604.2	494.3	525.3	560.0	462.4	458.0	395.4	352.3	261.2	413.3	371.2	622.5	392.1	400.7	459.6	349.8	317.6	258.3	361.4	447.0	469.4	665.7	408.8	304.5	164.6	620.6	714.8	1013.0	564.0	566.5	555.6	505.1	294.4	390.5	391.4	406.5	170.0	221.5	343.8	243.3	99.0	256.1	388.4
Apoptosis [PATH:ko04210]	2460.289999999999	5012.5199999999995	6598.62	4883.8	3519.4699999999993	4202.21	4124.350000000001	3118.32	5741.749999999998	3405.2499999999995	4882.139999999999	3322.3900000000003	8914.770000000004	2426.48	2517.49	2121.3499999999995	3367.4099999999994	5579.59	2732.68	6741.269999999998	2994.480000000001	4751.06	4599.99	4595.14	4890.049999999999	8893.0	7783.910000000003	4061.36	5547.150000000001	2528.97	2700.21	2194.6099999999997	2322.16	3481.34	3368.98	3436.47	2875.7200000000003	3055.55	1571.0099999999998	3051.19	1590.41	2250.45	2759.79	2038.2499999999993	966.9999999999999	2157.0	2892.8600000000006
Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	4637.78	4343.15	3743.439999999999	5265.9400000000005	6422.35	9384.34	6639.17	7470.809999999998	4437.83	3395.9500000000003	6483.16	5255.68	4374.85	6334.82	6047.99	6727.9	4993.610000000001	3871.95	3982.0499999999997	5254.85	4779.99	4261.91	4343.98	5492.28	3177.6999999999994	3503.71	3204.7	3632.6600000000003	4944.660000000001	3952.24	5102.160000000002	5310.94	4807.410000000002	5436.67	3987.8	12812.95	16861.93	9340.350000000002	13793.44	5182.370000000002	4248.379999999999	4149.77	5483.32	4153.04	3821.5099999999998	4585.149999999999	9377.22
Arachidonic acid metabolism [PATH:ko00590]	3018.1599999999994	4571.03	6230.36	4550.960000000002	5232.3899999999985	7119.689999999998	5850.239999999999	5780.889999999999	5340.7199999999975	3369.16	6942.789999999999	7168.15	9069.910000000002	7795.999999999999	6824.28	9540.039999999999	6806.029999999999	6244.330000000001	6936.970000000002	8339.619999999997	4500.460000000001	8183.799999999999	8397.859999999999	4629.58	5746.8499999999985	6192.14	7172.910000000001	4391.0	7101.380000000001	3070.9699999999993	2854.6300000000006	2165.87	2743.84	3448.710000000001	3454.97	4944.74	4752.929999999999	9129.550000000001	6096.0199999999995	5138.590000000001	8938.640000000001	7715.7699999999995	5556.55	10928.24	8457.9	7282.930000000002	8327.779999999999
Arginine and proline metabolism [PATH:ko00330]	245792.17000000004	193219.06999999995	205939.66999999998	217627.92000000004	223143.69000000003	207976.76000000004	242350.24000000005	232760.08000000005	213765.06000000006	216668.72	177808.92	244377.88000000012	196846.01	238940.18000000005	224478.96000000002	222418.06999999998	208793.47000000003	176359.05	228523.06000000006	189338.56000000003	230837.7800000001	206376.04000000007	210306.93000000002	219586.42000000004	223603.82	224801.41000000006	203382.84000000005	185405.7300000001	207196.81000000006	239820.83000000005	234194.17000000007	247898.61000000002	248938.94999999998	219073.49000000002	194171.83000000007	232299.13000000003	229068.63999999993	234345.55000000005	213778.71999999997	179167.44999999992	283780.1099999999	216060.21999999997	136087.99000000002	221941.56000000003	266831.04	244006.16000000003	220954.27000000005
Arginine biosynthesis [PATH:ko00220]	497906.7700000002	369886.6100000001	359584.45	437630.04	441185.28000000026	362955.0700000001	452987.94	444927.6200000001	408599.16000000003	448245.20999999996	301472.45	430039.4400000002	356512.17999999993	459967.1700000001	431280.6000000001	406590.8800000001	383292.91	306975.81000000006	449193.2400000001	335515.49000000005	453037.60000000003	387545.2199999999	373060.27	409089.4300000001	450935.94000000006	398559.8800000001	351524.36000000016	326816.31000000023	384239.07999999996	481555.6600000002	478648.37000000017	487610.88000000006	487534.63000000006	437208.2999999999	381074.6300000001	404730.9800000001	384252.59000000014	399743.5199999999	361246.76	312271.2899999999	516049.36999999994	376491.91000000003	227845.67000000004	428068.21000000014	551168.5500000002	490708.59999999986	386941.1300000002
Arrhythmogenic right ventricular cardiomyopathy [PATH:ko05412]	1.25	7.0	5.0	9.0	2.5	13.5	5.25	3.75	7.25	8.75	7.75	2.75	6.0	2.5	2.0	1.5	3.0	13.25	3.5	9.5	5.5	4.5	4.0	1.0	3.0	5.75	3.0	3.0	0.5	4.25	4.5	3.75	5.0	4.0	6.75	4.0	10.5	6.0	1.25	0.25	3.25	4.75	1.5	6.0	2.5	2.5	5.0
Ascorbate and aldarate metabolism [PATH:ko00053]	89548.12000000002	68874.31	68792.13	69790.05000000002	83550.82000000002	56363.72000000001	77336.79999999997	76768.06	79400.36000000004	81553.87	53755.26000000001	71730.81999999999	69911.65999999999	87660.64	82086.27	75999.31999999999	69665.74999999999	56976.86	91173.20000000001	57758.83	93548.65000000001	80568.88	67440.31000000001	76526.88000000002	80289.29999999999	70573.85000000002	64735.759999999995	50793.84000000002	69718.21000000002	81973.70000000001	79352.92	84108.16000000002	86555.12000000001	77166.86	66965.65	71876.22000000003	64504.35000000003	66664.62	54404.46999999998	59565.05999999999	84283.43000000004	62521.42000000001	39284.87	68686.82000000002	98455.28	85349.21999999999	65062.86000000002
Atrazine degradation [PATH:ko00791]	1583.9500000000005	1610.8400000000001	1045.27	841.76	1126.86	1566.77	1743.7400000000002	1702.98	2243.84	1360.92	1415.4299999999998	1251.7300000000002	3689.4600000000014	1479.47	1177.1699999999996	2002.7199999999998	1108.03	4057.7700000000013	2260.3000000000006	2313.0000000000005	1496.5300000000002	2871.5500000000006	3562.95	1402.0	1254.96	6005.8600000000015	1608.8500000000004	1193.73	2421.85	1006.3700000000002	1072.5	1343.39	1240.96	1361.8600000000001	1065.34	970.2300000000001	1127.73	2179.66	1319.12	1271.1399999999999	1304.52	1524.8200000000002	1245.38	905.8	1462.04	1325.1899999999998	1334.8799999999999
Autophagy - yeast [PATH:ko04138]	1477.21	2421.08	1848.83	1770.0	2019.06	1387.05	1950.56	2009.58	1991.52	1309.84	2285.99	2633.51	2189.94	2582.42	1960.82	2922.58	872.16	3006.9	2147.64	2161.080000000001	1551.76	2191.92	3324.41	1514.7399999999998	873.2300000000001	2355.79	1331.7	1660.77	2568.34	1396.9199999999994	1188.63	906.97	662.12	958.63	1470.78	1247.9299999999996	782.6	1265.72	1623.9399999999994	968.17	1204.45	1335.4599999999996	1013.4	1065.54	913.39	827.2099999999997	1410.9699999999998
